,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_R,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,N_Acc_L,Thal_MDm_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,ACC_sub_L,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,Raphe_M,Temporal_Mid_R,Frontal_Mid_2_R,Frontal_Sup_2_L,Thal_VPL_R,Temporal_Inf_L,Vermis_1_2,Thal_LP_R,Rolandic_Oper_R,Occipital_Sup_L,Thal_VL_R,Caudate_L,Parietal_Inf_R,Cerebellum_Crus1_R,Thal_VA_R,Frontal_Sup_Medial_L,SN_pc_R,Frontal_Med_Orb_R,Pallidum_L,Rectus_L,Cerebellum_6_R,ACC_sub_R,Postcentral_R,Cerebellum_10_L,Lingual_L,Red_N_L,Thal_VA_L,LC_R,Rectus_R,Frontal_Inf_Oper_R,Fusiform_L,VTA_L,Olfactory_L,Thal_PuI_L,Frontal_Sup_Medial_R,OFCmed_L,Thal_PuM_L,Temporal_Mid_L,Thal_VPL_L,Cingulate_Post_L,Temporal_Pole_Sup_R,Paracentral_Lobule_L,Cerebellum_Crus2_L,N_Acc_R,Hippocampus_L,Thal_MDl_L,Vermis_3,Cuneus_R,Thal_MDm_R,OFCmed_R,Thal_AV_R,Temporal_Pole_Sup_L,Thal_MGN_R,Calcarine_L,Occipital_Mid_L,Cerebellum_7b_R,ParaHippocampal_R,Thal_PuL_L,Supp_Motor_Area_R,Parietal_Sup_R,OFCant_R,Cerebellum_4_5_L,Vermis_10,Thal_PuM_R,Olfactory_R,Thal_VL_L,Putamen_R,Precuneus_R,Putamen_L,Cingulate_Mid_R
SN_pr_L,1.0,0.021675538246309908,0.1556774083712561,0.36120857156987213,-0.07530278973413296,0.5528864364379825,-0.005386412174601853,-0.07636860449153385,0.0770665520258754,0.3329722893369309,-0.19071107975631577,0.2104843838511334,0.014486034835343152,0.3722852988370964,-0.19922800320069045,0.5069011716722923,0.2003556006989078,0.28874445048828384,0.22573702344504182,0.43399229970752784,0.27604081316720747,0.406328542498699,0.495512287079646,0.2912117330600743,0.19021848527849794,0.5257690370374332,-0.12821069687195635,0.000792939837714798,0.34411137486427945,0.2737517828139555,-0.20440267789932062,-0.07646144273740645,0.013735008352512701,0.45449600297635123,0.3665676978203423,0.37429713967809414,0.229076807632723,0.5007307888927214,0.3844274616379328,0.15681622424915537,0.32276814193168396,0.34272689158503156,0.3344085547486116,0.3475427163236331,0.06370984591780496,0.018790994963834625,0.2693608074578933,0.2520102112111232,0.04495347395909834,-0.04053769608657356,0.045936613508682576,0.15345321255415176,-0.012620022356575859,0.04471099096755383,-0.12746841931172223,0.14293235105490168,0.11360502879946675,0.20362329304723012,0.0386359407276058,0.33294507844425086,0.28923768836588826,0.44123308308915227,0.40129993060350405,-0.08251195177891157,0.34410599081115173,0.2796416844703856,0.4714984109620434,0.19025766556243612,0.13194249001113206,0.0904120652099311,-0.11175417988661131,0.27780351351919996,-0.24549726358129503,-0.051599270278302106,0.31155180913509484,0.0932310434258236,0.3812399396782818,0.22194645418024334,0.11032540793275802,0.4860659137864986,0.10005494711514894,0.5795859816300746,0.016402926240131614,0.21599501493235562,-0.11526210179598913,-0.04058231643904989,-0.25409789461506654,0.13226243661557366,0.2973234314369121,0.15328535644144853,-0.30861362919358104,0.6345799099385002,-0.02195972767628256,0.27792889597654813,-0.19357238684469777,0.055472647211540535,0.3670702272926202,-0.05627732747177565,0.07314869730218887,0.2897063625676781,0.31964191530266994,0.24388738753851824,0.25404196234225235,0.4352568672031212,0.26544341199747384
Thal_MDl_R,0.021675538246309908,1.0,0.23596552952130162,0.19428995694180917,0.11602200975714064,-0.05957630986011692,-0.05176010364858542,-0.09133804001348704,0.158394870763773,0.3091276156228524,0.09632201808471247,0.03169676472474978,0.3058610771069179,0.008934702284904929,-0.0889825672806567,0.24959731871920968,0.007840865784589689,0.06865882394917207,0.43521375096538994,-0.09066118388378923,0.14164953623962073,0.08803231069157927,0.15928738797052372,-0.02491233989591858,0.032450235999270625,0.07128024921087253,0.07151319377342655,0.09088426687555688,-0.022591192731608332,-0.2558773386147364,-0.06594049355239595,0.19566384804972622,-0.022798497068007156,0.1437290985085312,-0.16939476254855185,-0.04940299318682068,0.11214258168567634,-0.16336724425283375,0.1912721662863826,0.6736714548592375,0.01698026690473483,-0.010935451895035087,0.22205795629592215,-0.11939952375708443,0.01734354859011179,0.7742042565690169,0.27921405492780127,-0.02524359803541198,0.060331761731100185,0.52595892395862,0.18337327916167626,0.2395596775126101,0.22741812439168882,0.3306610884823534,0.22735005877352096,0.09911174015676384,-0.12846100439213665,-0.14899570027411085,0.2390166987548607,-0.13644380605865777,0.31059373967525666,0.07559393133945808,0.2812435479455317,0.22624644616539039,0.09364656193601788,-0.034025407153860834,-0.1069241061869679,0.028183569700322497,0.18343816361331491,0.17856960936613978,0.2894415940376024,0.12281975051437408,-0.005590241141548726,0.35952800049986083,-0.07199133290447755,0.31295550706631475,-0.02272621420455949,0.11876655439866839,0.2495598348907667,0.0678356365242307,0.21987043021400773,0.04595445723760443,0.0082235276947996,0.7746550919922793,0.3132653855417865,0.5812969079607648,0.06218695261959369,0.49508756991967867,-0.0324145173422243,0.19999004690700345,0.1435731744976683,0.23109131960538773,0.2993673366012268,-0.03349115158814608,0.08566474883072159,0.02209725084874707,0.12703470754892532,0.17170035609178672,0.7208118484614453,0.23312351843121018,0.2381195800248445,0.18629752561947505,0.03779873997210937,0.24678365103020106,0.04347996121470071
OFCpost_R,0.1556774083712561,0.23596552952130162,1.0,0.15428709397445253,-0.054012605885416815,0.15259321016244864,0.029162811405334152,-0.0031741714375409847,0.11722360699170158,-0.14030929832225267,0.15914341446592858,0.16860859447500498,0.054674820552725795,-0.15501480016917754,-0.12064401092121929,0.2847479502195496,0.030474361752899342,0.08074233185294981,0.2994819701843363,0.1347444409681048,0.31129908548975294,-0.11211991584158194,0.1281859677849922,-0.019552800801057774,0.11456825860504166,-0.1420328546877475,0.2609015380070389,-0.02728358781907025,0.18823513684473908,0.10040924916241224,0.04230128835067455,0.22932091503566387,-0.09492478505193337,0.2799813067661105,0.13398065946123155,0.0424684256114395,0.11833967989947156,0.2514580610255374,-0.13650767581419146,0.12013198631208027,0.01769321875784251,-0.013699051473338908,0.3452416054152317,-0.0002500520821941927,0.11580797628997594,0.17314785988752646,0.3447212574116281,0.07180549240979633,-0.018821713988501174,0.25560347111036724,0.2274236385767255,0.04968707921519259,-0.2561547953573064,0.25967623596953815,0.10424112963673401,0.2873255877747062,0.12604667046052853,0.26632365089703663,0.21556718312073211,0.16892790398404972,0.047568333236295945,0.03066507022546123,0.15496859856206566,0.14912946060448284,0.18121111557297345,0.25087389790457404,0.005571680968963758,-0.16467607337271464,0.2378427179033352,-0.0812467174168311,0.34225379283317653,0.10143694885537624,0.10506761052186248,0.020319572802098913,0.17452269161458311,0.01011701559121933,0.25932254894779516,0.21941529955794795,0.43963679802100125,0.16124837661313837,0.19321033757056996,0.1905446664124564,0.04854782923020149,0.2979419904851496,0.012161829082284848,0.15857985908147226,0.019468327067526034,0.24505060018607172,0.21259333055572727,0.09174261133079367,-0.026568679895786127,0.2814605082988255,0.026791475513705747,0.1733706598102831,0.06051171641186304,-0.20172985497737378,0.27301571198656677,0.10092433900594086,0.17126806674720937,0.15620251286036743,0.2963485686498179,-0.06893183895511404,0.10173172638525696,0.14624699514346295,0.44962923425540313
Temporal_Sup_R,0.36120857156987213,0.19428995694180917,0.15428709397445253,1.0,-0.008533183273162246,0.4012693264604832,-0.09235921007050833,-0.04456916305057631,0.23046390685187848,-0.07775610813937874,-0.002577825398877029,0.4332584946255905,-0.052179245032037795,0.33353656917365326,0.08317547486620164,0.11246532066106779,0.11329957345413265,-0.04415219810214754,0.28394486488877935,-0.040798216994574976,0.24331652990193875,0.32013693256175474,0.4223497687656664,0.01574143182808797,0.1432081429889766,0.16514677378868262,-0.03521450618864119,-0.040911977303332576,0.36426455460497076,0.6200149283191727,-0.03595327000401561,-0.17060402439589728,-0.12279944163487928,0.06670472521079042,0.07035544477177753,0.24763864204584876,0.5299176768645338,0.37726840044615545,-0.05618579606448794,0.4667817056906368,-0.07557284312636586,-0.012790461032477687,0.3257285384644125,0.3659049359810829,0.01890850724131009,0.28799527223271726,0.024195214672722225,-0.05150251032188773,0.12613530958032965,0.17899670158660203,-0.04833185744543495,0.04703514999697386,-0.18539865024469276,0.10407777727655385,-0.1848978062760728,0.2559390151653107,0.07301345946074843,0.5308799795513652,0.3151888087069077,0.19260380865075977,0.08045498207762465,0.24106477015522765,0.37576484751541483,-0.20604821931933617,0.0559324665825288,0.07487627580759386,0.24765686002608953,-0.044234065558535436,0.032748273962436264,-0.12724424050577185,-0.17419210298086915,0.029951308336848014,-0.07836355724695489,0.16464308987396964,0.11890133579502644,0.20859676029175794,0.2590608875309907,0.275105730031029,0.18036293088119235,0.1728387853252746,0.22766935633975077,0.19016280107696287,-0.07104117289775574,0.33375563874837194,-0.23912045842104349,0.16035554096968543,-0.1929390203903539,0.34766697926787443,0.328107350149925,0.1395031438002541,-0.0930932700129736,0.3679916953212483,0.410375779159815,0.29142040932867425,0.11611049083655435,-0.1575127056507051,0.24625904773465723,0.056746307830506895,0.2906238992042858,-0.015591961577536626,0.32677014542689925,0.21783162287792718,0.47107650074659835,0.45315487175622454,0.22830647909175264
OFClat_L,-0.07530278973413296,0.11602200975714064,-0.054012605885416815,-0.008533183273162246,1.0,-0.19428687458750418,0.21739339236500702,0.184584145005402,-0.10714306678650529,0.03167847872830306,0.26307190956556475,-0.17546664408600832,0.2277396667590067,-0.22950874595221257,0.24985259166012677,-0.11588830484665305,0.4685055393880692,0.2707102320333497,0.1670935244936898,-0.5469707056322637,-0.301053349224986,0.24247996787447818,0.20960849857429426,-0.28660689032018566,-0.4010618678470919,0.281856396503994,-0.1458138002930803,-0.21114231850985538,-0.011499710071696116,-0.09542754156701394,0.06376554755318457,0.10677302656272522,-0.20531748991117135,0.008830158914030026,-0.44480404021388514,-0.039691219507416074,0.02442799676609272,-0.05702332071747578,-0.013205039864656367,0.23894964265987043,0.025404482060694133,0.1674878033980284,0.01874284820331791,-0.16371082537259418,-0.24952237359528498,0.2376645429029618,0.08806207624589682,-0.2754824165093685,-0.1281036427348037,0.11930231747554933,0.34053015084021276,0.10069617261542664,0.39003545706605686,0.27986525179769045,0.12722077465365897,0.014059674199079192,0.1919937799317192,-0.24294668218767967,-0.21131870283754767,-0.0562568135601403,0.25140891086005,-0.09839927507920779,-0.05356268565462289,0.21855025917934792,-0.07844414016230902,0.12884930421973453,-0.03115887096942943,0.26812325899428724,0.19588533148357196,0.04842971534794485,0.30242192236940757,0.07537884857374047,0.5340499089660732,0.45320497476277277,-0.2469761073670609,0.10278702047524048,-0.36296851063430763,-0.2100305137577458,0.0011886321095521575,0.005887873236322717,-0.012159952872161981,0.1303809537169978,-0.07934687771317459,0.08673001178269564,0.3050884703521813,0.27621367300617233,0.6798507360984228,0.15947789957068376,-0.22256855134875558,-0.018544104586160275,-0.007867243862791976,0.12822271751007577,0.23828452699982405,-0.3306305197402479,0.1979378416748595,0.35595538746828626,0.2332277658413081,0.40681594509726193,0.1271912616826045,0.24716145200932418,0.01901228921842566,0.29416539454560836,0.06543989115875287,0.17163854151564498,-0.16344804656447287
Heschl_R,0.5528864364379825,-0.05957630986011692,0.15259321016244864,0.4012693264604832,-0.19428687458750418,1.0,0.1012480233076678,-0.1322655060715567,0.418076140168672,0.07067725996345368,-0.15028959804594344,-0.06494584977268442,0.08399371366527086,0.24985240173902024,-0.3450795831026517,0.6167916515676116,0.022700304211550223,0.09140019817309367,0.3679717677561796,0.3263693578469037,0.15478573516719338,0.2934121953778758,0.5225889694942651,0.08971653681288728,0.03740037356819137,0.3775901528170077,-0.07759353765731099,-0.016999026116014844,0.27640634564840105,0.39698224876922433,-0.26690430699725637,0.07680803212231253,-0.04553748335754784,0.7006071106146199,0.2609577811661814,0.3783205438123749,0.4075502848016851,0.7879289009926532,0.38418130048383337,0.06636988722861015,0.4134986425082385,0.45509828469248487,0.12810430108726326,0.7651291754457492,0.008221307892809424,-0.071203919366067,0.4134841311047479,0.04894203412475112,-0.03604965735831205,0.07189055313833478,0.20235504631982204,0.1676924809844691,0.006679798315268328,0.12758974196545464,0.01867302672622113,0.1869730222666015,-0.14105696563875472,0.22161678269798776,-0.11866827241778927,0.359372765149887,0.35827407188817334,0.30460168021059325,0.24207840096297,0.05101164582687353,0.3832805324437605,0.4803147773841633,0.3101071786252262,0.12733287594625547,0.03707085057967078,0.20578994988749158,0.10684548195055377,0.5643238798440412,-0.23754544106843128,-0.04666729381599662,0.3355295542662742,0.3563777695563776,0.19087094607009378,0.12304121674113463,0.30481715245275204,0.6933294763479128,-0.061773783541537446,0.5585126375668462,-0.005245806327835277,0.13357768833197028,-0.11260066501816628,0.13367742519098605,-0.22007246211683462,0.2344397156731226,0.1765042019003881,0.07406175607685339,-0.08404624196553308,0.6387128040889789,0.15274266211328924,0.2329634203946646,-0.016432388784593435,-0.06876872440004907,0.3904229333070906,0.12140272517885552,-0.034771561569557914,0.25961745254780355,0.3105212995291269,0.13211919122814178,0.19425183376611993,0.2646184399331823,0.23513996065453288
Cuneus_L,-0.005386412174601853,-0.05176010364858542,0.029162811405334152,-0.09235921007050833,0.21739339236500702,0.1012480233076678,1.0,0.19485874006373285,0.023438038747306374,-0.13825822321351391,0.09833172658691364,-0.2997672650371403,0.15176307488336493,-0.03842466862879477,-0.12659493846643577,0.03313789483963861,0.24234195637551217,0.1317752454931601,0.2723417480927879,-0.1173826751536691,-0.09309702620000065,0.10715933613867161,0.13776186264627657,-0.361027619509845,-0.4045525567085381,0.06633880970826499,-0.06046366260733768,0.06469886477896607,0.13830067391391684,0.05249715689354052,-0.2340454446909468,0.15522569146039078,-0.39970561687699074,0.21908580560965552,-0.007994227400390987,-0.0841331370745783,0.07860740407254192,0.13460706500978895,0.12574760298736204,0.003667941468302977,0.28345263255987196,0.23673823153145288,-0.1603130198203139,0.15788492141290744,-0.14249654530372483,-0.05436150226200612,0.11744686196062012,-0.24251742099744972,-0.36347466708740594,0.05285399531996032,0.25957693325337616,0.05549462765807811,0.14358242101810606,0.13044840479069877,0.08116742610309843,0.09776430890231769,0.10942275673363865,-0.08170174272376957,-0.1610463248884095,0.17486422181666655,0.24702286053475783,0.11624558006895287,0.07482150664420494,0.11156754796420165,-0.0466915712743811,0.25741132464233224,-0.06542175628315569,0.05353594991544963,0.09731524399496377,0.018367457538394236,0.2944478373013838,0.18715103950698211,0.20967276400400459,0.05909534857929719,0.19993621518261812,0.14232318973233626,-0.054510755089407385,-0.10617501017558074,0.1450539961625837,0.2597074781583834,-0.11284354599658442,0.21362861729661384,-0.26889701349147954,-0.0957850267728619,0.11769089853327365,0.221873061527018,0.3509254688807222,0.029728470354797292,-0.15238273483163287,0.1995932907410496,-0.1531851872968807,0.11337065542561017,0.18072751704483989,0.07821094031023697,0.3056570480298037,0.09188257192211821,0.2286140133489006,0.41092730500659014,-0.13845992917441305,0.10464375992608013,-0.030365473416350992,-0.10645985031773564,0.17118807463546062,-0.09714461799853388,0.096360706242037
Occipital_Inf_R,-0.07636860449153385,-0.09133804001348704,-0.0031741714375409847,-0.04456916305057631,0.184584145005402,-0.1322655060715567,0.19485874006373285,1.0,-0.07946014278470531,-0.21888762098401307,0.2980857022673697,0.043759844468119855,-0.1700998581696717,-0.06915139620405089,0.12749702521560533,-0.1433229916237685,0.15826132171700363,0.14617699535234874,-0.06225906330434343,-0.07872795216301921,0.09652669422507378,-0.056498524617291955,-0.058742107188903374,-0.1192081998142156,-0.19662304820602602,0.0017179212591676167,-0.021072716371904825,-0.2508222425985685,0.1416532641361469,0.16329312740706847,-0.05382620600557587,-0.06517837403098872,-0.21557642426965407,-0.07905195809733816,0.05162070627949374,-0.19398843636381127,0.07440408278937517,0.07893382131331811,-0.0398692477853413,0.032796107829490315,0.038522931172522805,0.012117416551629645,0.02140419952628072,-0.04044107560992331,-0.08010072232340984,-0.023971799353427987,-0.11293746602596398,0.12545461499267122,-0.13002548877777956,0.11340411570282523,0.1368543284988584,-0.02196010174775085,0.05925671520713694,0.0812503160015846,0.00868973904710533,0.07132015298075127,0.2768694670975121,0.13190720532860703,0.09567469385118885,0.19757613490535533,-0.013512595827437862,-0.050862562850847934,-0.021601687970582362,0.013953493008365339,-0.009968914196182092,0.08416338946104356,-0.013598232215580985,0.02774781091891784,0.04995922487125333,0.017204068175992474,0.1250036013371028,-0.15048850905230904,0.17893218987532591,0.07473579368508639,0.13086548071077683,-0.00788093946348873,0.06631656974112594,-0.27687090649658763,0.028510424813720504,-0.06337515479714957,-0.15360093194532376,-0.013338683951549466,0.017773114581156293,-0.19027324651370014,0.06784619428620735,-0.19708554235807582,0.1798395248802321,0.09901599411701288,-0.027342344819299855,0.08591555491608187,-0.07810401027836308,-0.05690441712941928,0.006657333357928436,0.11365436078038524,-0.07366191698492669,0.08436162125677826,0.14588798999699487,0.022021998190039287,0.005621248898082847,-0.013442947936650422,-0.11351468952926769,-0.016765629733810725,0.19265463757428233,0.00605738030625307,0.09163799117371786
Temporal_Inf_R,0.0770665520258754,0.158394870763773,0.11722360699170158,0.23046390685187848,-0.10714306678650529,0.418076140168672,0.023438038747306374,-0.07946014278470531,1.0,0.12054194012365076,0.06431347536359658,-0.08234441686451932,0.07030704522399737,-0.026498233716503092,-0.2184992002777364,0.5499892101406073,-0.20646091436233727,0.16696581356793483,0.12472768738612365,-0.03091003172837412,0.20083468634197477,0.2045776784953618,0.34979223268702575,-0.10180003999228845,-0.004053364611055895,0.38683574346399613,-0.19423176754286756,-0.005207674379557362,0.08683510617824561,0.21436078897315933,0.05264599997334544,0.2249037594000504,-0.07343858961035932,0.5924423432568416,0.02871996819992879,0.3726079685669087,0.7068809964229822,0.4055751393148239,0.2559869748982858,0.1201093776124742,0.291697833362528,0.3164212130453327,0.04642437927209171,0.4225105208457035,0.019229964391870562,0.04010190937021888,0.21107601469212867,0.07305968358579354,0.08795869191258687,0.14619070256050454,0.12391154088772731,0.4875704287743364,0.11046418735487853,0.21437300276046675,0.3613734642112601,0.3145060128620266,-0.11973002261249696,0.1439358325852444,0.14063618517429524,0.22032005637839647,0.2601802103359484,-0.18739310820365768,0.2276288453862493,0.3132501487226664,0.24746869538271565,0.4155704059720389,0.08868269027696819,0.2714110284254824,-0.06541318327393736,0.1149374478652559,0.23287525800796674,0.3072045054156826,-0.14681120362272987,0.12237434602045183,0.1386878988358016,0.6028817830200904,-0.046289960577741304,-0.08101573808984766,0.2767631094029462,0.5956941500846211,0.02761525097675213,0.23273935205004342,0.01218735552342758,0.04996026914672945,0.27930966454881156,0.06925557262883138,-0.06549040659160252,0.21008467562978209,0.05485123498000127,0.024091400705899445,0.17121595110578774,0.47921839087385965,0.0871846515828876,0.16660116661662763,0.034631651680798965,0.15566137433486624,0.345515005990425,0.4168099505598153,0.05550018298801757,0.25151781789046485,0.18631962129443888,0.12587306843288357,0.10442554841669206,0.14921601988026584,0.1946114193747138
Red_N_R,0.3329722893369309,0.3091276156228524,-0.14030929832225267,-0.07775610813937874,0.03167847872830306,0.07067725996345368,-0.13825822321351391,-0.21888762098401307,0.12054194012365076,1.0,-0.06972978794067339,-0.006792455162252025,0.2190431584495268,0.1501895763803759,-0.09100815445168976,0.3774759159081058,0.04980313830204078,0.2870073818404059,0.19104952544740036,0.1497338567993645,0.11279365832686568,0.4061232389888536,0.269473398340022,0.2942103131172039,0.2083960798926915,0.48104166845037843,-0.13500790135473206,0.21308518944721494,-0.022229769435457333,-0.3624997429898103,0.017741908301804648,0.04510800661348858,0.2509182217983518,0.22632241618571655,-0.09399078866437402,0.22067771785687057,0.18761106093215038,0.015320219130888962,0.4598152779753961,0.2392447422565692,0.21214282469302548,0.2086836202722048,0.08394517115438195,-0.058146536633762444,0.1160587396185974,0.24507157558765036,0.17849703186094956,0.13741719889390425,0.17330806132552545,0.007222880232694372,0.13088092565242235,0.3532415516891199,0.3892629159361794,0.15422306278046635,0.16068462575280826,-0.04470803492983325,-0.10686980410978297,-0.3699340676127014,0.03161259050259227,-0.018889732860377272,0.47077431826701804,0.11684235053629988,0.22536256617113887,0.1487775099517321,0.231984796771001,-0.029788177023407053,0.13592590255212672,0.28875844774984794,0.06867522758680075,0.2367187884835093,0.04582224470700621,0.2787149033385868,-0.08320738851791658,0.10504703188656844,-0.04506163356581834,0.3879603599374649,-0.11359022866772492,-0.051710227651016794,-0.06142140540461595,0.3214309433466085,0.11665884906932322,0.16922401057756237,0.10138631687812885,0.3192979254059308,0.3353069078968544,0.05090018926216264,-0.010603839695870665,0.11914672043279942,0.05534703274274632,0.032330964861570215,0.16585860843519465,0.3170566991934702,-0.08743827824078297,-0.21390845845807063,-0.09090570625191255,0.24174708844276804,0.07848863505084935,0.11310060468931737,0.3614001093041902,0.32633106089704217,0.16766059058204874,0.3240294375907167,-0.184780079481635,0.307178796008529,-0.08947712542481734
