,SN_pr_R,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Vermis_8,Thal_AV_R,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R
SN_pr_R,1.0,-0.4443890985705161,0.35342472281181003,0.475173475926129,0.5742889012620259,0.49889042676237816,0.08915987344049815,0.1318661494338933,0.49912772923520704,0.27787344904607414,-0.21230661222763458,-0.07198482054363647,-0.26147759749155175,0.6554033111651038,0.5654912632564466
Thal_MDl_R,-0.4443890985705161,1.0,0.29802714461404023,0.11871466534771913,-0.1282233662150991,0.06315900648790415,0.4277481912923197,0.20029303442092214,-0.10194326312593485,0.06323947769980512,0.60329723829822,0.6634891267743549,0.6534693588765227,-0.15078701672999112,-0.2296419926674887
OFCpost_R,0.35342472281181003,0.29802714461404023,1.0,0.7216558785690198,0.7172175018073543,0.6518055836802019,0.33328961460689954,0.04142954049876119,0.34197706389781307,0.5295331814292502,0.4236576064397324,0.4531660124894796,0.29847822130915697,0.6011386781023594,0.48870188194945496
Temporal_Sup_R,0.475173475926129,0.11871466534771913,0.7216558785690198,1.0,0.6458939894236764,0.7552630881847098,0.4674446553710086,0.16831174830809037,0.6611096579425587,0.5218517563833492,0.31514750173814815,0.47892790669785523,0.23313643167575634,0.720606361998514,0.5084836864001372
OFClat_L,0.5742889012620259,-0.1282233662150991,0.7172175018073543,0.6458939894236764,1.0,0.6421832145449906,0.12519978412199606,-0.08250136206646974,0.37741119021355113,0.41820911979949454,0.11659302402774961,0.1741787403457194,0.03855308650920193,0.6868620764786241,0.5989912925276875
Heschl_R,0.49889042676237816,0.06315900648790415,0.6518055836802019,0.7552630881847098,0.6421832145449906,1.0,0.305603657601836,0.17495312865028473,0.48046671111832545,0.48972233291665745,0.30833194155835136,0.2144910541307812,-0.02943932478268813,0.67573783226974,0.4549266615958099
Cuneus_L,0.08915987344049815,0.4277481912923197,0.33328961460689954,0.4674446553710086,0.12519978412199606,0.305603657601836,1.0,0.7431562469088516,0.48602495798939327,0.09534259521270425,0.41303934529436,0.41756786729919904,0.3565043477246983,0.18798335731054946,0.09764206885824528
Occipital_Inf_R,0.1318661494338933,0.20029303442092214,0.04142954049876119,0.16831174830809037,-0.08250136206646974,0.17495312865028473,0.7431562469088516,1.0,0.6019634722832768,0.18343100964570933,0.12415543023875177,0.07948933971029526,-0.04269207399434509,0.09137722203800706,-0.15727806655899262
Temporal_Inf_R,0.49912772923520704,-0.10194326312593485,0.34197706389781307,0.6611096579425587,0.37741119021355113,0.48046671111832545,0.48602495798939327,0.6019634722832768,1.0,0.5853385478947944,-0.03932841109317027,0.22318129325765018,-0.17935129706799077,0.5412345017871887,0.15530542438356476
Vermis_8,0.27787344904607414,0.06323947769980512,0.5295331814292502,0.5218517563833492,0.41820911979949454,0.48972233291665745,0.09534259521270425,0.18343100964570933,0.5853385478947944,1.0,0.09942721310266331,0.2627085450649889,-0.0460752934993259,0.5366376587770497,0.0899126084376514
Thal_AV_R,-0.21230661222763458,0.60329723829822,0.4236576064397324,0.31514750173814815,0.11659302402774961,0.30833194155835136,0.41303934529436,0.12415543023875177,-0.03932841109317027,0.09942721310266331,1.0,0.35439020129262544,0.43975862501077984,0.13581894604124126,0.09038258630359454
Thal_MGN_L,-0.07198482054363647,0.6634891267743549,0.4531660124894796,0.47892790669785523,0.1741787403457194,0.2144910541307812,0.41756786729919904,0.07948933971029526,0.22318129325765018,0.2627085450649889,0.35439020129262544,1.0,0.5793905105021938,0.13757942353581418,0.0546319431807837
Paracentral_Lobule_R,-0.26147759749155175,0.6534693588765227,0.29847822130915697,0.23313643167575634,0.03855308650920193,-0.02943932478268813,0.3565043477246983,-0.04269207399434509,-0.17935129706799077,-0.0460752934993259,0.43975862501077984,0.5793905105021938,1.0,0.016196703835308926,0.03629235574642667
Vermis_9,0.6554033111651038,-0.15078701672999112,0.6011386781023594,0.720606361998514,0.6868620764786241,0.67573783226974,0.18798335731054946,0.09137722203800706,0.5412345017871887,0.5366376587770497,0.13581894604124126,0.13757942353581418,0.016196703835308926,1.0,0.5692367361955708
Amygdala_R,0.5654912632564466,-0.2296419926674887,0.48870188194945496,0.5084836864001372,0.5989912925276875,0.4549266615958099,0.09764206885824528,-0.15727806655899262,0.15530542438356476,0.0899126084376514,0.09038258630359454,0.0546319431807837,0.03629235574642667,0.5692367361955708,1.0
