,SN_pr_R,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_L,Vermis_8,Thal_AV_R,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_L,Thal_MDm_L,Precentral_L,LC_R,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R
SN_pr_R,1.0,-0.4443890985705161,0.35342472281181003,0.475173475926129,0.5742889012620259,0.49889042676237816,0.08915987344049815,0.1318661494338933,0.49912772923520704,-0.31698705251302534,0.27787344904607414,-0.21230661222763458,-0.07198482054363647,-0.26147759749155175,0.6554033111651038,0.5654912632564466,0.33065831650863486,0.5897530495207889,0.3526213203730334,-0.38060340075324933,-0.04445451998550368,0.6596633799437662,0.36111983428780814,-0.3046699737856868,0.03142194978483447,0.6552139578003036,0.5044273678902889,0.17174189033664636,0.22495890308525718,-0.3649350549964068
Thal_MDl_R,-0.4443890985705161,1.0,0.29802714461404023,0.11871466534771913,-0.1282233662150991,0.06315900648790415,0.4277481912923197,0.20029303442092214,-0.10194326312593485,0.5301261953078474,0.06323947769980512,0.60329723829822,0.6634891267743549,0.6534693588765227,-0.15078701672999112,-0.2296419926674887,0.21256600957723454,-0.021119034791185015,0.33380004905603583,0.7108393162479022,0.12244151433202105,-0.06782473206839316,0.14654218963710955,0.7122146414187942,0.15226051044843206,0.03721616918354871,-0.11664381497330531,0.2599754873993448,0.3643595066397462,0.7077700566333552
OFCpost_R,0.35342472281181003,0.29802714461404023,1.0,0.7216558785690198,0.7172175018073543,0.6518055836802019,0.33328961460689954,0.04142954049876119,0.34197706389781307,0.33071397513211637,0.5295331814292502,0.4236576064397324,0.4531660124894796,0.29847822130915697,0.6011386781023594,0.48870188194945496,0.7663595389123009,0.7229429941311034,0.7382919239236307,0.3495497010912816,0.1259164937754685,0.6229138847221595,0.6680111633538276,0.37896360836925247,0.31173270122413455,0.7386847667542069,0.4566012814271178,0.15821413787840202,0.5848720511705544,0.2539107879001437
Temporal_Sup_R,0.475173475926129,0.11871466534771913,0.7216558785690198,1.0,0.6458939894236764,0.7552630881847098,0.4674446553710086,0.16831174830809037,0.6611096579425587,0.37932703458215855,0.5218517563833492,0.31514750173814815,0.47892790669785523,0.23313643167575634,0.720606361998514,0.5084836864001372,0.7485846365121742,0.7062370135093496,0.618084757090068,0.16833130824511605,0.3431856319543051,0.7934183719096293,0.6405922015684964,0.27053959109328574,0.39180931537440394,0.8410818946964722,0.6268135071808943,0.20811203061140168,0.7969239079083101,0.25018488784750037
OFClat_L,0.5742889012620259,-0.1282233662150991,0.7172175018073543,0.6458939894236764,1.0,0.6421832145449906,0.12519978412199606,-0.08250136206646974,0.37741119021355113,-0.055902585191129735,0.41820911979949454,0.11659302402774961,0.1741787403457194,0.03855308650920193,0.6868620764786241,0.5989912925276875,0.6450346826407588,0.776507202898916,0.566033884714852,0.0028117076742380045,0.10345365973468569,0.7031728165945881,0.5755528369938728,0.04953634949205206,0.10160153728672582,0.7693991876176179,0.46385511866207796,0.11038109996526829,0.43597133458553516,-0.04354374774488548
Heschl_R,0.49889042676237816,0.06315900648790415,0.6518055836802019,0.7552630881847098,0.6421832145449906,1.0,0.305603657601836,0.17495312865028473,0.48046671111832545,0.2272357633939165,0.48972233291665745,0.30833194155835136,0.2144910541307812,-0.02943932478268813,0.67573783226974,0.4549266615958099,0.6300398139654453,0.7652356469244903,0.5475614608501116,0.06567919286826618,0.3063296116768147,0.5669018669459492,0.4529314598483462,0.17819133829113865,0.38478661745199855,0.7979570948523671,0.57031698343193,0.3014220154676789,0.5158163996323472,0.13429487148444585
Cuneus_L,0.08915987344049815,0.4277481912923197,0.33328961460689954,0.4674446553710086,0.12519978412199606,0.305603657601836,1.0,0.7431562469088516,0.48602495798939327,0.2744844056746215,0.09534259521270425,0.41303934529436,0.41756786729919904,0.3565043477246983,0.18798335731054946,0.09764206885824528,0.18046707535340267,0.08344052836682188,0.24680748445996603,0.2947072268183552,0.07831082574705499,0.4455891364689176,0.2793490480437416,0.4813132207744035,0.08217978135755769,0.3897857129905302,0.37117800263014117,0.6450224936738608,0.6055141402705354,0.4778826699517486
Occipital_Inf_R,0.1318661494338933,0.20029303442092214,0.04142954049876119,0.16831174830809037,-0.08250136206646974,0.17495312865028473,0.7431562469088516,1.0,0.6019634722832768,0.1391224527859934,0.18343100964570933,0.12415543023875177,0.07948933971029526,-0.04269207399434509,0.09137722203800706,-0.15727806655899262,-0.1051482718057827,-0.03940459072549498,-0.055268169881958325,0.0550667373418977,-0.035050335984202576,0.2545045125527205,0.11777715313299057,0.18618867799194488,0.10968199188882755,0.1550370208621757,0.4093911351955433,0.5470599987836123,0.16864329302196598,0.09209646440892397
Temporal_Inf_R,0.49912772923520704,-0.10194326312593485,0.34197706389781307,0.6611096579425587,0.37741119021355113,0.48046671111832545,0.48602495798939327,0.6019634722832768,1.0,0.2628556630886586,0.5853385478947944,-0.03932841109317027,0.22318129325765018,-0.17935129706799077,0.5412345017871887,0.15530542438356476,0.4231491284564929,0.4833314329680669,0.3085786112024507,-0.08761787254776356,0.2161937058409075,0.7022892749762425,0.5116727742983623,0.06569394160801516,0.40725032531264266,0.6070927655383168,0.7764936249982581,0.23849417326908154,0.42562698747565314,-0.1134157722524403
Red_N_L,-0.31698705251302534,0.5301261953078474,0.33071397513211637,0.37932703458215855,-0.055902585191129735,0.2272357633939165,0.2744844056746215,0.1391224527859934,0.2628556630886586,1.0,0.4246751841546603,0.43693551473004805,0.4808672198194592,0.35970156829085537,0.03612689517123357,-0.14532277712509428,0.3713406640013089,0.15314555072195243,0.3518640207284234,0.41024812159332935,0.4287460824621163,0.09261763982010442,0.26090651689567645,0.47607399732750366,0.5606796058477357,0.14707437541094195,0.3188831184750439,0.007077580126919566,0.4018941633788456,0.4781329272496602
