,SN_pc_L,Thal_MDm_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Vermis_8,Thal_AV_L,Thal_LGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R
SN_pc_L,1.0,-0.035155411076064444,0.4606430626586817,0.4659164274459228,0.29820903466776044,0.33694443885599556,0.21751735965212157,-0.09436288039569053,0.23281579066340558,0.0007835155324843631,0.0938564774290216,0.21375773479812696,0.3417846905150683,0.3089125083669344,0.5197198414820922
Thal_MDm_R,-0.035155411076064444,1.0,0.1597841192142814,0.2903669993595445,0.37941743913561327,0.31673838547169564,0.14460571913530038,0.19014420011601907,0.3343451131956784,0.158509496995746,0.4251715785219765,0.13549990544976775,0.21380568371003558,0.4442896248397178,0.08727101259752605
OFCpost_R,0.4606430626586817,0.1597841192142814,1.0,0.48837456080156116,0.4155021902295762,0.36927103676907214,0.2876601394799044,0.03676161182005091,0.3100114837181164,0.27780039015577057,0.385446726617578,0.3658385251685405,0.40761411747586074,0.4952451375974038,0.574023428523926
Temporal_Sup_R,0.4659164274459228,0.2903669993595445,0.48837456080156116,1.0,0.34530995396712105,0.8642491167137117,0.5879553922185625,0.12869625067397583,0.48304651206560884,0.3674307940135463,0.21067941790005673,0.5791503190596043,0.5492556309814696,0.6711066854196348,0.42970990693914957
OFClat_L,0.29820903466776044,0.37941743913561327,0.4155021902295762,0.34530995396712105,1.0,0.3479828603667278,-0.046085734891045844,-0.3769814803846417,0.08857721303572282,-0.08154606445415741,0.761824049178711,-0.08103338535551476,0.37128002070218363,0.5699937354510317,0.4870401215157855
Heschl_R,0.33694443885599556,0.31673838547169564,0.36927103676907214,0.8642491167137117,0.3479828603667278,1.0,0.5259023950896516,-0.028205470308953127,0.25540129958912766,0.2568065125936402,0.1599326595918815,0.5400363972149871,0.4512601911774797,0.612771505815617,0.27524927459811294
Cuneus_L,0.21751735965212157,0.14460571913530038,0.2876601394799044,0.5879553922185625,-0.046085734891045844,0.5259023950896516,1.0,0.4159946160272576,0.48799764145596064,0.6751504282718674,-0.2075702049180599,0.6702939081780548,0.5793719723348519,0.37394165168900284,0.15324883948748166
Occipital_Inf_R,-0.09436288039569053,0.19014420011601907,0.03676161182005091,0.12869625067397583,-0.3769814803846417,-0.028205470308953127,0.4159946160272576,1.0,0.5663839599977725,0.6491403551156045,-0.20180066068324493,0.2961610338885118,0.028740865074520106,0.05353308548038705,-0.043065720376958126
Temporal_Inf_R,0.23281579066340558,0.3343451131956784,0.3100114837181164,0.48304651206560884,0.08857721303572282,0.25540129958912766,0.48799764145596064,0.5663839599977725,1.0,0.5329242765826249,0.1786268407574757,0.20051424171237792,0.21876302723148197,0.4124300702270621,0.3784287023926868
Vermis_8,0.0007835155324843631,0.158509496995746,0.27780039015577057,0.3674307940135463,-0.08154606445415741,0.2568065125936402,0.6751504282718674,0.6491403551156045,0.5329242765826249,1.0,-0.07788399485720565,0.4865876389169025,0.34812011384684455,0.273929773733589,0.11934961027296827
Thal_AV_L,0.0938564774290216,0.4251715785219765,0.385446726617578,0.21067941790005673,0.761824049178711,0.1599326595918815,-0.2075702049180599,-0.20180066068324493,0.1786268407574757,-0.07788399485720565,1.0,-0.20912679256336045,0.1850940118869794,0.5339226158501089,0.4956998607623038
Thal_LGN_L,0.21375773479812696,0.13549990544976775,0.3658385251685405,0.5791503190596043,-0.08103338535551476,0.5400363972149871,0.6702939081780548,0.2961610338885118,0.20051424171237792,0.4865876389169025,-0.20912679256336045,1.0,0.3650933608379696,0.3797303779554554,0.1113796931803753
Paracentral_Lobule_R,0.3417846905150683,0.21380568371003558,0.40761411747586074,0.5492556309814696,0.37128002070218363,0.4512601911774797,0.5793719723348519,0.028740865074520106,0.21876302723148197,0.34812011384684455,0.1850940118869794,0.3650933608379696,1.0,0.46107101794205313,0.3148824263966614
Vermis_9,0.3089125083669344,0.4442896248397178,0.4952451375974038,0.6711066854196348,0.5699937354510317,0.612771505815617,0.37394165168900284,0.05353308548038705,0.4124300702270621,0.273929773733589,0.5339226158501089,0.3797303779554554,0.46107101794205313,1.0,0.4159843924625187
Amygdala_R,0.5197198414820922,0.08727101259752605,0.574023428523926,0.42970990693914957,0.4870401215157855,0.27524927459811294,0.15324883948748166,-0.043065720376958126,0.3784287023926868,0.11934961027296827,0.4956998607623038,0.1113796931803753,0.3148824263966614,0.4159843924625187,1.0
