,LC_L,Thal_MGN_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Thal_AV_R,Thal_VA_L,Thal_PuM_L,Paracentral_Lobule_R,Thal_LP_L,Amygdala_R,Temporal_Sup_L,Thal_LGN_L,Raphe_M,Precentral_L,Frontal_Inf_Orb_2_R
LC_L,1.0,-0.1369818681588133,0.39065480349767245,-0.17673387358452722,0.02687356242712922,-0.27326753791229696,-0.07708764639002744,-0.047648962380793865,0.056981032965355706,-0.23881643523251117,0.10905471569342993,-0.12219637031621622,-0.22165375674326437,-0.2672901073323139,-0.13923163469280378,-0.402910062739531,-0.051941211236040744,-0.46705930003800855,0.05315278669601297,-0.12839390557868874
Thal_MGN_R,-0.1369818681588133,1.0,0.0043300920818901195,0.4347342242294645,0.21999424901592587,0.496816353479734,0.014911214834046687,0.12865504482968756,0.2133299966693598,0.4725023311502321,0.5271290182430098,0.4964271311779205,0.4741056298075315,0.4022163727757346,-0.00569389180382919,0.2215324804201239,0.10597412979310034,0.31137174087544106,0.3557636811663655,0.17713361737165542
OFCpost_R,0.39065480349767245,0.0043300920818901195,1.0,-0.2490412959668214,-0.020451073744689782,-0.10828820315319562,-0.11017694511750317,-0.09052087321173424,0.021174383534622733,-0.2605331203715495,0.16108854953253265,0.0937461602624794,-0.011009235513112543,-0.16594940088119603,-0.05164185771822682,0.021191407064334197,0.13006889248978293,-0.37636725526135006,0.233818038934042,-0.18939359089918645
Temporal_Sup_R,-0.17673387358452722,0.4347342242294645,-0.2490412959668214,1.0,0.16183977213909329,0.8114873289556308,0.17068214831957412,0.027480237015037413,-0.16645846483481924,0.6289884268510407,0.4463601395963937,0.14098780988703655,0.3777159147686065,0.4311173810546797,-0.07766583957534977,0.16343821625547175,-0.3665113423626066,0.67265300342074,0.10283899479412273,0.5281714259054897
OFClat_L,0.02687356242712922,0.21999424901592587,-0.020451073744689782,0.16183977213909329,1.0,0.10605731479060836,0.08770697362672278,-0.1711091854150815,0.24937685386165037,0.2943477082778576,0.20795497340254634,0.24401562273598718,0.2803311429651506,0.14059350989529085,0.18213921221240525,-0.020664291411300877,-0.004115049835248621,0.08070895163601823,0.2057061113729388,0.1160398043712388
Heschl_R,-0.27326753791229696,0.496816353479734,-0.10828820315319562,0.8114873289556308,0.10605731479060836,1.0,-0.18888025573368233,-0.0025801929506100237,-0.21351894065967425,0.5569749833840464,0.5785151874128371,0.31548926261827337,0.3885295442304122,0.4138344149410451,-0.18253828117177737,0.24878612556332266,-0.25425606237230275,0.679886563937913,0.08792356104866543,0.5561892933842917
Cuneus_L,-0.07708764639002744,0.014911214834046687,-0.11017694511750317,0.17068214831957412,0.08770697362672278,-0.18888025573368233,1.0,0.22878489346845907,0.09836772839838741,0.013430605893377395,-0.13217881759727168,-0.016695429233786713,0.23802684329254278,0.1509270380162211,0.293568367840641,0.029976732129409583,0.1316579422680748,-0.0006285736608748543,0.20853758748291643,-0.12351524179922677
Occipital_Inf_R,-0.047648962380793865,0.12865504482968756,-0.09052087321173424,0.027480237015037413,-0.1711091854150815,-0.0025801929506100237,0.22878489346845907,1.0,0.03618057174752126,0.019490965382223044,-0.024369155368843164,-0.14778885298738925,0.049017522024006194,-0.005773501793493946,-0.1515862677827434,-0.036227305991587355,-0.05964085705624712,0.025177210327358892,-0.041793281702630976,-0.12373107988318796
Temporal_Inf_R,0.056981032965355706,0.2133299966693598,0.021174383534622733,-0.16645846483481924,0.24937685386165037,-0.21351894065967425,0.09836772839838741,0.03618057174752126,1.0,0.05097346917361686,0.01605696162145203,0.22124341758471192,0.09783631608133112,0.008676210838046481,-0.0348972311392046,-0.1338795155860253,0.2972912961350381,-0.30940763058420206,0.20266721368119528,-0.31235575559932954
Thal_AV_R,-0.23881643523251117,0.4725023311502321,-0.2605331203715495,0.6289884268510407,0.2943477082778576,0.5569749833840464,0.013430605893377395,0.019490965382223044,0.05097346917361686,1.0,0.5440330975624916,0.40404588679726866,0.593280690898123,0.6719800458439985,0.02434154392624549,0.3557560984691871,-0.1055281948672438,0.6436894342602004,0.40784733899947606,0.6049391621242607
Thal_VA_L,0.10905471569342993,0.5271290182430098,0.16108854953253265,0.4463601395963937,0.20795497340254634,0.5785151874128371,-0.13217881759727168,-0.024369155368843164,0.01605696162145203,0.5440330975624916,1.0,0.505064877852414,0.5172556628583922,0.30560116054249603,-0.09408740571022405,0.3154993701466638,-0.040879976293006444,0.2625363192819435,0.5209447004126861,0.3834392816462127
Thal_PuM_L,-0.12219637031621622,0.4964271311779205,0.0937461602624794,0.14098780988703655,0.24401562273598718,0.31548926261827337,-0.016695429233786713,-0.14778885298738925,0.22124341758471192,0.40404588679726866,0.505064877852414,1.0,0.6220717981719591,0.5632412648676574,0.15887662507617228,0.5400122064227116,0.4292967232485794,0.1181956225692281,0.7013565026124645,0.14451723031114902
Paracentral_Lobule_R,-0.22165375674326437,0.4741056298075315,-0.011009235513112543,0.3777159147686065,0.2803311429651506,0.3885295442304122,0.23802684329254278,0.049017522024006194,0.09783631608133112,0.593280690898123,0.5172556628583922,0.6220717981719591,1.0,0.562942008499755,0.1908145784036554,0.47593097492336595,0.16114208188762474,0.37154336030763696,0.6744547191476259,0.3740803404576426
Thal_LP_L,-0.2672901073323139,0.4022163727757346,-0.16594940088119603,0.4311173810546797,0.14059350989529085,0.4138344149410451,0.1509270380162211,-0.005773501793493946,0.008676210838046481,0.6719800458439985,0.30560116054249603,0.5632412648676574,0.562942008499755,1.0,0.007303892859320048,0.44135899715059906,0.05351604539500847,0.5290035164539675,0.4125397835788475,0.4101842685642449
Amygdala_R,-0.13923163469280378,-0.00569389180382919,-0.05164185771822682,-0.07766583957534977,0.18213921221240525,-0.18253828117177737,0.293568367840641,-0.1515862677827434,-0.0348972311392046,0.02434154392624549,-0.09408740571022405,0.15887662507617228,0.1908145784036554,0.007303892859320048,1.0,0.14370469643149106,0.1547209193622055,0.009360355496638871,0.20400290708477878,-0.03658206489968313
