,LC_L,Thal_MGN_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_R,Thal_AV_R,Thal_VA_L,Thal_PuM_L,Paracentral_Lobule_R,Thal_LP_L,Amygdala_R,Temporal_Sup_L,N_Acc_L,Thal_LGN_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Thal_AV_L,Hippocampus_R,Vermis_6,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_10,ACC_sub_L,Occipital_Sup_R,Vermis_9,Temporal_Mid_L,Thal_VL_L,Frontal_Med_Orb_L,Caudate_L,Frontal_Inf_Oper_R,Cerebellum_3_L,OFCant_R,Cerebellum_Crus1_R,Thal_VA_R,Amygdala_L,Frontal_Mid_2_R
LC_L,1.0,-0.1369818681588133,0.39065480349767245,-0.17673387358452722,0.02687356242712922,-0.27326753791229696,-0.07708764639002744,-0.047648962380793865,0.056981032965355706,-0.067825837373988,-0.23881643523251117,0.10905471569342993,-0.12219637031621622,-0.22165375674326437,-0.2672901073323139,-0.13923163469280378,-0.402910062739531,0.3167565286368783,-0.051941211236040744,0.05315278669601297,-0.2547357010237146,-0.12839390557868874,-0.18023289540434287,-0.21376826246431835,0.05415379696908114,-0.24325932412633514,0.3850885348126885,0.028094005036509828,0.049799780774677546,-0.13979104740968618,-0.5175189818713927,-0.10031401776774404,0.19383239167867936,-0.34020836747025246,-0.4473444204999374,-0.16266884889927694,0.13071853405008124,-0.08109990767276953,-0.14616898581195797,-0.36191187315125545,-0.11346392396626992,0.21216673156417443,-0.26408515645274544,0.007531908818050748,-0.018483307610137518
Thal_MGN_R,-0.1369818681588133,1.0,0.0043300920818901195,0.4347342242294645,0.21999424901592587,0.496816353479734,0.014911214834046687,0.12865504482968756,0.2133299966693598,0.46814430558644987,0.4725023311502321,0.5271290182430098,0.4964271311779205,0.4741056298075315,0.4022163727757346,-0.00569389180382919,0.2215324804201239,0.14098683958236144,0.10597412979310034,0.3557636811663655,0.35470048196974996,0.17713361737165542,0.42749434854962776,0.4850213886204495,0.43491969239467015,0.5711973054792843,-0.2296007792715134,-0.022929509475594002,0.03275947561980586,0.4245836366102402,0.07663909128611629,-0.07066832663408015,-0.2692624959057404,0.21142122356569945,0.2251096001568312,0.441467866184598,-0.15743669003402339,0.48071099496719805,0.4310353406749221,0.566053429077388,0.24118159132035047,-0.12048977195748835,0.5078872034860632,0.06754830107992518,0.4954543301430061
OFCpost_R,0.39065480349767245,0.0043300920818901195,1.0,-0.2490412959668214,-0.020451073744689782,-0.10828820315319562,-0.11017694511750317,-0.09052087321173424,0.021174383534622733,-0.22244476628821003,-0.2605331203715495,0.16108854953253265,0.0937461602624794,-0.011009235513112543,-0.16594940088119603,-0.05164185771822682,0.021191407064334197,0.34089175299546265,0.13006889248978293,0.233818038934042,-0.10758295394722629,-0.18939359089918645,-0.042663141538544426,0.07126775771862752,0.21154611927402694,-0.1420571935105064,0.18930242090073698,0.04974562471414203,0.04338781769088288,-0.21224733379475444,-0.3101688684538589,-0.09039204607924495,0.1383122614832355,-0.2637916518446382,-0.140308366391007,-0.017041364430375783,0.1397018888036544,0.03076873909008697,-0.11694405700034964,-0.2151255594325401,0.0244265429921688,0.06253729273368185,-0.19870174346633454,-0.09465203245401253,0.10938740380517922
Temporal_Sup_R,-0.17673387358452722,0.4347342242294645,-0.2490412959668214,1.0,0.16183977213909329,0.8114873289556308,0.17068214831957412,0.027480237015037413,-0.16645846483481924,0.5259034912517404,0.6289884268510407,0.4463601395963937,0.14098780988703655,0.3777159147686065,0.4311173810546797,-0.07766583957534977,0.16343821625547175,-0.04584592967978738,-0.3665113423626066,0.10283899479412273,0.26907514358999957,0.5281714259054897,0.26836523329106193,0.35887350427803705,0.3836835207189918,0.6584824829128547,-0.3312619818559882,-0.21864409952102257,-0.12439749351673185,0.8103133242015484,0.5781454736299133,-0.07768751805570989,-0.5172107247957235,0.48151934557641035,0.15482018470982298,0.39945042713100176,-0.1913879581070697,0.5135809991305813,0.8055166126548642,0.7474939443822374,0.05121897998367977,0.09229856272853547,0.6688114407080868,-0.12387894254195575,0.44918337502171835
OFClat_L,0.02687356242712922,0.21999424901592587,-0.020451073744689782,0.16183977213909329,1.0,0.10605731479060836,0.08770697362672278,-0.1711091854150815,0.24937685386165037,0.36521352472374546,0.2943477082778576,0.20795497340254634,0.24401562273598718,0.2803311429651506,0.14059350989529085,0.18213921221240525,-0.020664291411300877,-0.06683734191304286,-0.004115049835248621,0.2057061113729388,0.10944373278824417,0.1160398043712388,0.2019535780486626,0.25811428047404916,0.04033965986432995,0.16764259128217876,-0.049734669665207135,0.12186209586860554,0.12076660013037395,0.2833101940464233,-0.04942484713560651,-0.008176378042594015,-0.08949802134996694,0.059635915726108345,0.03910614574632972,0.23206063761210685,-0.0532784785489168,0.10990996149961269,0.1478173872416847,0.1848902287948751,0.25835026713498666,-0.08230073118378006,0.11163026358764176,0.13053728217530428,0.11317955916559413
Heschl_R,-0.27326753791229696,0.496816353479734,-0.10828820315319562,0.8114873289556308,0.10605731479060836,1.0,-0.18888025573368233,-0.0025801929506100237,-0.21351894065967425,0.42922403734943493,0.5569749833840464,0.5785151874128371,0.31548926261827337,0.3885295442304122,0.4138344149410451,-0.18253828117177737,0.24878612556332266,0.10801642410937883,-0.25425606237230275,0.08792356104866543,0.3098784935306921,0.5561892933842917,0.3749221028657418,0.3426500511520673,0.543109371543357,0.7546658316508158,-0.5463852427988912,-0.42615565512508297,-0.38617957713526174,0.5504176989352437,0.5400752119920598,-0.1245302708112598,-0.6247114107914339,0.5748245268688603,0.2504261910133317,0.45829478939481466,-0.2793049286479417,0.5930443808562623,0.7148855608265325,0.7004103089024281,0.23275551986588044,-0.14812504720115427,0.8303752915177538,-0.07597360699267207,0.540143489699307
Cuneus_L,-0.07708764639002744,0.014911214834046687,-0.11017694511750317,0.17068214831957412,0.08770697362672278,-0.18888025573368233,1.0,0.22878489346845907,0.09836772839838741,0.11815182687179601,0.013430605893377395,-0.13217881759727168,-0.016695429233786713,0.23802684329254278,0.1509270380162211,0.293568367840641,0.029976732129409583,-0.11777432666497238,0.1316579422680748,0.20853758748291643,0.007861186143779795,-0.12351524179922677,-0.09467093035784124,0.25967203804974365,-0.03357484557512482,-0.07473144113532557,0.30329413310073355,0.4877275663919889,0.613130902795738,0.4388221632396546,0.15678550748908968,-0.1523816952876816,0.26730843099627777,-0.1850261559725519,0.12512721869237156,0.1667042771281824,0.11004248488579305,-0.12370540191249858,0.17625576523929654,0.2783983360486674,-0.08709172531202043,0.3154861489815441,-0.19889116949314678,-0.15790993680981683,-0.03990134781428782
Occipital_Inf_R,-0.047648962380793865,0.12865504482968756,-0.09052087321173424,0.027480237015037413,-0.1711091854150815,-0.0025801929506100237,0.22878489346845907,1.0,0.03618057174752126,-0.06139464698922253,0.019490965382223044,-0.024369155368843164,-0.14778885298738925,0.049017522024006194,-0.005773501793493946,-0.1515862677827434,-0.036227305991587355,-0.03488767938116531,-0.05964085705624712,-0.041793281702630976,0.05777356808599058,-0.12373107988318796,-0.007653641734056278,0.038262385451841595,0.038544198202790585,0.023311254646184335,0.02601297549226192,-0.023219364347606325,0.059846698544366896,0.06925943265178099,-0.027804402782850346,0.056392478079758224,0.12411056281739215,-0.011112922009079934,0.08058243390995291,-0.08622087362367127,-0.06109775395844228,0.07143600625134656,0.11149471756764195,0.08574441495635352,-0.09659356539105465,-0.0737000331984934,0.04614342144950909,-0.14489154796893747,-0.002745473142925557
Temporal_Inf_R,0.056981032965355706,0.2133299966693598,0.021174383534622733,-0.16645846483481924,0.24937685386165037,-0.21351894065967425,0.09836772839838741,0.03618057174752126,1.0,0.12757678995375243,0.05097346917361686,0.01605696162145203,0.22124341758471192,0.09783631608133112,0.008676210838046481,-0.0348972311392046,-0.1338795155860253,0.037165358351812346,0.2972912961350381,0.20266721368119528,0.09226480893072073,-0.31235575559932954,0.13192692568769415,0.09493070506478259,8.70206218059923e-05,0.12058970506778761,0.05974630035043533,0.22367352200161406,0.24698938546194918,-0.01071633109053818,-0.30456491146559667,-0.06231448286035947,0.23745933719089538,-0.10044525639756198,-0.06996215945554987,0.021954905474102906,-0.0008096613048387644,0.0037581663863781836,-0.07237457008165181,0.0015152214775022168,0.1800366254025875,-0.05910630877139739,-0.21067603779504418,0.04042395354281246,0.10393891829365992
Red_N_R,-0.067825837373988,0.46814430558644987,-0.22244476628821003,0.5259034912517404,0.36521352472374546,0.42922403734943493,0.11815182687179601,-0.06139464698922253,0.12757678995375243,1.0,0.7664820071441503,0.5273932045949423,0.4358197109996751,0.5053231889313778,0.6215776284373392,-0.07752458165723257,0.16423775298856308,-0.09842857221453155,0.05294352995401297,0.4582057357759932,0.36984910664279014,0.39838616187196296,0.5975047032911214,0.569651563162422,0.21575975112961474,0.6155940133132831,-0.23190299504168552,0.1458173033469053,0.1455087188866771,0.6615729977150333,0.19035562597049824,-0.0338816168635746,-0.36410220100959784,0.2233459058793599,-0.00013226648393667009,0.6193773311548049,-0.062097888616847764,0.5543302626466255,0.46209914925369466,0.6150606160125583,0.01066530351740617,-0.0006062776569526944,0.524200487312486,0.03789093874750136,0.5181453465111442
