,SN_pc_L,Thal_MDm_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Vermis_8,Thal_AV_L,Thal_LGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R
SN_pc_L,1.0,-0.3417392481987582,-0.5129204735443086,-0.13419593860295892,-0.5562347723121629,-0.43277755710522947,0.7711033760189928,0.39758282511481235,0.12686330368602095,-0.5070846835732049,0.35836534496332173,0.16278675360383726,0.4961777126154916,0.6702494799254232,-0.4034884587518066
Thal_MDm_R,-0.3417392481987582,1.0,0.38903312848864013,-0.04945722215155076,0.5116001407766297,0.24486213432918028,-0.18355115564175756,-0.34404319919752735,-0.31831962056828766,0.1749635860886123,-0.23185784290982975,0.4312909814345815,-0.017027233823567495,-0.36182790773570295,0.3261802409546287
OFCpost_R,-0.5129204735443086,0.38903312848864013,1.0,0.06701962273985278,0.6414421752941779,0.30831496009361686,-0.5328835149717017,-0.48537275262278223,-0.11436066584199221,0.1038939081070437,-0.378970640737616,0.17759212969196284,-0.3597661784796263,-0.667549284591861,0.4388665365532239
Temporal_Sup_R,-0.13419593860295892,-0.04945722215155076,0.06701962273985278,1.0,-0.4136651621765711,0.8719112195968807,-0.09189348015337165,0.4920161359267807,0.7701818773417443,0.04768962783238918,0.33306648922265114,0.13185310498813196,-0.3557031743648096,0.06639853914089054,-0.21723304701803353
OFClat_L,-0.5562347723121629,0.5116001407766297,0.6414421752941779,-0.4136651621765711,1.0,-0.08044558462522919,-0.5249791837798082,-0.8219774102941223,-0.5579753463063988,0.2508665366037401,-0.5271463773875782,0.19960415574520549,-0.10747638592969262,-0.6628250972641103,0.6056780806000445
Heschl_R,-0.43277755710522947,0.24486213432918028,0.30831496009361686,0.8719112195968807,-0.08044558462522919,1.0,-0.3605792096379484,0.23742229105313284,0.5195574765847991,0.14736137747132708,0.03108154910697305,0.11341126494521112,-0.5202644331181986,-0.24843345302908199,-0.0645734782818473
Cuneus_L,0.7711033760189928,-0.18355115564175756,-0.5328835149717017,-0.09189348015337165,-0.5249791837798082,-0.3605792096379484,1.0,0.3924677253166373,0.06738559157819393,-0.5009474793945374,0.4075977862328321,0.11936103007996872,0.6944976675168133,0.6832751066458628,-0.49692303403895915
Occipital_Inf_R,0.39758282511481235,-0.34404319919752735,-0.48537275262278223,0.4920161359267807,-0.8219774102941223,0.23742229105313284,0.3924677253166373,1.0,0.5620422932677688,-0.10582928396185197,0.5645401797592822,-0.018248826912841395,0.08583467822706818,0.637874930463255,-0.5440731585219489
Temporal_Inf_R,0.12686330368602095,-0.31831962056828766,-0.11436066584199221,0.7701818773417443,-0.5579753463063988,0.5195574765847991,0.06738559157819393,0.5620422932677688,1.0,-0.0036964072717858287,0.49885496841626337,0.0831955087574721,-0.10877378930198954,0.32739190961266024,-0.2502158962317298
Vermis_8,-0.5070846835732049,0.1749635860886123,0.1038939081070437,0.04768962783238918,0.2508665366037401,0.14736137747132708,-0.5009474793945374,-0.10582928396185197,-0.0036964072717858287,1.0,-0.01028670500690215,-0.05979569038162176,-0.2859402423376779,-0.15804435925070764,0.511593433060066
Thal_AV_L,0.35836534496332173,-0.23185784290982975,-0.378970640737616,0.33306648922265114,-0.5271463773875782,0.03108154910697305,0.4075977862328321,0.5645401797592822,0.49885496841626337,-0.01028670500690215,1.0,0.26387840442318006,0.30877631719212206,0.5340133758343851,-0.3304183991414077
Thal_LGN_L,0.16278675360383726,0.4312909814345815,0.17759212969196284,0.13185310498813196,0.19960415574520549,0.11341126494521112,0.11936103007996872,-0.018248826912841395,0.0831955087574721,-0.05979569038162176,0.26387840442318006,1.0,0.27759662102481136,0.10441861461842257,0.07301839734334307
Paracentral_Lobule_R,0.4961777126154916,-0.017027233823567495,-0.3597661784796263,-0.3557031743648096,-0.10747638592969262,-0.5202644331181986,0.6944976675168133,0.08583467822706818,-0.10877378930198954,-0.2859402423376779,0.30877631719212206,0.27759662102481136,1.0,0.6048422518621223,-0.19517323473691806
Vermis_9,0.6702494799254232,-0.36182790773570295,-0.667549284591861,0.06639853914089054,-0.6628250972641103,-0.24843345302908199,0.6832751066458628,0.637874930463255,0.32739190961266024,-0.15804435925070764,0.5340133758343851,0.10441861461842257,0.6048422518621223,1.0,-0.5417677361379252
Amygdala_R,-0.4034884587518066,0.3261802409546287,0.4388665365532239,-0.21723304701803353,0.6056780806000445,-0.0645734782818473,-0.49692303403895915,-0.5440731585219489,-0.2502158962317298,0.511593433060066,-0.3304183991414077,0.07301839734334307,-0.19517323473691806,-0.5417677361379252,1.0
