,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_R,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_L,Thal_MDm_L,Precentral_L,LC_L,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,Thal_PuL_L,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L
SN_pr_L,1.0,0.4832133969394315,0.6047387235364913,0.7597551876480413,0.23790050117568207,0.526961169202775,0.4555383216398529,0.05613002068041454,0.6101532562859133,0.6713998995461975,0.2772537889496527,0.48092103774656475,0.5059139124249645,0.13987290327682808,0.41758423820385787,0.48214196223214745,0.7823336580951743,0.5433034805408448,0.471547712162312,0.40873034172573514,0.48058968081241155,0.5474112790001067,0.6971872145155085,0.5012538856129138,-0.056715272555218826,0.7249254200185333,0.6303504786346957,-0.00014714833521135026,0.5443933353045838,0.5494758118197636,0.33734658184962313,0.38220954382740596,0.16322732257916575,0.7513669057680116,0.3421162217434922
Thal_MDl_R,0.4832133969394315,1.0,0.2569522892125333,0.6007360853892085,-0.137138863852582,0.4869085427419397,0.37752383324105593,0.011508668978923097,0.37912136080721776,0.60877933385227,0.038201872049949494,0.28848500403715993,0.1953245335204558,0.43609617830909075,0.149768506506029,0.09188033582428812,0.5505877785235778,0.4837864096751892,0.834657658382854,0.22792234866189134,0.34959039801994024,0.12976155618360086,0.5456657378849747,0.38716851543268194,-0.10417575792483195,0.6074004443066391,0.3726093401883136,-0.0852039471827043,0.3919038873446902,0.5235616381227983,0.17647864608353342,0.5250650151460472,0.3444644707263558,0.647261829229473,-0.012039882917468728
OFCpost_R,0.6047387235364913,0.2569522892125333,1.0,0.636282352044549,0.02011447900365095,0.42836983839511095,0.2993178589129344,0.03072808913466017,0.4658850289306522,0.48750450770326664,0.3260831031284588,0.30300487913802476,0.30050362971457845,0.10368243958627124,0.36103792412202323,0.3184954547707577,0.5698330906165874,0.5115547194275439,0.27997442837191183,0.23080242116205452,0.3595101928029389,0.5895789367217535,0.6071347838758356,0.3355320617850518,0.04090678599697536,0.4729189526464369,0.42975876727978046,-0.08933609392355284,0.3768431889408539,0.3841040679627488,0.26690088245893073,0.1286383720828515,0.05295314849697297,0.5094538630270697,0.11093161393252779
Temporal_Sup_R,0.7597551876480413,0.6007360853892085,0.636282352044549,1.0,0.07363230839750438,0.6222797395577154,0.5224151709484709,0.21347581311642216,0.7640168749274352,0.781100615811735,0.33982488397145727,0.6147343491221865,0.3782336176023781,0.19822219095445945,0.4484549578981533,0.4892976149623147,0.8724062119915265,0.6793548117714389,0.7379473504371542,0.425620609065695,0.4737541440931062,0.5807215248777537,0.8721146366418288,0.5189196424190385,0.11391777644925569,0.8157169321915833,0.6298348303278024,-0.068483875676085,0.5403021729336142,0.597359779442067,0.5152831291849098,0.34411315444316487,0.18013964005750221,0.8241249771284059,0.27413128365984646
OFClat_L,0.23790050117568207,-0.137138863852582,0.02011447900365095,0.07363230839750438,1.0,0.20984806861817806,-0.1618785848365059,0.08934898609531201,0.13532674552013702,0.0022448518209237742,0.04538997324164208,0.2985889796596484,0.43379267742461436,-0.35064037252060437,0.16493304579845372,0.4739035415078201,0.2996486994970349,-0.27219247937895974,-0.14421826329130835,0.6021082546443391,0.08757968522737618,0.23769486992816527,0.2870859231964136,0.3897793178182775,-0.08548052660925248,0.27225952823056715,0.14974767684347146,0.016457671880890697,-0.10384046144252226,-0.07041762226618001,0.048826710533133866,-0.037912195966330005,-0.3266158070334891,0.1812872838253484,0.6699326274777698
Heschl_R,0.526961169202775,0.4869085427419397,0.42836983839511095,0.6222797395577154,0.20984806861817806,1.0,0.3920787439929532,0.2111805844690863,0.43675325061581227,0.5809865420181903,0.174774421566164,0.2593297922367116,0.21629988463913952,0.2306657089588573,0.2924293474061008,0.589043508893779,0.6084393727318589,0.4127645022855442,0.46206071242822944,0.5068370864751832,0.3973955666771656,0.2014755367964689,0.7238562413161765,0.5444915413807488,0.06330014880779182,0.5843198709316495,0.4179705481361637,-0.020503169609060533,0.4369898424642386,0.5038739265720494,0.38071858330033204,0.2351839620524086,0.273416896332932,0.5296223836487388,0.3927397267123119
Cuneus_L,0.4555383216398529,0.37752383324105593,0.2993178589129344,0.5224151709484709,-0.1618785848365059,0.3920787439929532,1.0,-0.1259905950469542,0.39809441386829897,0.44733691894672695,0.308074315750224,0.20920297619146777,0.08702098724015105,0.5149906703236024,0.3951247637839909,0.3218515143350625,0.5006673396229117,0.6578792094608625,0.4608398396615552,0.09609614529255892,0.42490313542630964,0.21603973857245423,0.4068847749991617,0.4106390795703909,0.07100500776056956,0.4569963420164604,0.5096132003970266,0.22875098819958956,0.900769059620125,0.7429846482622832,0.2936803315329206,0.2086527867910784,0.6701337747568756,0.4394602697445517,0.23934466778115338
Occipital_Inf_R,0.05613002068041454,0.011508668978923097,0.03072808913466017,0.21347581311642216,0.08934898609531201,0.2111805844690863,-0.1259905950469542,1.0,0.43094202483313415,0.062399399492583045,0.3749098130868433,0.07286769211883334,-0.27040063534282055,-0.41738763639523596,0.3072309570363272,0.26165272553109065,0.1739273888449156,-0.2792797106202397,0.10284690352193192,0.4187133286557508,-0.03266762785699857,-0.11742052000873383,0.37795917403005663,0.08346780696701767,0.7729143380582381,0.02171400815666912,0.2678429700315542,-0.27087126971627,-0.07302943897659071,-0.19484549790910022,0.7634471248171962,0.08409417680696238,-0.2447432047783481,-0.03771404129998127,0.31724886967560834
Temporal_Inf_R,0.6101532562859133,0.37912136080721776,0.4658850289306522,0.7640168749274352,0.13532674552013702,0.43675325061581227,0.39809441386829897,0.43094202483313415,1.0,0.518500165094264,0.5513145764589185,0.5396553263593092,0.2785993383917909,-0.12067053016317116,0.5602213580756398,0.4087211150640012,0.7587110647123304,0.45480801224331535,0.5425794572935548,0.3913996681667402,0.43113612148272085,0.44587704697276326,0.7258120317943325,0.434915272458154,0.34259484402290624,0.594415541398343,0.6941586938831427,-0.225163587212698,0.4734475004730965,0.39094795681964917,0.6919689129664299,0.3970044372932006,-0.02486882321310753,0.6457272558406478,0.3828743353120906
SN_pr_R,0.6713998995461975,0.60877933385227,0.48750450770326664,0.781100615811735,0.0022448518209237742,0.5809865420181903,0.44733691894672695,0.062399399492583045,0.518500165094264,1.0,0.14074226142044455,0.48307625193414216,0.42210011091223687,0.402868390567945,0.27123582303173016,0.5320937367102122,0.6922671018000063,0.6287397771749565,0.6910980160235104,0.3607562763092494,0.5237103834280337,0.5318031790005961,0.7168874481019276,0.48142956748007304,-0.014578103418270054,0.8263844085364589,0.5285012131093858,-0.09984136223265347,0.49616263549795747,0.6453233303818767,0.35736931644674075,0.3989768869496839,0.3703479272057624,0.8069074809479482,0.21664980695913144
