,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_R,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,N_Acc_L,Thal_MDm_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R
SN_pr_L,1.0,0.30044832288623735,-0.09673621946654731,0.5201817694975541,0.37576356687216417,0.42359698878584734,0.45520823095899265,0.3910470571233836,-0.006133316770409962,0.45471833513229376,0.19839419985902587,0.13828051219219198,0.35879166368862575,0.38232856171380963,0.32719466305327743,0.005250392782981387,0.4910608527671006,0.0816593977689756,0.5449887122484337,0.27180294544510003,0.18122889782144808,-0.031216420740962533,0.2707810358499643,0.4340259353268488,-0.028876760597178704,0.6737539593624253,0.03643738672504092,0.3760352905481623,0.5481658663855197,0.3241443079092729
Thal_MDl_R,0.30044832288623735,1.0,0.11716144698154399,0.16124331670292133,0.1840857086803682,0.43681090236099696,-0.04065336834036871,-0.04229120231792534,-0.15944040166600884,0.45624687872054176,0.3050938195999757,0.25402697769442195,-0.04304610463899102,0.20809996432114714,0.2188880903517465,0.1866381066762574,0.28357152969131383,-0.00019689420428712056,0.5156692072865996,0.2759997297338611,-0.35332238828810786,0.23661463195077162,0.23252936614460218,0.29001314041858794,0.2516422897963239,0.3571629679356941,0.11541306169839233,0.019998291517274173,0.14405867126437452,0.06529292809902781
OFCpost_R,-0.09673621946654731,0.11716144698154399,1.0,0.06780332748952278,0.2276736976228956,0.2488998633287689,-0.15345022697899316,-0.04560106156985403,0.0607050361681865,0.2114137489925807,-0.16573636417082963,-0.07629272374839378,0.039891840035872636,0.269583151612776,0.07941375870976773,-0.061098283826958345,0.3273167096715402,0.38631046790080537,0.29860987825996754,0.4536861069032696,-0.04071508344112809,0.8511675155011161,0.5864988236624205,0.3242355803507317,-0.013391309702613074,0.07322746983697345,0.06324708158863479,-0.12979415241311512,-0.06604926088242973,0.0817040051928236
Temporal_Sup_R,0.5201817694975541,0.16124331670292133,0.06780332748952278,1.0,0.5862885572212643,0.7150086211245492,0.5648409917000319,0.5569769065376114,0.1124070616141514,0.3031900215703684,0.2651673202845131,0.3343205354258851,0.28717256909205374,0.8621233897864848,0.27878929754575826,0.06989451587787193,0.7361344079567207,0.30647789823569227,0.5669085422710253,0.7102876224132805,0.2938837253270491,0.06840569152667672,0.6159340017344909,0.8225164557282263,-0.13184896186691034,0.5545199511946279,0.36580940712047627,0.6504418992905597,0.861613496816674,0.8513023043285934
OFClat_L,0.37576356687216417,0.1840857086803682,0.2276736976228956,0.5862885572212643,1.0,0.4626308379469508,0.36517353985370704,0.3099762384911592,-0.0738946362011184,0.33245266689994807,0.3165681175752436,0.34901246433542144,0.24536777343541502,0.4537709303410702,0.13219661759878415,0.0001917375947573857,0.6237242776157662,0.19214360657513424,0.45452750802022013,0.3476987044589495,0.018302744871092187,0.2818075229274928,0.45253788223050084,0.4504740051636574,0.12936856081433756,0.5926208207137011,0.4158855800641249,0.2646505861709173,0.4794333946645395,0.49369443309332467
Heschl_R,0.42359698878584734,0.43681090236099696,0.2488998633287689,0.7150086211245492,0.4626308379469508,1.0,0.12921664715899767,0.33754221026767856,-0.07709482879581304,0.4399348274714341,0.436460945277353,0.23993025623278758,0.2305238421650718,0.7383459494416525,0.4396015669544713,0.2354241726967457,0.7446793504219107,0.2738302891076046,0.6022062750705922,0.7343400609675996,-0.11845843740600316,0.3136095571648875,0.5146582771531845,0.7746021942053418,0.2439283121479356,0.5669898203581526,0.3214685132294451,0.37327880338419656,0.6065365406768097,0.5774668842210866
Cuneus_L,0.45520823095899265,-0.04065336834036871,-0.15345022697899316,0.5648409917000319,0.36517353985370704,0.12921664715899767,1.0,0.40468411532635606,0.4542387587058591,0.04076083421704816,-0.1475502616113784,0.18078494867643652,0.32296662180063157,0.4700650913031545,-0.06939793483775006,-0.17411495297327306,0.3007006547575186,0.09358716347950626,0.2284426155897228,0.21193597354002133,0.5073653330928496,-0.2068193464039017,0.39933845160950837,0.37021607651736405,-0.5036680160800889,0.3427658478905791,0.06408907409516078,0.3904175749112469,0.5647424098233841,0.5105215518608719
Occipital_Inf_R,0.3910470571233836,-0.04229120231792534,-0.04560106156985403,0.5569769065376114,0.3099762384911592,0.33754221026767856,0.40468411532635606,1.0,0.09388785120176159,0.23510486934554348,0.15163840926290675,0.13158201037762457,0.2368007390263684,0.4287298809324795,0.09291628976598051,-0.024698709753501406,0.3890859166989236,0.27502501126902495,0.3169396714478384,0.29826263294934036,0.21925081472314817,-0.054584143870738754,0.253755341800373,0.41801140025866246,-0.06162654387726614,0.40466977579255575,0.2161466398677828,0.38967026110353237,0.507554288228815,0.45146812032285843
Temporal_Inf_R,-0.006133316770409962,-0.15944040166600884,0.0607050361681865,0.1124070616141514,-0.0738946362011184,-0.07709482879581304,0.4542387587058591,0.09388785120176159,1.0,-0.2347516357013073,-0.4483452291944151,-0.24348647168832085,-0.009727532851810333,0.19024823946200559,-0.2662349666746434,-0.22595168115609146,-0.17589137008580022,0.28880404603688725,-0.17815002575928215,0.03767041426593097,0.336881550090647,-0.03239647758903246,0.3444889748613531,0.02036060295111184,-0.41693260137778765,-0.3144495330907193,-0.028124663992872723,0.028459899191035594,0.06036824729039013,0.18025625300389825
Red_N_R,0.45471833513229376,0.45624687872054176,0.2114137489925807,0.3031900215703684,0.33245266689994807,0.4399348274714341,0.04076083421704816,0.23510486934554348,-0.2347516357013073,1.0,0.22186565046144832,0.16962885573017927,0.07391435099883932,0.23490602734916968,0.2660848259631645,0.013311826262462865,0.46648699562066054,0.029988158990649768,0.6149097150602847,0.2596181770735332,-0.32067224664031735,0.21415085766717357,0.18471554427912848,0.29978181917042096,0.1289883570619161,0.5764434235308146,0.10000113816504962,-0.00029336309750986974,0.14731136657798694,0.07864937705278031
