,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_L,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_pre_R,Thal_Re_L,Precentral_L,Red_N_R,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,Thal_PuA_R,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,Cerebellum_3_L,OFCant_R,Cerebellum_Crus1_R,Thal_AV_R,Amygdala_L,Frontal_Mid_2_R,Frontal_Sup_2_L,Thal_VA_L,Temporal_Inf_L,Vermis_1_2,Rolandic_Oper_R,Occipital_Sup_L,Thal_LP_L,Caudate_L,Parietal_Inf_R,Thal_VPL_L,Vermis_10,Frontal_Sup_Medial_L,VTA_L,Frontal_Med_Orb_R,Pallidum_L,Rectus_L,Cerebellum_6_R,VTA_R,Postcentral_R,Cerebellum_8_L,Lingual_L,Raphe_D,ACC_sup_R,Red_N_L,Rectus_R,Frontal_Inf_Oper_R,Fusiform_L,Thal_PuI_L,Olfactory_L,ACC_sup_L,Frontal_Sup_Medial_R,OFCmed_L,Thal_MGN_R,Temporal_Mid_L,Thal_LP_R,Cingulate_Post_L,Temporal_Pole_Sup_R,Paracentral_Lobule_L,ACC_pre_L
SN_pc_R,1.0,0.4005942850495725,0.020716523560501632,0.10608054040878642,0.23657066227465084,0.34107083907882807,-0.15314156495043507,-0.0999751123834457,0.11690175062068665,0.3461884942295666,0.0059279554943991175,0.35976921536704476,-0.14016498799592503,0.22589049929660587,-0.07320815338159158,0.3965877592257941,0.17107251878495794,0.5573611472756207,0.04018923272771388,0.2984876883288312,0.2677589129941298,0.10226389138228399,0.21334180405120415,0.22673837987432097,0.24627297460606207,0.24834126392943534,-0.02522083267801979,-0.15180389600938943,0.04537322294832102,0.2572728433460667,-0.3905555029077572,-0.17816671257798863,-0.1519576452648975,-0.1262453205680583,0.25731381288213284,0.4127441223295691,0.06954070469584454,-0.13916371245572914,-0.17600728800838256,-0.1462406679927354,0.3501923910435354,0.31583931978068136,0.49649343257710593,-0.09064907939191573,0.17315522566243605,0.22258086013455236,-0.30790896194650824,0.47041728448012754,0.3586010926931235,0.10579798905841913,0.5227133370552342,0.22152567088667027,0.2487110502004741,0.40822083414032445,0.34575393587143916,0.19790696296221333,0.00724561355422488,0.08671580802811753,0.7841563509285456,0.2743108055436216,-0.0430456732415047,0.13582707412550746,-0.27505512352185135,0.4393941023690145,0.229297592918468,-0.12292334522684101,0.3905839100941727,0.051134967809374356,0.025672213632390757,0.5895238798083229,0.383685255534626,0.3355345881750548,0.07556700050554514,0.06613666672194267,0.01411492209336115,0.13190002105629658,0.1581204256581864,0.22490359605956742,0.3536765938018691,0.3893394584407059
Thal_MDl_L,0.4005942850495725,1.0,-0.07567346625110559,0.07028964378903613,0.13295304969545663,0.5966318339753743,0.10161497813643508,-0.22036433226389118,0.07077571040392058,0.4722122191370444,-0.05263480024191736,0.1853563217148574,0.04585135736668689,0.2637801838531795,0.0230867869699593,0.13909712952265058,0.4266821755727511,0.4207342248806688,0.15773004778048977,0.08652386724201398,0.3593330975449625,0.1780561368237446,0.6773507789291828,0.027071149362064017,0.04951040648047053,0.34075540728578013,-0.20301416573690478,-0.08811027281844938,0.3035790968543591,0.5059941707190351,-0.11644730166792748,0.2080217875982011,0.2029875542780925,0.30842295739896936,0.3466790874657435,0.4547741139621496,-0.1997183091678875,-0.05980098391563147,-0.033747597364169546,0.2364395879045632,0.20627840924709903,0.5647590890959152,0.16133551705110813,0.3110391917261259,0.37621817392635465,0.3389555456316194,0.06061823587020918,0.5771543244014745,0.5373230336699351,0.5074421035036296,0.3986381411908864,0.40822083484364613,0.32561444155046154,0.04113453776243124,0.2094037485275138,0.4039543694053969,0.1320421133081522,0.04071502832783055,0.28677333480591893,0.5331817284724997,-0.005115191869210508,0.2090992505270679,0.09637370067327898,0.3954374927445244,0.4309458726455613,-0.1496208951410493,0.48053857808888695,0.38000812591914485,0.13772450640859496,0.5258558432460613,0.503776424884973,0.44828557520212964,0.09636213266587493,0.01889653602784428,0.37127998085014063,0.13629717600529767,0.2911014485355761,0.027084375207808053,0.4742103078660225,0.5686091065304768
OFCpost_R,0.020716523560501632,-0.07567346625110559,1.0,0.1848913635318088,-0.18354934999536435,-0.1527334618817529,0.010196996638732865,-0.30018592245203796,-0.018506113879077562,-0.492953236540572,-0.280240153231383,0.03150466392292981,0.44980772930401214,-0.05338488807477102,-0.1838137066774321,-0.134327951661575,-0.13172586503436234,0.15681247162473566,0.3229297230369134,-0.07437496622671366,0.05437679744719777,0.6038212874879118,-0.016802238153515146,-0.1579695332845807,-0.0919040172576659,-0.020830101021346577,0.29553564763370843,-0.16262702412972596,-0.021194921244714043,-0.053195161550093656,-0.03021224995694092,0.2809205980766691,-0.27110972573713726,0.4983115351988699,0.08341584802148251,-0.09795168909567072,0.34003173432473055,-0.2532940631134357,-0.39061352607705396,-0.06290986138143821,0.1450022104461029,0.07171429414060972,0.009625864373793666,-0.042710460043565435,0.036859633769790776,-0.08539396123207733,-0.1376002515271035,0.2805698641718108,0.12326259618997015,-0.07004421784196233,0.10129182239870338,0.10135555298344316,0.1294789871672502,-0.1663931522454999,-0.3671270989631827,0.06844094120892831,0.2747957346510089,-0.2938752652305583,-0.0889187368002751,-0.11613717852907321,-0.21958476438289568,-0.0200477737830099,-0.13801139552014088,0.13577975880978493,-0.25831495340754324,0.5603119935074796,-0.27493921307365,-0.052987125758198986,0.10601281437062658,0.14319185009338414,0.17508042273306776,0.10209493351758028,0.24487137844905388,0.1919542439725573,-0.13056117688856794,0.27288253804484475,0.020340084770112697,0.3012457797379258,-0.05215008980837883,0.18601816270653868
Temporal_Sup_R,0.10608054040878642,0.07028964378903613,0.1848913635318088,1.0,0.12705548261275199,0.041910236753228663,0.24324775217808023,0.41385286426439494,0.7094715099534387,0.29515540246828714,0.0708124988798923,0.2666623084322255,0.3261845008565119,0.3929774697651557,0.4890594518171723,0.2883145374232585,0.4697087549397099,0.3228332167710167,-0.12706469723135969,0.42307427066805037,-0.06518497387596565,0.440506882811125,0.3238710068550583,0.4831736487959169,0.15049489560119292,0.7418407930472405,0.48908881783866764,0.430731675220716,0.5243876043922379,0.2541072640852996,0.5388020078726053,0.1711375864209583,0.32777298794531723,0.28510941510047244,0.3308540668950553,0.39242324727970485,0.27710633457178846,0.5388514522136776,0.1636838400083214,0.16585520614525906,0.7616297412386742,0.47501231100634056,0.4478696843226038,0.057450359791825154,0.34793683600736713,0.7068077703089475,0.3167679581422247,0.1588256998447307,0.46666918450968464,0.08960692493463332,0.18990696589345654,0.5714955195000934,0.6434965134383536,-0.09780729888130542,0.27830198077691265,0.2848993320881332,0.2645510762425652,0.4646234984331523,0.00871630717735381,0.2920515970690593,0.2302773619353165,0.5753080525931035,0.3812808731537997,0.47842603298019626,0.15571838142811154,0.27024754337563744,0.5620557222487893,0.4582350374545773,0.3688951916099482,0.2575321776629282,0.5249569164000157,0.5130726964987515,0.344138641015081,-0.16606750127953795,0.17646389296743803,0.10295653795115962,0.5314493703136678,0.8259852364573298,0.31362466360315955,0.5244492099925873
OFClat_L,0.23657066227465084,0.13295304969545663,-0.18354934999536435,0.12705548261275199,1.0,0.01791838559910114,0.0914132943088007,0.3476448230143031,0.26144882996360497,0.3315982831173922,0.24144683002601483,0.014131487360669692,0.09460099039570667,0.12427597108786187,0.06016415327082358,-0.05229327615833523,0.22517723482864974,-0.18322954672081013,-0.2408358862332192,0.09588477809624547,-0.056409046861178334,-0.12970512005116258,0.18464933428753483,0.16988738690395502,0.2965912631250771,0.32554970503151515,0.23715380883267284,0.29687663966239747,0.15220974361540252,-0.017701126579304855,0.08444741190353468,-0.06354718251855995,0.28884328038297613,-0.07563498626840898,0.04051528709823492,0.27028158741434716,-0.32327054187147225,0.23519071313577256,0.26195997023008627,0.04265528045990883,0.008147627558720413,0.1047125571034618,0.2040821728452138,-0.10438014246342774,0.023608918344042728,0.3237488426500385,0.22466444775010688,-0.06604101826538009,0.15462859257815417,0.05953943695191267,-0.132517714892376,0.2907367296363838,0.08025260434822037,-0.0595151471486148,0.3782015417224598,-0.07648499376026575,0.045966115374923074,0.28264911174985935,0.04861310950542262,0.11311633344982087,-0.04047241070758244,0.13181321563019263,0.13045660895995062,0.02175135045190913,0.1333670487177937,-0.04163674061153,0.4700426419872196,0.11074345326410066,0.20324306351613552,0.24420651909059424,0.11281107704553764,0.09690553440475873,0.03698311212654047,-0.3712374460818472,0.2211900331005227,-0.14877056888735365,-0.05454832078004802,0.11037240227663593,-0.10420652141269396,-0.046251710993668024
Heschl_R,0.34107083907882807,0.5966318339753743,-0.1527334618817529,0.041910236753228663,0.01791838559910114,1.0,0.3806262922767041,-0.20211143835424,0.16045116774071963,0.1765168969308809,-0.27453813363380936,0.2509221563422254,-0.001338201499394626,0.5246446908995018,0.17524169960236224,0.1734746725361704,0.44588715455537997,0.45713507955125116,0.11536233655840233,0.41449451121922753,0.23839352974213252,0.17845936607364227,0.48834731408804155,0.27766215270734157,-0.036942947960636636,0.07246100642764941,-0.4871670249666353,0.10492606934703272,0.4849876109435044,0.8161357461525034,-0.060944467448450494,0.24188624650494042,0.30914282183084163,0.22158577299141097,0.6412979971363642,0.5043957670631576,-0.38753408135058515,-0.030703271191305483,0.048653800588880795,0.03754608107292794,0.3813014570093025,0.7262240508574619,0.08565989281904979,0.40224198287790397,0.4586525346293089,0.1003665535647249,0.10737533836883946,0.39350175283683064,0.6107204518454242,0.7479546021117369,0.5598520756283727,0.3994674354664733,0.2971380855852554,0.10864659982114605,-0.05286469447153678,0.5163467121226875,0.17197931939408911,0.05576461335346859,0.1851279056710684,0.8260351606793864,0.02009336777559088,0.41646658021164534,-0.010998796050975998,0.5644809100163627,0.1737964341257966,-0.20394133732019257,0.35600512099485626,0.331723881450592,0.12257359907285022,0.14198939780991168,0.5928829072305439,0.2995525302942709,0.095927808348131,0.270082265254188,0.2797054683630633,0.034524444584041865,0.4945402075823378,-0.12420136000066644,0.7018602442816253,0.5748440787822815
Cuneus_L,-0.15314156495043507,0.10161497813643508,0.010196996638732865,0.24324775217808023,0.0914132943088007,0.3806262922767041,1.0,0.32467723959833944,0.3525488805300886,-0.05112781648231573,0.07583785888848013,0.05305890930617295,0.31047812475478176,0.4826458981017922,0.5751033778625866,-0.09510845017230375,0.5011854975114947,0.0018979441411978073,0.020017011817365038,0.3077434988109092,-0.036253701461431226,0.07221239059717728,0.28148261043772665,0.30488593248665674,0.2239926261099633,0.10149985906545482,-0.2616630260613796,0.6517164519164124,0.7246069201114327,0.5749419394891649,0.3895974410281475,0.372976820790079,0.8251530650351173,0.2939082014807105,0.4937328014206564,0.10442143979873851,-0.1366489092553249,0.3771516698792864,0.35014066985664616,0.3817249309711524,0.45339090674762933,0.5810846570335092,-0.22503692282089535,0.4218780825612883,0.1496131359464692,0.04076937224658792,0.7753618841304422,-0.0789628671892537,0.28482701520521964,0.7155241938424315,0.134552426479396,0.26203395239373534,0.40389184026632524,-0.18143955738331372,-0.2049203089535895,0.34693593991891025,0.044322555990429176,0.3138191234822245,-0.32353451446665854,0.6435530481816534,0.2909977779005108,0.6553281513187518,0.27560371040851184,0.3575565313954556,-0.09501385932621642,-0.08775623330537083,0.2919992228501093,0.400532453902376,0.1785426520755435,-0.21919234701140253,0.4751214523275683,0.3983523820304281,-0.044390407477410534,0.10132006979318076,0.5153510701885367,0.13064271282746587,0.21543854135201923,0.03633670457030893,0.4543515301420207,0.29909095671043895
Occipital_Inf_R,-0.0999751123834457,-0.22036433226389118,-0.30018592245203796,0.41385286426439494,0.3476448230143031,-0.20211143835424,0.32467723959833944,1.0,0.5341878096939342,0.2892713782621667,0.6154394023959614,-0.04443623179103645,0.06679409649286186,0.1559410870275874,0.7351803910445792,0.07452700153140858,0.4015729256067411,-0.1398454058765816,-0.34327836719291627,0.16379843502463173,-0.2238031363682248,-0.3500073504858248,-0.014823727379482277,0.29326267437629133,0.5220289386207072,0.3392243439636168,0.20899610638079683,0.42961365212731556,0.14796842674084554,-0.09507446475289148,0.5431391804184954,-0.18126180890209032,0.4487309755271424,-0.31184052852903255,-0.03441631215396413,0.27437980863743255,-0.12458897525428296,0.8340471884623488,0.3812791500888366,0.3442341829080197,0.2557003189390017,-0.02155633571542317,0.062416574780324335,0.06209268678487749,-0.21874424677017007,0.38031636231133314,0.381695574445737,-0.25385632237818434,-0.026928110677077125,-0.13616750368446356,-0.16826105327974236,0.13625103461018637,0.08665737295889418,-0.04867119790620296,0.24482608262924244,-0.08392863699742052,-0.028940989064268917,0.7367542293264796,-0.1482011338341141,-0.0530363077946663,0.36282483164502405,0.5387007310688345,0.28158550293388196,-0.06264818154016714,0.004442783727105414,-0.1549790071804239,0.4184338075717885,0.26135080538129823,0.35787231017753435,-0.029456352186003787,-0.04579193446523546,0.018606018090999297,-0.0037889242795143656,-0.31179201837333687,0.3395339550333284,-0.010835664571548723,-0.019375737449745967,0.33689607286624706,-0.145163259071751,-0.15703132329900532
Temporal_Inf_R,0.11690175062068665,0.07077571040392058,-0.018506113879077562,0.7094715099534387,0.26144882996360497,0.16045116774071963,0.3525488805300886,0.5341878096939342,1.0,0.251370410110118,0.2116902946361718,0.28178207245045667,0.2254738677577361,0.591872251150671,0.5413975254248413,0.28972663756750855,0.46019669427563586,0.13700239924880386,-0.25781749800256865,0.5360024525385475,-0.13346040819706184,0.23286291961221706,0.21197987667129306,0.5555962924552165,0.2875278868020487,0.6322391038251878,0.31498822437128887,0.5184355763153999,0.5540280682311977,0.2605967679330898,0.5995918885868116,0.1880039351762973,0.4395725549667916,0.1088392332168078,0.45958763680004344,0.4853313049586237,-0.007830016090931558,0.6553681221876989,0.2815438432571704,0.05219889593539606,0.583475228168604,0.46496649097176646,0.296066412742603,0.22024331053282348,0.18072382602964904,0.5069214083937409,0.2685057684975228,0.06884783721141466,0.4789559165744141,0.17335449225237218,0.21516729742369925,0.5590285991762965,0.3221088971844362,0.00037337729311887307,0.28344236170729137,0.24860746171125123,0.22352691094472762,0.6585130532415225,0.003120211411373986,0.3451894409717761,0.15179416654903172,0.6217442696932703,0.2087062105009897,0.4261797032652467,0.17242721478901704,0.10764982821783653,0.5144638837791936,0.49353080445210995,0.3371774954542014,0.11977586154992068,0.3944308698480858,0.22819756828577858,0.2209659701585549,-0.11080089739437116,0.2417570779670425,0.1184184882544297,0.36132593325296497,0.5721948145465036,0.36602690753437084,0.27862722051152555
SN_pr_L,0.3461884942295666,0.4722122191370444,-0.492953236540572,0.29515540246828714,0.3315982831173922,0.1765168969308809,-0.05112781648231573,0.2892713782621667,0.251370410110118,1.0,0.2784601212256951,0.04762171287628118,-0.1628185991802852,0.2301963196283809,0.25148171195983793,0.11724912013876998,0.4998629586194646,0.21767844161155034,-0.2854180109183285,0.14611597783148314,-0.06005537307542397,-0.0945893834072906,0.431236443580943,0.264455864872265,0.2782819720904393,0.6622943193135228,0.025634063180001776,0.1710018079459773,0.224336218885712,0.10847771271348677,0.06903102007786117,-0.17658599840099706,0.31146997487097106,-0.1698955900644832,0.06547763373265032,0.3744499301250802,-0.08981291054529465,0.3537249714045842,0.18495345843809952,0.2589180376531227,0.21680080172136065,0.2455446959024791,0.3609215254255673,0.07088890515516039,0.1913885513042833,0.6108054957296625,0.18176079114396093,0.2619245136830993,0.30714321292729596,0.1357502877933197,0.039065171317437086,0.27519646391586494,0.3119930882357553,0.06253619461769841,0.6951257529341983,-0.05831944701272838,-0.10063325991819556,0.38740390302693145,0.4041367124527373,0.25375681103568803,0.23229404646435878,0.23729175019598597,0.21038205384034445,0.22964143824565295,0.4549185599360436,-0.3518717732807313,0.767822952840181,0.46026000423773744,0.07976355580810841,0.511643116418063,0.26687212325841825,0.339430991758155,-0.011684469360933957,-0.4884643645043415,0.37098607696728386,-0.14522549263108192,0.22858716354996708,0.2044219374075399,0.21696763426538926,0.2713361965942073
