,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_L,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_pre_R,Thal_Re_L,Precentral_L,Red_N_R,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,Thal_PuA_R,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,Cerebellum_3_L,OFCant_R,Cerebellum_Crus1_R,Thal_AV_R,Amygdala_L
SN_pc_R,1.0,0.23587414389797026,0.15434101103171471,0.4178546085322513,0.2114243666989575,0.3627119268081053,0.18687158247259392,0.18110860394003506,0.5139232907399327,0.168770099638203,0.02231943020830948,0.4420028728346705,0.2540116354931474,0.44727798701682075,0.1902274072784284,0.45435357987607644,0.40278707397587016,0.19695448582637398,-0.11552824186369645,0.502582535100656,0.46721988860223557,0.15286070648095434,0.49932036521828016,0.3798702719555063,-0.02624998966149029,0.5609916031724903,0.48605773479411923,0.06508158223262571,0.3168174134799777,0.17283547703963487,0.08487796446739225,0.20113553399222442,0.05237000895088503,0.44359845713942636,0.5174260950738774,0.5302318739137671,0.18525647113299998,0.19280039671473848,0.15297406043783046,0.3086693160901347
Thal_MDl_L,0.23587414389797026,1.0,0.2614250785014861,0.49678586206263403,0.06989739392095466,0.5947415481710766,0.5047427573176406,0.036142084436737526,0.39373153973828295,0.02761436895503718,0.19109817792669911,0.3938679803685832,0.3425003193839969,0.46777251462503305,0.25116738053959436,0.1792039436517116,0.6055715419822976,0.31664386965997665,0.24298806438418008,0.3476628747566861,0.31302834588791484,0.2172674484649442,0.36670329640134525,0.4846865977282914,0.1002362122769001,0.4828865105800372,0.3580421221465112,0.06810633381956085,0.5442146046162893,0.3381900677124125,-0.07353813544526708,0.5571975637764405,-0.030841195770798205,0.33405520864599414,0.3697263679997835,0.4939192251122125,0.07925139153827702,-0.05127101307129212,0.27485827059149737,0.09952164852611081
OFCpost_R,0.15434101103171471,0.2614250785014861,1.0,0.2485691041525138,0.5674709529546168,0.42445675768293417,0.172451201939102,0.06927604780769354,-0.04317513016962187,0.18221684689363743,0.11571906802483402,0.0674264125208026,0.3153172530441151,0.35780300220139305,0.07736371572683133,0.1884764764931677,0.5131944975481576,0.28064739785454257,0.088863477844321,0.31739444460755456,0.10045444610091504,0.31089597598824137,0.5607146948369267,0.40833685109963574,-0.0027805245102327167,0.36070553136526984,0.1294180810754383,0.16442484173020927,0.40550690554020047,0.2402215782545601,-0.03975620545486851,0.26939988780578566,0.06339896644462306,0.3482502058089428,0.3736806893858011,0.3981017392230735,0.6078039181164318,-0.14252625157163973,0.21929755432050724,0.347774757696556
Temporal_Sup_R,0.4178546085322513,0.49678586206263403,0.2485691041525138,1.0,-0.04781556853796632,0.6566695222624983,0.39837193578624935,0.19676769212218745,0.46806177123280396,0.1615368876195967,0.1767305447922934,0.496553927430469,0.38400809082266585,0.7245143046064987,0.2279736470182109,0.3140976010618431,0.5114213749030244,0.3125464217097611,0.15424765265882232,0.3821522521796817,0.3605080997312075,0.37412505396260504,0.513333087373436,0.5690429259240541,-0.039480999873866066,0.5854086344247877,0.564909129922284,0.22088793852012614,0.720800305143976,0.7402700507941373,0.0649581205259281,0.5034622731856156,0.01011827206736892,0.49588600675006844,0.4727615026257641,0.6672384398439976,0.14838251038391534,0.27172031274859737,0.25965845032240686,0.2877931398197418
OFClat_L,0.2114243666989575,0.06989739392095466,0.5674709529546168,-0.04781556853796632,1.0,0.26013726973707124,-0.003435678555531749,0.045914201580377574,0.002138676658856731,0.014906661419617714,-0.022368960945262868,0.12947111914669288,0.3441442283112055,0.09407750722597201,0.17088946389621368,0.42934638228118865,0.4148777497083271,0.13745527243285965,0.05799530763626991,0.2910978950664412,0.26836875138991056,0.10497710267430595,0.6388282825819381,0.06321370231857522,-0.01288950832294426,0.38062807693702433,0.22787792902903425,-0.1725254208218285,0.023970851709133115,-0.22626630438017384,-0.26106051880754183,0.15853846303191158,-0.07608700780191792,0.3970417202901916,0.3766307335437414,0.35009455163732073,0.5146296140955928,-0.19328394246475708,0.3747958790869197,0.549722908131146
Heschl_R,0.3627119268081053,0.5947415481710766,0.42445675768293417,0.6566695222624983,0.26013726973707124,1.0,0.5464647129410543,0.06539053263157202,0.15882872999770062,0.18737683698620702,0.15334581481986434,0.36940715780549627,0.6296761661561223,0.7313211088573388,0.36172899140516496,0.34705839810682215,0.8458298118237678,0.4607578449210452,0.3375566401900714,0.6440005370232535,0.41369630982736466,0.48754675780931284,0.6871615475042699,0.7186570176200634,0.07204220176153851,0.7386751620444018,0.43007609290860604,0.05566750851587332,0.7157648657155133,0.42930349553876074,-0.0994686699828033,0.6510961508502064,-0.13741296997798919,0.7200336309550046,0.7420925711167676,0.7987574533102061,0.2038038257303422,0.00989207536693665,0.3821880635565692,0.4156879782700547
Cuneus_L,0.18687158247259392,0.5047427573176406,0.172451201939102,0.39837193578624935,-0.003435678555531749,0.5464647129410543,1.0,0.12103454091823933,0.22350783987218203,0.1553933980816483,0.17454557380509447,0.22700497232755656,0.27084873328754233,0.424786633651257,-0.015436616297871887,-0.11119238545170367,0.5427654245340124,0.29795175637515464,0.18508070332951476,0.5385490174464767,0.2438723407779348,0.5184339304317906,0.3195380078925014,0.480210530262583,0.05508574036453189,0.3802334007057661,0.25978772811413414,0.06408293682813299,0.5258682375576746,0.35348706626528587,0.15420726100045545,0.30265073457859487,-0.05986214933250314,0.27616688905387793,0.5122275268941908,0.47079328492666284,-0.04301411745132191,0.2679011393858545,0.055294862411572256,-0.012100063938624903
Occipital_Inf_R,0.18110860394003506,0.036142084436737526,0.06927604780769354,0.19676769212218745,0.045914201580377574,0.06539053263157202,0.12103454091823933,1.0,0.13795568153235455,0.06242655574780717,0.13890671015976283,0.11564187595751077,0.037762959835558794,0.11006294342803107,-0.07286939389436402,0.05854448542467467,0.13243319351576735,0.19858013082219006,0.04864765995965649,0.20600736686240792,0.13378362216301715,0.2538578464350435,0.1975142464274411,-0.0157203483758796,-0.011162064227970066,0.14570407813942005,0.28637389596818136,-0.015321796176956939,0.10226724756528859,0.04449427806677301,0.056837400451464286,-0.07171537097006017,0.06522274408719642,0.11744074668941742,0.20207426559964878,0.22339314272026614,0.11345845906457017,0.19854002461599027,0.0944916239792358,0.1141222934877573
Temporal_Inf_R,0.5139232907399327,0.39373153973828295,-0.04317513016962187,0.46806177123280396,0.002138676658856731,0.15882872999770062,0.22350783987218203,0.13795568153235455,1.0,-0.019229702422243027,0.11327380834514218,0.4458143556621867,0.029053407639142798,0.3152373705000957,0.2236677332817536,0.2590191056989201,0.16865588847991184,0.0580833815640657,-0.02764222759857086,0.2663737685266261,0.34760196938232507,0.04808261772960244,0.2343301533744787,0.18360507185708694,-0.06442051353005368,0.36049656750617476,0.47979818417540465,0.08394377846589164,0.23460791540563986,0.22185510734768726,0.13654989220785657,0.12051509995417395,0.1606883644967231,0.1468811127393569,0.2476800772721395,0.3462161632551931,0.059535753330763594,0.3722034737813463,0.13977685510561466,0.005571388891494629
SN_pr_L,0.168770099638203,0.02761436895503718,0.18221684689363743,0.1615368876195967,0.014906661419617714,0.18737683698620702,0.1553933980816483,0.06242655574780717,-0.019229702422243027,1.0,0.09969459802797213,0.053472493170142264,0.3029955791858204,0.35377377095602974,0.04245368665227483,-0.032297251195752705,0.23985158421242977,-0.20761571761347855,0.22879463245951634,0.3682642028167537,0.18411372992913874,0.08896769983998616,0.21515488199900232,0.4246180510693357,0.020867797690477547,0.2631800429651348,0.06398523972849944,0.40433542261089167,0.43118707128528866,0.3947231338295037,0.13099545321006298,0.06190322673280056,0.12503004185621902,0.27268319245643696,0.2661497775608779,0.21279781320611266,-0.13370478159683793,0.0438580804642935,-0.36187461220494477,0.19080225733551315
