,Precentral_L,Precentral_R,Frontal_Sup_2_L,Frontal_Sup_2_R,Frontal_Mid_2_L,Frontal_Mid_2_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_2_L,Frontal_Inf_Orb_2_R,Rolandic_Oper_L,Rolandic_Oper_R,Supp_Motor_Area_L,Supp_Motor_Area_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R,Rectus_L,Rectus_R,OFCmed_L,OFCmed_R,OFCant_L,OFCant_R,OFCpost_L,OFCpost_R,OFClat_L,OFClat_R,Insula_L,Insula_R,Cingulate_Mid_L,Cingulate_Mid_R,Cingulate_Post_L,Cingulate_Post_R,Hippocampus_L,Hippocampus_R,ParaHippocampal_L,ParaHippocampal_R,Amygdala_L,Amygdala_R,Calcarine_L,Calcarine_R,Cuneus_L,Lingual_L,Lingual_R,Occipital_Mid_L,Fusiform_L,Fusiform_R,Postcentral_L,Postcentral_R,Parietal_Sup_L,Parietal_Sup_R,Parietal_Inf_L,Parietal_Inf_R,SupraMarginal_L,SupraMarginal_R,Angular_L,Angular_R,Precuneus_L,Precuneus_R,Paracentral_Lobule_L,Paracentral_Lobule_R,Caudate_L,Caudate_R,Putamen_L,Putamen_R
Precentral_L,1.0,0.8078386704354064,0.8466883785870215,0.8517010740911642,0.8473273441781418,0.8421782081571405,0.8339978208851505,0.7606237769727986,0.8542384261107699,0.826813625546705,0.5590292913598456,0.34447286873383787,0.7217809335973993,0.7179753946826215,0.9239272014428815,0.9247011212868147,0.5402380253931705,0.4216080882133549,0.8112068802897427,0.8205953609420202,0.2020028509875876,-0.004876013912951672,0.14353565251021067,0.4992609981884414,-0.23596434103941719,-0.12697220832857276,-0.029053791799776466,0.16722596713135449,0.5647641578799711,0.3290688682579069,0.4866738701280377,0.4136933100523426,0.7468580086111095,0.7450839877045068,0.8725648521958049,0.9007878011792423,0.49020669413607804,0.778826249518253,0.7554424899127336,0.7374650299025,0.6764643948761159,0.7315551188708473,0.15691920675452992,0.27679057627057246,0.6828933769747385,0.6517707068407816,0.408274742231327,0.5599841272970273,0.7413736438103713,-0.04466024448773221,0.762559541945158,0.8019865999042712,0.9356267067796263,0.568350887330049,0.1924658068962935,0.19477369368669586,0.6628856620626926,-0.035081064661357686,0.6910005438208389,0.44917850411633115,0.07742236766862734,0.1962867708015293,0.517133066261807,0.6616699150331998,0.4830137456363384,0.4519918500263353,0.6853863315809892,0.7995643976211346,0.6536522460132614
Precentral_R,0.8078386704354064,1.0,0.7163857928537393,0.826837713985553,0.6167528663483854,0.792026316898887,0.7532055524140386,0.7745121280336353,0.7512323992922708,0.7385439123712373,0.47427225249682214,0.277034405530863,0.6559373619594944,0.6665970715806069,0.8399710056380407,0.8977463649356204,0.43114547343363696,0.3506243011522848,0.7691783358732297,0.7067685145805351,0.15623129378919662,-0.0006161588224169389,0.11219480419973493,0.3917548666779658,-0.1526102252062833,-0.10547876740218681,-0.06360892286508353,0.12563991011295614,0.42799605697717885,0.2694208195620527,0.507149900204879,0.23537864274546136,0.6554196143224383,0.691837892930645,0.8968263449571879,0.8117286863595279,0.4987050624622795,0.7669156201996338,0.6713205343979739,0.6288624440717262,0.5774262062299871,0.6427672970597109,0.13423853872183816,0.19506163701215576,0.7184345987884182,0.7255021194980429,0.539034788022099,0.5395260121692679,0.7401416454580266,0.06900199834909684,0.7197185714355551,0.7274128161169499,0.7706921002643257,0.8616223103141649,0.2723984380484844,0.04836903062679412,0.6143644259263652,0.2877602022976086,0.5787918501981494,0.7226821936499461,-0.026118881278015607,0.35426954863164084,0.6756527586739115,0.7234373517671498,0.6852728696929571,0.6016239602478973,0.5187044645102177,0.6610467442767571,0.5925876051717347
Frontal_Sup_2_L,0.8466883785870215,0.7163857928537393,1.0,0.8973000142483621,0.9136335812285313,0.9316545790886511,0.8552039022670944,0.7989356092370482,0.87479471712163,0.8357975628119669,0.6495802258856604,0.4847160707289774,0.8452516589288869,0.8276134541903761,0.8876888841114124,0.8395811558173674,0.46383505780186507,0.4620844747112263,0.8617046486682172,0.8788831574768688,0.42791838875244576,0.29386674147222,0.3230938718928821,0.6163495816661327,0.006815427130254104,0.05639162055989905,0.31269683684027055,0.4287346378448928,0.6697070315791092,0.4818726341702842,0.5605903853977041,0.5470298582316696,0.8077933758329267,0.7914657988373127,0.8378039460301411,0.8906415280006893,0.6682143655721503,0.8060663062008883,0.8599223933656656,0.8310513622652886,0.7252892485800085,0.8035129387383072,0.28535617616086245,0.48533198608510336,0.5787089993430486,0.45519341295027477,0.12256256700477824,0.5147774716742181,0.6800057345116706,-0.0913257996175419,0.7640278033339301,0.7893333256498378,0.7330507279455686,0.4066464315274155,-0.058401575126266356,0.11822022444701837,0.34305597170310037,-0.23981663919941815,0.4324295732083323,0.22102396010502845,0.04474025275318324,-0.06231730996507818,0.35783940456142316,0.4866175231823447,0.24494452707862813,0.19612540151724106,0.8519228931514504,0.8666893087664403,0.8127783728668369
Frontal_Sup_2_R,0.8517010740911642,0.826837713985553,0.8973000142483621,1.0,0.752384926970845,0.8845403539901984,0.8161183880172402,0.7823140709639502,0.842859479406144,0.811744413072074,0.5965442379066743,0.43609840970232205,0.7507393800456946,0.7612449199993324,0.8976329373902837,0.8865872959096573,0.48027551281255554,0.4756215997381778,0.9209337268836302,0.8617781357831508,0.3172359302785858,0.2549708813305424,0.3013237066918778,0.6014495911547141,0.019891454400746963,0.08410224280981149,0.1662427811391107,0.42058663358674714,0.552553957218852,0.4446088194464783,0.6262034377707563,0.46360494754592313,0.7372796065297132,0.7817551031563476,0.8672690499861798,0.8527679213970072,0.5760954626418565,0.7727069023009492,0.7480321619623034,0.7332726255164576,0.6069341926969258,0.7075169915756829,0.2694838357733629,0.35771678492357795,0.5782731525758645,0.5178492112051647,0.35907418548271686,0.4230885051362715,0.6582725802777397,0.11931714764643758,0.6862406914000144,0.733169277161703,0.801448944699976,0.6485790929460005,0.2351655186365344,0.010428929297769386,0.5716624449685773,0.0909376322035811,0.5282455983201072,0.48377665533920383,0.047133322984887475,0.17968465196677355,0.5715108052426126,0.6352468158515927,0.5381559534446655,0.47437075338068696,0.6860953044926965,0.7577835896370695,0.6908578038845236
Frontal_Mid_2_L,0.8473273441781418,0.6167528663483854,0.9136335812285313,0.752384926970845,1.0,0.8860316168866332,0.8216782772324882,0.7622224138385735,0.8854874575985288,0.830503143348427,0.6619137091552793,0.5013837267026996,0.8387328567777013,0.7988828235804434,0.8595128158362354,0.7993116091570815,0.5210322011040337,0.4614373775838666,0.7208117158379863,0.8327646010894356,0.3647592895071069,0.21614044686283143,0.25111536982943583,0.5682227080833152,-0.09569549863480549,-0.039336296692993454,0.24838720962386357,0.32754921247066565,0.7127140301111784,0.4442609223871914,0.47496273554587803,0.5756300968100075,0.8358196382026447,0.7744963614611177,0.7727977777900853,0.8698096700782356,0.6359778447680627,0.7752246872278064,0.8719025983499826,0.8399983777629022,0.7445142896086616,0.8223849396692692,0.24544400628055207,0.5140323310574532,0.6082760080289044,0.4885319545681223,0.08802510286552728,0.6202667393571851,0.7161406817772076,-0.1950321679524954,0.8042805761266876,0.8322789597457131,0.7167096058262374,0.2607147134499882,-0.17508868691235324,0.22396287300206624,0.30166260285441726,-0.37766852001243983,0.5084642983231914,0.12599731996975738,0.0024585196434409413,-0.10528846360510065,0.27204111790756075,0.42635419482036135,0.12968354108076838,0.06748685187610715,0.8525910201090078,0.865546727104511,0.7866080714405121
Frontal_Mid_2_R,0.8421782081571405,0.792026316898887,0.9316545790886511,0.8845403539901984,0.8860316168866332,1.0,0.896253423461168,0.8612382306822596,0.9023602760239288,0.8652712148153472,0.6601653928263198,0.5116265210621371,0.8311093997051865,0.866629602280431,0.8730537247568946,0.8507667305054549,0.46591508220463224,0.4120524040400961,0.8793576463499664,0.9068382734612875,0.433184595878395,0.25395341859181736,0.31680520421872477,0.6156086444060181,-0.05220875604244843,-0.033738117261863675,0.19068908644530944,0.3742564560713374,0.5967877156267823,0.44558425474273783,0.570437219618792,0.4720249819594838,0.8186296609541749,0.8091348414089118,0.8468918414478757,0.8700122222915487,0.5926009095684686,0.7743365552464188,0.8184888586634208,0.8229396882969297,0.7177332767165467,0.814250193056044,0.27648880229808637,0.4380016394476621,0.5524273593338492,0.4643186823156533,0.10962565366276246,0.5361023934101383,0.6774945812445959,-0.018660297535565556,0.7704141882021617,0.790866871205267,0.7243695409237105,0.49130381213348634,-0.01622379084161226,0.026124307550978956,0.330397795119932,-0.1896353076109657,0.41414469192172043,0.3001040435629453,-0.020429255293464624,-0.04222680855607465,0.35974467329285825,0.4530310918785563,0.2757911524182569,0.20902716033831872,0.8170400725146625,0.8829333591580903,0.7901523562492246
Frontal_Inf_Oper_L,0.8339978208851505,0.7532055524140386,0.8552039022670944,0.8161183880172402,0.8216782772324882,0.896253423461168,1.0,0.915915637536898,0.9152177083122992,0.906611458194864,0.6304652311342184,0.4990166624559868,0.8918353084236729,0.9120024724693443,0.8612470361138782,0.8355759299373269,0.45921595839605556,0.292630678207369,0.8390227428810011,0.8124020318444797,0.2646513090932315,0.21947722558237123,0.10385661550371277,0.4088997245968537,-0.14161013990127586,-0.16788654718365376,0.11321813846280418,0.25814223970357536,0.47251721166064686,0.2812726707600645,0.4230427508898755,0.424385112564181,0.8522438281581578,0.8714741634487586,0.8597347382694829,0.8009942340128855,0.4801410478467362,0.7379609162901272,0.7469562079376587,0.7655067311404337,0.5948206766528066,0.7164213829104273,0.22838149763345408,0.28680569154229973,0.6213978139769034,0.5134617834830033,0.13843914296053456,0.5770657405677344,0.7025789310955797,-0.02140302246802607,0.7412032047616105,0.7530717992011194,0.763169112807344,0.4596275451504069,0.05200387954491286,0.020567688321825126,0.3918690511292036,-0.16215598385588714,0.41502959430857883,0.28347765417775145,0.007136831191539801,-0.0158137105225199,0.3940140678041085,0.4996490193439204,0.306844729427962,0.30691340840783593,0.7509786740847025,0.8392733683687182,0.6946336160443933
Frontal_Inf_Oper_R,0.7606237769727986,0.7745121280336353,0.7989356092370482,0.7823140709639502,0.7622224138385735,0.8612382306822596,0.915915637536898,1.0,0.9057485774285193,0.9143574989428915,0.6427940499207243,0.49562708383894016,0.8989075892542211,0.901398685112516,0.8106202486006683,0.8005497156128872,0.46187485700156017,0.283960968426204,0.782361932688384,0.775371650428289,0.160641429259024,0.16926865039086947,0.031414586387793535,0.36738241049097253,-0.218888863991307,-0.23789186884344943,0.0019844433154412944,0.14508186010027116,0.5050677605022766,0.22661465312809256,0.41895709621702454,0.39345771587251593,0.9001611179491932,0.9130826047797327,0.8065868615655444,0.7480561582665451,0.4463735550855486,0.7563728619925804,0.7734370431273674,0.7628633291707196,0.5797755203605647,0.6737994041672534,0.21009733270763276,0.2320105993381292,0.6718057822120831,0.5764080821483692,0.2510468959384293,0.6522011351341842,0.7610520446765312,-0.028453461221834543,0.7723858991311112,0.7660217943615247,0.7262492754462738,0.5462581423893891,0.01760387361943709,0.03388170666102052,0.4119501024171765,-0.040151795534286217,0.5046402147620908,0.41040687920440033,-0.04997164597867686,0.08225705247755759,0.46529022419839927,0.5351830287430063,0.3424317643918477,0.35744413684686555,0.6853831886264264,0.8006262028296447,0.676855218549194
Frontal_Inf_Tri_L,0.8542384261107699,0.7512323992922708,0.87479471712163,0.842859479406144,0.8854874575985288,0.9023602760239288,0.9152177083122992,0.9057485774285193,1.0,0.9688698469311433,0.7537594871981814,0.5730333485786755,0.8854068952616712,0.8616951385733752,0.9139136844109585,0.8891270565239217,0.5820061419664873,0.4145775080155693,0.8181414286789688,0.8801958242739942,0.2611536642950135,0.13654757416031704,0.1337542898617192,0.5231595444176158,-0.22317308251683773,-0.18345370678934403,0.04203918843222291,0.2530513605181618,0.6396701673453421,0.36671690114922445,0.5597212547037367,0.5508144850578356,0.9289686787213959,0.9058494066512189,0.8630848501099803,0.8544861529833058,0.5342361565867265,0.8159321177448143,0.8391576638608079,0.8570464494460588,0.6820283406045746,0.7764395164041528,0.29549120161558123,0.35704292745992605,0.7029232131268139,0.6119133894390891,0.24167357551877372,0.7074575223490386,0.7939609548859891,-0.06645497314420831,0.84310958128267,0.8442232673785252,0.814519705238115,0.4762568752014146,0.009987713349569577,0.09519856277394213,0.48431538889911446,-0.1375096907935875,0.5628903318845864,0.36118068135113846,0.003706495458568461,0.10447436702486397,0.468605547668648,0.5764929692914484,0.33413478001618163,0.3021617682045117,0.7309519973083283,0.8828519876088619,0.6903335579902314
Frontal_Inf_Tri_R,0.826813625546705,0.7385439123712373,0.8357975628119669,0.811744413072074,0.830503143348427,0.8652712148153472,0.906611458194864,0.9143574989428915,0.9688698469311433,1.0,0.7169638162869204,0.5512390863404468,0.8833769686823276,0.8732619647673635,0.8712436578501619,0.8619261139982815,0.5275327278083862,0.35367474792051556,0.8095021437896913,0.8592069118642283,0.22136824868263943,0.07289281407845241,0.095797900164632,0.46617377776363683,-0.2789124163632971,-0.24641650998617354,-0.028242141285303383,0.1982445258183219,0.5848141962296474,0.3283703242032975,0.5240079784202812,0.5238336179662277,0.9281877196221525,0.9142419161500321,0.849494974920961,0.8121495008769987,0.4261555914723193,0.77085649227607,0.7858281345164826,0.8391561130411777,0.6453091901758075,0.7301239264901652,0.26977601391170913,0.29192254038955145,0.688540695868277,0.6199824849249725,0.2403587962652127,0.6978607637746138,0.775908746445647,-0.06128527663188813,0.808576442792188,0.7995662085573012,0.8228155236488911,0.48668492474710984,0.06070088427549856,0.08551173570191856,0.5018018072656448,-0.12293315822871233,0.5591223534773615,0.3694657033942884,0.00852722444939549,0.11027953223597463,0.4552578773656619,0.569448823874528,0.3270713073160604,0.3220106257522605,0.6684300864372431,0.8695264581271327,0.6560633571242565
