,Precentral_L,Precentral_R,Frontal_Sup_2_L,Frontal_Sup_2_R,Frontal_Mid_2_L,Frontal_Mid_2_R,Frontal_Inf_Oper_L,Frontal_Inf_Oper_R,Frontal_Inf_Tri_L,Frontal_Inf_Tri_R,Frontal_Inf_Orb_2_L,Frontal_Inf_Orb_2_R,Rolandic_Oper_L,Rolandic_Oper_R,Olfactory_L,Olfactory_R,Frontal_Sup_Medial_L,Frontal_Sup_Medial_R,Frontal_Med_Orb_L,Frontal_Med_Orb_R
Precentral_L,1.0,0.8473880636302215,0.507022543632555,0.4984053846771022,0.8295419029634648,0.645757638034872,0.6194878549202048,0.8507478075213933,0.7124890203932428,0.7505480519788026,0.2813841112034438,0.3400296981467553,0.3813088264715056,0.21448861472890962,0.03263215220242312,0.13496647637597226,0.4850417451446867,0.3615721762006723,-0.08882824269314767
Precentral_R,0.8473880636302215,1.0,0.5630928823310771,0.6636010224993301,0.8164604891020624,0.8133888237425229,0.7174037950535855,0.7190823889072518,0.7146375374811359,0.7253924591650344,0.29756834175434216,0.34342760438559705,0.42273892752325626,-0.04431293814013621,0.01040573807572221,-0.05270265749888061,0.555286026124247,0.5005330749121798,0.017542715680973615
Frontal_Sup_2_L,0.507022543632555,0.5630928823310771,1.0,0.7769567392624631,0.7315585816881147,0.6820728941719262,0.6464388838722452,0.489603608574653,0.6129032464580674,0.5847618720406385,0.7460733089911602,0.4067877732706981,0.6653378561651839,0.11700644865530031,-0.1828148626739817,-0.09776077230464449,0.816790446984776,0.7668841574964494,-0.10278666795991016
Frontal_Sup_2_R,0.4984053846771022,0.6636010224993301,0.7769567392624631,1.0,0.651860968234955,0.7246706329768908,0.5808373896353102,0.5675545330613081,0.5703955938639131,0.6546704242170517,0.5217417003940863,0.4977664284529054,0.5070378949814424,0.22365045894900196,-0.14174261868334645,-0.07909097042851178,0.8225712702625312,0.7946190128076174,0.05934389856905421
Frontal_Mid_2_L,0.8295419029634648,0.8164604891020624,0.7315585816881147,0.651860968234955,1.0,0.8168135117031042,0.7517698941192537,0.7678017271891493,0.7357309482818931,0.811633580561614,0.51570631398251,0.4629302357755055,0.553014831427679,0.10545048042178387,-0.02454401883051368,-0.014116815074448591,0.6830569754376912,0.6214267998426172,-0.09942865263790708
Frontal_Mid_2_R,0.645757638034872,0.8133888237425229,0.6820728941719262,0.7246706329768908,0.8168135117031042,1.0,0.8150744785672278,0.7075690021042513,0.6982547012237063,0.8521025976830214,0.6067798035411325,0.6980249986155554,0.5383633504620333,0.05382569333945953,-0.05309996557539008,-0.13938666067817448,0.7703405394532906,0.7461824117845939,-0.029343177722220767
Frontal_Inf_Oper_L,0.6194878549202048,0.7174037950535855,0.6464388838722452,0.5808373896353102,0.7517698941192537,0.8150744785672278,1.0,0.709444620891903,0.8406811443318607,0.7547466745922697,0.5941006291292148,0.4910219788407791,0.755668512319458,0.10466483279193625,-0.09022090816633689,-0.23075382119246624,0.7257165134123637,0.6643566227882408,-0.08201102742905747
Frontal_Inf_Oper_R,0.8507478075213933,0.7190823889072518,0.489603608574653,0.5675545330613081,0.7678017271891493,0.7075690021042513,0.709444620891903,1.0,0.7808906251695292,0.902739226517983,0.42367117328206466,0.6166198087328412,0.4520771730949813,0.5041686866703664,0.003779077572665028,0.15715067235488045,0.6044867057842044,0.46720283834275195,-0.03722698070978752
Frontal_Inf_Tri_L,0.7124890203932428,0.7146375374811359,0.6129032464580674,0.5703955938639131,0.7357309482818931,0.6982547012237063,0.8406811443318607,0.7808906251695292,1.0,0.8005390382326631,0.5672528138295774,0.4767100476836107,0.6802076839293779,0.203065802367283,0.00034484801327136613,0.04076321252848095,0.6499002884199968,0.5211536588839544,-0.13991023631768562
Frontal_Inf_Tri_R,0.7505480519788026,0.7253924591650344,0.5847618720406385,0.6546704242170517,0.811633580561614,0.8521025976830214,0.7547466745922697,0.902739226517983,0.8005390382326631,1.0,0.567168574190894,0.7559276832241167,0.5027648033528761,0.37407081741840303,-0.005322576167661624,0.027706996171702598,0.7276436245934282,0.605679417325042,-0.01733141743022115
Frontal_Inf_Orb_2_L,0.2813841112034438,0.29756834175434216,0.7460733089911602,0.5217417003940863,0.51570631398251,0.6067798035411325,0.5941006291292148,0.42367117328206466,0.5672528138295774,0.567168574190894,1.0,0.6581047824282007,0.6972823548970842,0.2746436709453454,-0.14609689370451703,0.00938590521769781,0.7589377160737497,0.6604697406456593,-0.13986030427520926
Frontal_Inf_Orb_2_R,0.3400296981467553,0.34342760438559705,0.4067877732706981,0.4977664284529054,0.4629302357755055,0.6980249986155554,0.4910219788407791,0.6166198087328412,0.4767100476836107,0.7559276832241167,0.6581047824282007,1.0,0.3738201800166442,0.48688473176932234,-0.026650992821236206,0.15276775507144175,0.6892566747550407,0.5692025521812425,-0.02588971084253715
Rolandic_Oper_L,0.3813088264715056,0.42273892752325626,0.6653378561651839,0.5070378949814424,0.553014831427679,0.5383633504620333,0.755668512319458,0.4520771730949813,0.6802076839293779,0.5027648033528761,0.6972823548970842,0.3738201800166442,1.0,0.235176964328494,-0.12455489838828218,-0.08684889673249128,0.6892171619915543,0.5491865344549266,-0.1796059059922774
Rolandic_Oper_R,0.21448861472890962,-0.04431293814013621,0.11700644865530031,0.22365045894900196,0.10545048042178387,0.05382569333945953,0.10466483279193625,0.5041686866703664,0.203065802367283,0.37407081741840303,0.2746436709453454,0.48688473176932234,0.235176964328494,1.0,0.017128337381925398,0.4110084531660844,0.27629416589467637,0.11562987262334648,0.07066510291302178
Olfactory_L,0.03263215220242312,0.01040573807572221,-0.1828148626739817,-0.14174261868334645,-0.02454401883051368,-0.05309996557539008,-0.09022090816633689,0.003779077572665028,0.00034484801327136613,-0.005322576167661624,-0.14609689370451703,-0.026650992821236206,-0.12455489838828218,0.017128337381925398,1.0,0.2896941981532399,-0.13378842478392264,-0.10400071033887721,0.0215754305136434
Olfactory_R,0.13496647637597226,-0.05270265749888061,-0.09776077230464449,-0.07909097042851178,-0.014116815074448591,-0.13938666067817448,-0.23075382119246624,0.15715067235488045,0.04076321252848095,0.027706996171702598,0.00938590521769781,0.15276775507144175,-0.08684889673249128,0.4110084531660844,0.2896941981532399,1.0,-0.11112516825347049,-0.13841511064122178,-0.1972353780873761
Frontal_Sup_Medial_L,0.4850417451446867,0.555286026124247,0.816790446984776,0.8225712702625312,0.6830569754376912,0.7703405394532906,0.7257165134123637,0.6044867057842044,0.6499002884199968,0.7276436245934282,0.7589377160737497,0.6892566747550407,0.6892171619915543,0.27629416589467637,-0.13378842478392264,-0.11112516825347049,1.0,0.8522363234271375,-0.028287998264847652
Frontal_Sup_Medial_R,0.3615721762006723,0.5005330749121798,0.7668841574964494,0.7946190128076174,0.6214267998426172,0.7461824117845939,0.6643566227882408,0.46720283834275195,0.5211536588839544,0.605679417325042,0.6604697406456593,0.5692025521812425,0.5491865344549266,0.11562987262334648,-0.10400071033887721,-0.13841511064122178,0.8522363234271375,1.0,-0.06769998214699682
Frontal_Med_Orb_L,-0.08882824269314767,0.017542715680973615,-0.10278666795991016,0.05934389856905421,-0.09942865263790708,-0.029343177722220767,-0.08201102742905747,-0.03722698070978752,-0.13991023631768562,-0.01733141743022115,-0.13986030427520926,-0.02588971084253715,-0.1796059059922774,0.07066510291302178,0.0215754305136434,-0.1972353780873761,-0.028287998264847652,-0.06769998214699682,1.0
Frontal_Med_Orb_R,0.06915530192012925,-0.15265858442735789,-0.24614322099654307,-0.20219001802261793,-0.1545127559577061,-0.29453848982334174,-0.22926764466443394,0.07974291874305124,-0.022764781990411168,-0.07948579419933352,-0.25218704603659253,-0.0987724296916413,-0.13830235494590973,0.35791298996694526,0.12980827138368806,0.345556981923923,-0.2667557201622334,-0.2799730371654553,0.134525002617353
