,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_R,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_L,Thal_Re_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,Thal_PuL_L,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,SN_pc_L,Cerebellum_Crus1_R,Thal_AV_R,Amygdala_L,Frontal_Mid_2_R,Frontal_Sup_2_L,Thal_VL_L,Temporal_Inf_L,Vermis_1_2,Rolandic_Oper_R,Occipital_Sup_L,Thal_VA_L,Caudate_L,Parietal_Inf_R,Thal_IL_L
SN_pc_R,1.0,0.3784381256223331,0.5936006406109849,0.30226843587078506,-0.0027861739231432336,0.29616742250509315,-0.2656140321180551,-0.13871789984509733,-0.033617624865878236,0.7915504069309769,0.06254874620854091,0.37872990710956267,0.15079832693860656,-0.14312927839224612,-0.3059878865608355,0.478702877303956,0.1856848739255092,0.24770126552168767,0.6553159468351669,-0.09379889975581471,-0.32058939337187625,0.6935351725704902,0.317959732807447,-0.12631527259235428,-0.12996832249190254,0.594413947068765,0.5175056084958732,-0.33882406272866455,-0.04174847390049022,0.0055563500758731505,-0.08447369755090871,0.32619957382743153,-0.32993823072878176,0.5645828354629024,0.1786569115735714,0.37524152345507517,0.21963057671655992,0.14808790863272203,0.21417637439482382,0.37284892772826045,0.21222242189275267,0.3563793570541817,0.011172375323180717,0.5916069093439043,0.2378311570242553,-0.3784062603431355,0.4633598745875623,0.4922948858744473,-0.31474660602018645,0.5074154078186656
Thal_MDl_L,0.3784381256223331,1.0,0.4005432502880473,0.45026883386217154,0.06414609561111632,0.456157932372886,0.17461368752907602,0.11239826420988791,0.3398242060088845,0.5377495718722797,0.08553347162098834,0.6831769215246116,0.3960308626587006,0.3704724111797465,0.07156670394004158,0.3865759364708394,0.4634202866879629,0.5173159348491082,0.416530922511841,0.2545279215076996,0.09063250841986442,0.386626168522955,0.4844795491017626,0.16777907710731146,-0.1650370832743426,0.6164324236277119,0.3710791541843789,-0.15643828812205,0.2536247778399019,0.4291875454238025,0.13043165882318597,0.3002120136404835,0.023983024794590014,0.6516250246659034,0.6081091403129179,0.3461412966667802,0.4367833493739653,0.2093667058159583,0.21041779101660124,0.526749501432731,0.544866931324564,0.7529192214250536,0.3689047389043583,0.622868159544916,0.5341388702888205,-0.08298750127106905,0.5425834320635634,0.6977308312250505,0.039299435049901625,0.5088561616731124
OFCpost_R,0.5936006406109849,0.4005432502880473,1.0,0.38450037767826056,0.13627908991663001,0.44396976785142384,-0.24155619408277126,-0.16640585240764216,0.14941574344305483,0.7112192683417885,-0.07096705909723688,0.4511365459404794,0.15538373152825355,-0.2662651630188176,-0.11734793107011511,0.8082551883030002,0.2188656378294037,0.3249477742875321,0.6255121329913451,-0.24457785039654756,-0.2126657055427838,0.6869201985782911,0.3029395538112064,-0.18700729103002936,-0.1076581038390852,0.6646405250595595,0.5210497293763735,-0.33993747144664604,-0.0407892776147682,-0.15831164614406237,-0.15996201280767908,0.3039515905483915,-0.33803336793154865,0.6345783701153803,0.07610819951743691,0.2993948689538146,0.21430398785978477,0.014712355187418868,0.4804146395889937,0.44726634734063997,0.18104299885827893,0.35679010524518767,-0.04026577564857479,0.5654266383201378,0.18086341198013114,-0.29677459101624654,0.2472560851060964,0.44149557715110166,-0.4738464248721064,0.132261244084249
Temporal_Sup_R,0.30226843587078506,0.45026883386217154,0.38450037767826056,1.0,-0.26081474626481077,0.7574572938244536,0.42845923035608485,0.25841700694572467,0.47217711752533226,0.46256204006810353,0.06091003078758644,0.4298566934701663,0.5201878531376881,0.422431995930583,-0.1499573315760374,0.30828583559997974,0.5056544475410174,0.6368070019030392,0.18059898291237217,0.4695752266326154,-0.057121801213102376,0.5608151726576845,0.555960787131107,0.468600838267165,-0.20641916150533368,0.7336106691726992,0.4786192224517806,0.25827679379222346,0.6372956402899872,0.4626864510586994,-0.10418327097814857,0.2399689264233111,0.37591023879518226,0.5322085892348077,0.6342039604517581,0.2939660712308979,0.3293449821874758,0.2346791299632443,-0.08483884016296837,0.6963158983430787,0.488663318139828,0.5573439617437798,-0.09690263917561018,0.37117963202232196,0.687725276715958,0.16838037728422944,0.3838979565405191,0.6453152582865014,0.19009955890561966,0.4451462035987981
OFClat_L,-0.0027861739231432336,0.06414609561111632,0.13627908991663001,-0.26081474626481077,1.0,-0.2389096371930922,-0.08115041686282096,-0.35544539148732146,-0.40790100061574897,0.07331628025855082,0.09648270288531928,-0.01826924005128106,-0.25618333595124143,-0.29282506795763535,0.26485723560266444,0.049764752614709314,0.24481009000070497,0.13295815734155486,0.12453712859017581,-0.4367331096208227,-0.012251835327009658,0.03643865859138793,0.17296935298234575,-0.3465035029967056,0.024403154749194064,-0.13449659390341132,-0.1802198411022538,-0.20590239400512755,-0.261808060788502,-0.22314658228486417,0.2571833001332575,0.06316895992197608,-0.1988361415479255,0.08014185054600925,-0.0500507351007228,-0.01392646052351801,-0.013936306749531889,0.0509265750608744,0.46540800994311454,-0.04304716763167022,0.023685202519722854,0.01285407717367124,0.36454105785773583,0.2272607648875595,-0.198440165895019,0.11076716651939765,-0.050579624956696864,-0.047849194282324085,-0.07128755389717595,0.035737134847939174
Heschl_R,0.29616742250509315,0.456157932372886,0.44396976785142384,0.7574572938244536,-0.2389096371930922,1.0,0.3559042779780962,0.2153962327637173,0.4136025413420505,0.42196565307496187,-0.14235457413285066,0.4412138977929954,0.4095808642553955,0.372010800155855,-0.017295248729674487,0.43292621353620586,0.43243685177443425,0.5989645959478243,0.30463606434005747,0.3641521220093616,-0.023460611588721595,0.39149512902998984,0.6354320138206622,0.3255423451451289,0.003213516959755663,0.6056213689321944,0.3466973855247798,0.13005112062949142,0.5019507877693118,0.4576144408857904,-0.023569579737918886,0.34568235366445005,0.22821530256816525,0.5769724323085345,0.5263280691322573,0.3456523609850275,0.3262699666330026,0.23004388428520484,0.13057495673257988,0.5209352091282173,0.5696024755295159,0.55727312160352,0.017150752986385836,0.4166129959420231,0.7210508357653294,0.13763554456765015,0.39961341362900143,0.5760639978893063,0.11269139884282323,0.34076707406862117
Cuneus_L,-0.2656140321180551,0.17461368752907602,-0.24155619408277126,0.42845923035608485,-0.08115041686282096,0.3559042779780962,1.0,0.3334415161104135,0.3404403300446177,-0.10352072312308554,-0.15200134192976414,0.03076410513639185,0.4310983600814374,0.5656871715729029,0.34758356621095815,-0.15167558442228168,0.36899800716180037,0.439820004552378,-0.27046059814677964,0.43158051559493615,0.262513792608372,-0.233792423327414,0.49029201914393244,0.4190332096209383,0.06374934903242029,0.2013801082396903,-0.2480095594892172,0.5316954294965364,0.6735060551218831,0.6718115900260635,0.2523199886364052,-0.13618423822150505,0.8799432594412225,0.19220835121586433,0.42779595687958555,-0.02071897345668576,0.33938402020518477,0.04207576870613883,-0.04947586506574853,0.15044337187696155,0.4155516347913607,0.21176035251536973,0.28668187301055914,0.007423810408961302,0.46966900554336044,0.7167262717923409,0.07857532521049107,0.26492446947835263,0.623339016181016,0.1992749036244581
Occipital_Inf_R,-0.13871789984509733,0.11239826420988791,-0.16640585240764216,0.25841700694572467,-0.35544539148732146,0.2153962327637173,0.3334415161104135,1.0,0.7622332629804274,-0.19901951817239466,-0.19378796579797106,0.050179968672771504,0.23964214704010942,0.1516899363726232,0.4013512088553948,-0.03093383366723082,-0.001056728259230433,0.031344441728858204,-0.30519930202481066,0.24954922559364984,0.36357829912206874,-0.12214094518747753,0.10918214442145337,0.07339615093344312,-0.055739594071969,0.004605459785190677,-0.23046110354676413,0.030747453860265794,0.05974677145653808,0.190916300291614,0.4999751402996849,-0.295766380857145,0.2893113203861395,-0.10386694846353686,0.288372805973234,-0.01996797267225359,0.6084771881207227,0.04806432037136283,-0.019534731352493045,0.06124855782968314,0.14592836199102208,0.1685938113489325,0.1816983789627102,-0.11422839057980193,0.049055216085179966,0.12574311231138754,0.05626480991540512,0.07241202869394472,-0.060110432993112806,-0.02183108262774866
Temporal_Inf_R,-0.033617624865878236,0.3398242060088845,0.14941574344305483,0.47217711752533226,-0.40790100061574897,0.4136025413420505,0.3404403300446177,0.7622332629804274,1.0,-0.003650847621710041,-0.1934538441386856,0.28432461532413955,0.49264239473272664,0.2575611906410057,0.3036889835174146,0.32963338733130815,0.012810413326491299,0.17516154537320935,-0.032050024455594475,0.2833595941046261,0.3335471401128105,0.05067789684821725,0.18026833194563116,0.11314565825962382,-0.18575772238968893,0.3632912981259167,0.04209308724007192,-0.0015487702073249635,0.18021081769203187,0.24432432038737215,0.31355717288374063,-0.13801281020993256,0.2734653437023998,0.18309216561210168,0.4242112590439222,0.19980982760845212,0.686079025435564,0.036834561412019094,-0.040883888591746104,0.24121507983279739,0.3274050964762999,0.33674838547840746,0.11741795420159501,0.10638467812791323,0.17857300601878054,0.0326596045705955,0.2706869104035681,0.2177468236600435,-0.10356938670896418,0.05706128047917225
SN_pr_R,0.7915504069309769,0.5377495718722797,0.7112192683417885,0.46256204006810353,0.07331628025855082,0.42196565307496187,-0.10352072312308554,-0.19901951817239466,-0.003650847621710041,1.0,0.10055076708194828,0.5067248179822883,0.1536242987104398,0.01260708250298649,-0.22083659284331475,0.6003236345191736,0.41700182092999616,0.515889872745747,0.6027608373750777,-0.016977894814342455,-0.29197400852990474,0.6931713249486788,0.4874282850200143,-0.004253560120699715,-0.18219651456017677,0.7487719012806613,0.5038961197802523,-0.2019583201660777,0.15275343219014545,0.14002623048777432,-0.11651331069690882,0.4623419097310384,-0.19536447836479287,0.7380575673442399,0.33114105277050826,0.3130007459351169,0.1790111626996958,0.171286456390937,0.31299790347399137,0.5160315267962963,0.3694089748929016,0.5372207009830327,0.07733690578316352,0.6948456566148592,0.4437398726414212,-0.2164810245071457,0.4880612406490306,0.6643527580858043,-0.17830290383679795,0.5337963175972517
