,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,SN_pr_R,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_L,Thal_MDm_L,Precentral_L,LC_L,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,Thal_PuL_L,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,Cerebellum_3_L,OFCant_R,Cerebellum_Crus1_R,Thal_AV_R,Amygdala_L,Frontal_Mid_2_R,Frontal_Sup_2_L,Thal_VA_L,Temporal_Inf_L,Vermis_1_2,Rolandic_Oper_R,Occipital_Sup_L,Thal_LP_L,Caudate_L,Parietal_Inf_R,Thal_VPL_L,Vermis_10,Frontal_Sup_Medial_L,VTA_R,Frontal_Med_Orb_R,Pallidum_L,Rectus_L,Cerebellum_6_R,SN_pc_L,Postcentral_R,Cerebellum_8_L,Lingual_L,Raphe_D,N_Acc_L,Red_N_R,Rectus_R,Frontal_Inf_Oper_R,Fusiform_L,Thal_PuI_R,Olfactory_L
SN_pr_L,1.0,0.1058183525123172,0.4289862753092528,0.2862735949796329,0.3230583658775671,0.38006931316352566,-0.011718097924645673,-0.10242185963669057,0.19576579405920064,0.5411380779293892,0.2476572088686336,-0.2481653651638113,0.495440776780285,-0.1109338417803169,0.27643265716926135,0.19935595361325154,0.5101887048935165,0.635226187382739,0.28329026469650576,0.42888959507362084,0.02549565472275614,0.2032361024463347,0.6054706056601489,0.3152481796283319,-0.01633250067118177,0.4620628596450404,0.1550795408129599,-0.08778822792697022,-0.01720054376380524,-0.033123103661823104,0.13470530489970964,0.4333371234602641,-0.08212785025962584,0.2633554624823652,0.44896565848378345,0.36600643521214377,0.19673177130986536,0.057160396429558065,0.048405196284025995,0.12144173924466364,0.5594422945858843,0.5460875270326474,0.3859321388798998,0.178924304478621,0.4692612077148096,0.49553782959694076,-0.0690684806336688,0.3765526006187633,0.6221284182103538,-0.22913050531832121,0.5098481697515564,0.4505082086687454,0.580514323593509,0.014086163246845775,0.01697769377281959,0.5715038799732935,0.019191711481347715,0.04851689304925855,0.531311394173331,0.040017734402046715,0.41110135786135715,0.37361811857060756,-0.11313202515178591,0.3760442950431376,0.7113813807620732,0.1919415719114079,0.5656198401795862,0.14702229011793022,0.32074394961956276,0.2306500537552203
Thal_MDl_R,0.1058183525123172,1.0,0.19322928310699364,0.18572524632127288,0.22089759618388893,0.46767016558422164,-0.22129155027379602,-0.2633033382514536,-0.13476766316986646,0.23992465892094986,0.2214327970766446,-0.15644262062057163,0.29526748388713914,0.16942629576922194,0.24649723210579105,0.027383207945414656,0.05610227601607257,0.4579958119394216,0.48669993768839714,0.4181146131885972,0.26609921044390283,0.2848711476955587,0.1338897484726404,0.24293836820066725,0.11181416768724853,0.3065863955872176,-0.026384358710823133,-0.34558932167472833,-0.06983809906296927,0.2756275814936654,0.0487536508528228,0.20732222725477756,-0.3417939199166763,0.21554959504884919,0.5036191029958837,0.29235828370201317,0.05623656033297418,-0.10900626050487137,-0.20561869339696845,-0.02671080512166472,0.4939762081945813,0.3624219379901528,0.39075104098322977,-0.00878238716711082,0.45945586867342425,0.46254833951608887,-0.3076291340919778,0.04731096625816224,0.24011048304553131,0.047792095610553975,0.20772876309834043,-0.011292804423886343,0.3296276667396547,0.036619144711681595,0.14229214070419466,0.14687956886294945,-0.11788373983467164,0.3077545411379198,-0.1289144376390453,0.30235762334828387,0.23881259458726437,-0.15488912634071528,-0.12826914326034045,0.17878415829338698,0.17347548103518015,-0.1201922717178465,0.4349703787901019,-0.01645200632209261,0.2430992296340423,0.18799553357818177
OFCpost_R,0.4289862753092528,0.19322928310699364,1.0,0.3594471049403955,0.4032345919396018,0.2660031204586011,-0.22348839947988322,-0.2160209146526191,0.12224339417048011,0.558249832901605,0.31905631361198944,-0.023894794936331582,0.3655118911982522,-0.21216700761094923,0.5884492230675604,0.34859747557480797,0.3810429236336472,0.509464198929881,0.25166902727621027,0.3316318320791256,0.4989016973904974,0.5481201808591681,0.5211118010280114,0.14922883872964612,0.03621436747699857,0.34330399441855747,0.04578478365676472,-0.2791539043700145,-0.19008312476312572,0.07484740734609518,0.03499539926112152,0.3573558685677877,-0.2756286578414186,0.5180755025303044,0.39861124422554983,0.4019897525860407,0.5801533744432829,-0.25119487540104907,0.23268176413824498,0.5374155576856104,0.5486217911848776,0.47839341060721746,-0.1486299101659897,-0.07964324990348239,0.32664664566664886,0.4060958334305102,-0.2549774574487875,-0.08237025838165761,0.4818484024882245,-0.22760929593932513,0.12375983653930879,0.7221290845888673,0.4668881107274284,0.2294272960172707,-0.16201103634968428,0.21230574340765304,0.10839989945528758,0.11750329027326573,0.5224195689205341,0.09185227431585996,0.4968892887079776,0.29545024806871395,-0.30724782639503834,-0.012552519614312235,0.5158575286419248,0.2349769608737855,0.5614930749258351,0.06666824915557039,0.4732669649892314,0.5554006271286206
Temporal_Sup_R,0.2862735949796329,0.18572524632127288,0.3594471049403955,1.0,0.3478703405889108,0.6961247838679774,-0.5461162916132571,-0.485058528624331,-0.219318684234276,0.591545786519041,0.10420025137646019,-0.07785835373618936,0.12845098495861915,-0.15159137060696976,0.2648691750474276,0.6428832833130554,0.35186342284218597,0.2276218804530277,0.1193168561878872,0.012647220162733598,-0.021268286422767936,0.5055648239827891,0.30792638248241944,-0.22408162338638898,0.005653080416213555,0.48243176413747874,0.5608920078174019,-0.6308195302603415,-0.3858176931614387,-0.13260071558016573,-0.10923231039614262,0.13919100201288873,-0.50563947124137,0.3681278400941205,0.24554472394924148,-0.03371953056141382,0.20222607933839779,-0.4218514593891238,0.16727003905978732,0.35032892145229644,0.47035469747628805,0.33824190552722755,0.06911025078835979,0.11661569452602803,0.4538260752278928,0.6405652097468806,-0.49993096116167296,-0.10801458431246136,0.4312631327904669,-0.3608733685749672,0.022732962141395127,0.44164846243972733,0.32981185885114206,-0.20181483674010947,0.16663799763239626,0.2905019648488667,0.3162434359189376,-0.005902974431961225,-0.008853536916803795,-0.07586133737064613,0.6169260228915797,0.14580509534343858,-0.01705024993248206,0.0022594141831998875,0.5244540651995914,0.4779193076972605,0.5333101143070328,-0.106962460489347,0.4771363905648587,0.45212250281164307
OFClat_L,0.3230583658775671,0.22089759618388893,0.4032345919396018,0.3478703405889108,1.0,0.5090121076491333,-0.2575181815985294,-0.09994143594190338,-0.0004178772907485726,0.5256593352494041,-0.1017074916293708,-0.22491127200239064,0.41680655775930614,-0.442899590483809,0.0683611368727818,0.6885380192768973,0.5531347405716214,0.5030156950749205,0.37295406952758353,0.13113096290485154,-0.07547551399157883,0.4510525830226337,0.6561138797241328,-0.2302264597840199,0.012011585175494777,0.4744632543269208,0.5159316534975901,-0.1583527812221988,-0.4729449398061395,-0.4057140844645054,0.24441814863243425,0.16249988867248275,-0.07314562244979429,0.3229435070196561,0.13394238221830262,-0.09499214367599239,0.5053488180642757,-0.03635571841267094,0.29782305888741306,0.514486080331276,0.5345565374920387,0.663124038359536,0.021272648539539862,0.44143193253904417,0.43031559726047186,0.45558671474742696,-0.06384801137257383,-0.012552169598252496,0.7391047895658149,-0.5031296308980163,0.009183190084124116,0.33959184942703236,0.6363357756236984,-0.16293108776330215,0.483338821781095,0.4081412254558736,0.5012865249050421,-0.12254201530058191,-0.0072255744567923325,-0.2862679864519499,0.5980006797571931,0.002890890103784067,0.05193989387271141,-0.04726571879687152,0.4949460137631326,0.6827415835017657,0.46572947201446585,0.20335620194586118,0.20440552552649108,0.535874792388345
Heschl_R,0.38006931316352566,0.46767016558422164,0.2660031204586011,0.6961247838679774,0.5090121076491333,1.0,-0.4741365360153188,-0.453363509970191,-0.19505724299938013,0.6365503190134217,0.19554555861476866,-0.29610397969996854,0.36097942237690034,-0.05392436496606179,0.16513508491102333,0.4179077387072666,0.5007622722990047,0.5445109686755196,0.5267507148976174,0.34075693587951583,-0.12414237011104515,0.49091639755396355,0.5002188839186844,0.0823213343034681,-0.031150985687875707,0.6439063900695254,0.46401511373044396,-0.5521410397913505,-0.29440736663986944,-0.07371065304232849,0.10628372055254293,0.256523233724489,-0.4581861878223197,0.25301883504383843,0.4819799516220635,0.09842932865702775,0.15321887559962924,-0.2806007393661888,-0.02193864925678989,0.10827118819204468,0.7069890906904424,0.5659269030223079,0.48005142450121424,0.255358195900264,0.6861038656710149,0.8172942348785263,-0.44456791287794056,0.1127186334202197,0.608293815461845,-0.34011055091657566,0.27917946258061843,0.28947107633717817,0.5899133326388719,-0.29481265887254043,0.30435107400240224,0.4824980733038177,0.25198881250130467,0.02329986941424441,-0.09592462628021646,0.04836976858382447,0.6243557357892184,-0.03413300199020557,-0.04378203423976314,0.2394878397251965,0.5576491972819538,0.32447180412699833,0.7101065716537064,-0.08241801427792701,0.4725544609032467,0.2954654635893624
Cuneus_L,-0.011718097924645673,-0.22129155027379602,-0.22348839947988322,-0.5461162916132571,-0.2575181815985294,-0.4741365360153188,1.0,0.8512647686361975,0.4694353980114299,-0.2392737232724023,-0.09759889895325698,0.055657355126058114,0.23132207530971358,0.2049044734887401,-0.10060086224992316,-0.3527871993979149,0.0717609737317941,-0.1528593949364974,-0.03769109175787959,0.23950590899567742,0.08928338901856196,-0.464171048402811,-0.08902726696712623,0.45758450600541106,-0.03811298714684941,-0.2763333011567274,-0.35153618634674455,0.9123475834199777,0.6676425963675108,0.14285307423938562,0.37080805836575037,0.28172067298183556,0.8308753695286071,-0.14096344485680412,0.010408999116794855,0.07492080260059326,-0.25966100469427267,0.5626497738587249,-0.12133933686926393,-0.2577275549062522,-0.4656759441290716,-0.09248398184292032,0.08089906924310915,0.1455035820718919,-0.23757234618392994,-0.5629684420880482,0.8719294230418285,0.18469670913281117,-0.22765609377338855,0.3445855596757207,0.2023421379384492,-0.15050712223452153,-0.2277895369216884,0.23333017147625573,-0.16794725782163147,-0.10341677063016137,-0.22748368680849226,0.15548634393032776,0.09589908204862199,0.008887867877664279,-0.19626694557473015,0.5442103275719165,-0.0740230294692948,0.10270225316704971,-0.1142466148742386,-0.41887559542072245,-0.4813594702951711,0.2997962377405234,-0.13780500066786647,-0.3229685490933464
Occipital_Inf_R,-0.10242185963669057,-0.2633033382514536,-0.2160209146526191,-0.485058528624331,-0.09994143594190338,-0.453363509970191,0.8512647686361975,1.0,0.4909857483495561,-0.17806408691670367,-0.17191807186514377,-0.010879363841097793,0.18905831777380971,-0.0773249852621846,-0.12856038355820548,-0.13538396370721104,0.21212396621833318,-0.21956122671507172,-0.07434541608947756,0.0663452015174746,-0.028766384138154848,-0.2884808884034415,0.07290657239018881,0.20793434611843026,-0.0908795276743262,-0.25372589490312064,-0.06437045619196874,0.8926985794356836,0.3407695707283004,-0.21388839591175435,0.40332242523931355,0.25805169199067307,0.9307823711301467,-0.005810400095705233,-0.18596919622128855,-0.1472895904036912,-0.20940261970005747,0.550328456513511,-0.08798857170341583,-0.05214180526044506,-0.46378369931113156,-0.022329090760907794,0.047692284763483105,0.27570604141945304,-0.25486939269422254,-0.4822049460975534,0.9150340260050761,0.21105398254189334,-0.08786211756850994,0.056959458265551946,0.07639429777088942,-0.14662808108249265,-0.13198728818533426,-0.03824580641894298,0.07134119237305254,-0.05645831146177127,-0.06474858855577038,0.05103041581807092,-0.04592704528538453,-0.31932254107523017,-0.0714418536728478,0.5448522153001691,0.04008105711176335,0.015887324749568263,-0.110153155133728,-0.1260961391894194,-0.44685607782209935,0.3991364931657171,-0.26290008781005053,-0.09965258425545802
Temporal_Inf_R,0.19576579405920064,-0.13476766316986646,0.12224339417048011,-0.219318684234276,-0.0004178772907485726,-0.19505724299938013,0.4694353980114299,0.4909857483495561,1.0,-0.0738292264632011,0.10305376038428768,0.005842211265012841,0.25845841238496875,0.06211371770923061,0.1970590000686867,-0.07265933571476495,0.09863687242714624,0.26944728462470885,0.11398835958717628,0.35705354920345445,0.14815609431244747,-0.08569939991249798,0.1906742785424398,0.350784549536229,0.18852272326949512,0.001540636356132713,-0.23748413521149106,0.4531797564686235,0.3239857638930428,0.06805082270397064,0.11015869142248522,0.22473838627122172,0.46494964669704697,0.029284229829674283,0.20158486789488592,0.2664840722984495,0.0009100547304039453,0.30398139145944386,-0.04771783293249297,-0.06552452768926295,0.05201941706032124,0.2546334256628121,0.08138604353105289,0.10416330611836529,-0.13966563615129252,-0.08465128804587473,0.4298908068742357,0.14243936162516022,0.11321879040110593,0.13080363570401768,0.27349113221731447,0.22156082142878897,0.17615237951298618,0.30255021864780646,-0.17705648078083908,0.1361971765399727,-0.12400695349007082,0.2531111536034989,0.3687015685490688,0.07709628770338309,0.06960291860035518,0.4286405010132392,-0.07683721294400453,0.29472264086325634,0.04590923940790334,-0.1279296696239198,0.026789552377566132,0.3273529545973267,-0.01178132773357837,0.016036638693506477
SN_pr_R,0.5411380779293892,0.23992465892094986,0.558249832901605,0.591545786519041,0.5256593352494041,0.6365503190134217,-0.2392737232724023,-0.17806408691670367,-0.0738292264632011,1.0,0.01114294139686451,-0.2007263894899522,0.5049200746963327,-0.26702104330870263,0.11130738563253567,0.4389202364775696,0.6102249115056633,0.454159213555994,0.3910186066714895,0.30885970745495767,0.15430644437221458,0.5498045839734659,0.607518484841797,0.05320158010586715,-0.17275130734410865,0.6482005762815257,0.5182755693674582,-0.24099624122993896,-0.3088238420625851,-0.220825573867377,0.23973213797560428,0.34537883937185176,-0.17659562650635863,0.6004099661047939,0.4051828615814361,0.0435534914624037,0.36517137981995135,-0.06355275248015019,0.25623927020998943,0.502135092659879,0.5996438545369273,0.6593864129206163,0.11822299416003251,0.22276180752933034,0.6480138122211796,0.5408716569015429,-0.16823997964372708,0.02989426690456727,0.6770212027986574,-0.37135299194798793,0.16234845585658583,0.41594020925145725,0.6285590902919156,-0.20166444168065542,0.33399979628257875,0.4776687983573344,0.41547308067585303,-0.1984891876216797,0.20223122673196436,-0.13270320891438545,0.6979346462572456,0.3473041376534021,0.03584912661809392,0.009072775746708723,0.773590237295247,0.47124411986619613,0.5620822213676815,0.12624054389461076,0.4840521965272525,0.6240462183167765
