,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_R,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,N_Acc_L,Thal_Re_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,ACC_sub_L,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L
SN_pc_R,1.0,0.009144102105618118,0.3677901072141877,0.463648042809285,-0.1958933457611139,0.24833851358156148,0.25490326890010273,0.41493710896559527,0.5646567342187401,0.290833002184209,0.3853821227718355,0.12637383015492365,-0.0758134841874542,0.19231436095358193,0.5802983274412048,0.165698441199476,0.20687137121342647,0.3839234559695647,-0.26629170178489436,0.359598622484671,0.2621686127192271,0.11252571723616916,0.13129006349160374,0.4153531250186056,0.586633203594929,0.33237879251370606,0.27357244316527884,0.15187343431741782,0.18886141672467702,0.4713291323740855,0.5791807555914301,-0.1899114470204945,0.411373281209555,0.14805406032116583,0.31125037909291764
Thal_MDl_L,0.009144102105618118,1.0,0.6321563507242773,0.2287150109936829,0.3766948694031226,0.5316772079818742,-0.35733203573861205,-0.5007537972824176,0.1334015859318837,0.20069250237314884,0.10396702163723934,0.6258893857682342,0.0334829529327695,0.27189856713974675,-0.006108965462587705,0.5826863758836742,0.45900603159722003,-0.1642521049758963,0.13913068637232634,0.07251370516137227,0.5144028303885901,0.42720166279403765,0.3824979519328936,-0.11042378886591359,-0.09177987043743305,0.7044544751870163,0.35529315437733117,-0.47683762248993733,-0.20390160204177202,-0.022090778392366315,-0.09643437167527373,0.2336021313694464,-0.3620718270274391,0.6418028903074247,0.3397304498931328
OFCpost_R,0.3677901072141877,0.6321563507242773,1.0,0.3818304947629277,0.13327042930498295,0.7010870634268088,-0.11525621595363084,-0.0745660655772504,0.4373739945932048,0.37510513958705954,0.3611906031138381,0.691202556716136,-0.12356765698158043,0.34021470361022627,0.5035328203620713,0.6826769998260555,0.5187219380983442,0.11810287721516577,-0.1188557807045225,0.2457689480888008,0.646542704971924,0.4593771143838128,0.4279821978802258,0.15250474603045402,0.42119867835846775,0.786229389873165,0.45378312138382904,-0.2973722076611151,-0.0801533068773942,0.2807486897245004,0.27478145587420005,0.033587216958187685,-0.02567285661371196,0.637754253906282,0.5535893977787124
Temporal_Sup_R,0.463648042809285,0.2287150109936829,0.3818304947629277,1.0,0.20058489073884597,0.42065702810617145,0.36576708633789673,0.24612989614152905,0.6214435224811414,0.37875232165623907,0.4968550251361628,0.11018301261538525,0.34452947819371943,0.6312785800084126,0.304771405005907,0.22998422489421466,0.5770966186680815,0.36118969722632205,0.17799378900461507,0.6911581224750001,0.29742059682765676,0.35851648880435566,0.4611295162689719,0.6025765620182142,0.40498971083033924,0.5985833221947979,0.6688275330482436,0.39517986135482575,0.46774760023581713,0.6893761475690316,0.6520812930970795,0.22818598862205808,0.48780057376759617,0.48297995150581374,0.4749255995103189
OFClat_L,-0.1958933457611139,0.3766948694031226,0.13327042930498295,0.20058489073884597,1.0,0.02380377987215634,-0.02079389720607576,-0.6184329794433837,-0.13090580982282052,0.14243724248951592,0.1003738852225358,0.17717974466498088,0.32795581214049635,0.30980231406382575,-0.4100993937606345,0.26525619047658777,0.41200438546823703,-0.07176647039219279,0.43091278696606167,-0.049122621210555016,0.3260246114234044,0.08479099919526668,0.2560834017336081,-0.08349233378659286,-0.33361399604625236,0.25053564900390624,0.2983175880158476,-0.06901010123206332,0.12502593494740694,-0.08127976437641753,-0.18865426187648474,0.4921068036291398,-0.1891164924745327,0.39180241818791395,0.20047878635797878
Heschl_R,0.24833851358156148,0.5316772079818742,0.7010870634268088,0.42065702810617145,0.02380377987215634,1.0,-0.04436866306480248,-0.06324665126779362,0.27425562859811553,0.24584126023450387,0.13338845632558907,0.7236476199061118,-0.0306439610677916,0.46625440777651367,0.27707858089156506,0.47867609957565177,0.5202171063403442,0.10322292031176156,-0.08376014997977642,0.2663029468249748,0.5451581183254322,0.4427310472857071,0.5238559296564719,0.14868597540950831,0.2129586405831524,0.6752962186946524,0.5648973589433396,-0.2596351126394678,-0.023649340718279035,0.40238771889630787,0.1892485918024884,-0.12347068602286268,0.05924019018427597,0.668291670790062,0.6500140381365759
Cuneus_L,0.25490326890010273,-0.35733203573861205,-0.11525621595363084,0.36576708633789673,-0.02079389720607576,-0.04436866306480248,1.0,0.4393408689142187,0.07464894903364633,0.3218076150301711,0.08718241581785556,-0.17386757031128583,0.2964537511391758,0.5287098377780487,0.09766645312263644,-0.08736852941085241,0.2983953404598606,0.6389676026621468,0.243076738434868,0.5518075614967176,-0.08010622065275412,0.003376201182000511,0.037226641790218146,0.7399798820316289,0.250320527789987,-0.03764418000279522,0.3563593082894421,0.8407930122998064,0.884711707736213,0.6637021827221415,0.5135920520483833,0.08376650563727016,0.843731790785213,-0.01398653252037503,0.3591370693757917
Occipital_Inf_R,0.41493710896559527,-0.5007537972824176,-0.0745660655772504,0.24612989614152905,-0.6184329794433837,-0.06324665126779362,0.4393408689142187,1.0,0.4421179145373052,0.2628111288650683,0.22812469065463417,-0.2890846729648161,0.06442732530164459,0.025623526187498826,0.6110077436895271,-0.12216047120284314,-0.12576770437045667,0.49721855101568124,-0.14687805622265718,0.3393428174689065,-0.2921276450499999,0.15053554712604944,-0.03567954343412343,0.4313853195783101,0.629444690426005,-0.04738551366949979,0.004633228942071868,0.4662421923539694,0.2992925072522762,0.36631385552879725,0.6556277108223287,-0.10214007976714291,0.6165158871336296,-0.31114398136842725,0.03354785815963169
Temporal_Inf_R,0.5646567342187401,0.1334015859318837,0.4373739945932048,0.6214435224811414,-0.13090580982282052,0.27425562859811553,0.07464894903364633,0.4421179145373052,1.0,0.2748996128348509,0.8003313611808872,-0.0015124727826640759,0.0658632967540758,0.08464836404787007,0.624283107969628,0.30234038668944807,0.06297332492823203,0.12073325230633526,-0.07140768610688372,0.46094480773540203,0.19648421989109127,0.23500886604095014,0.15711320355470831,0.3723513411255216,0.6710870893169041,0.5108273135854228,0.23393263502340766,0.17608004594373902,0.14106726478350431,0.33267950145892244,0.6438070479039452,0.0439700933965791,0.33201768658438136,0.10981892898995833,0.07164286400702898
Red_N_R,0.290833002184209,0.20069250237314884,0.37510513958705954,0.37875232165623907,0.14243724248951592,0.24584126023450387,0.3218076150301711,0.2628111288650683,0.2748996128348509,1.0,0.2528030450726899,0.2523462479007681,0.32990022746639486,0.448327406127551,0.39260849039602896,0.46271741572814024,0.4428864856258494,0.5490416700450358,0.4152984261034057,0.3440912504551451,0.1241147292899396,0.7039102446153823,0.3286327003068086,0.3644872968636663,0.4608822939937844,0.5054978665150731,0.42855182592926455,0.18566312446997546,0.3179531487231093,0.39620159556240686,0.55439512495791,0.5902525763951902,0.3782644559339339,0.3147173398829306,0.4731328429371464
