,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_L,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_R,Thal_MDm_L,Precentral_L,LC_R,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,Thal_PuL_R,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,SN_pc_R,Cerebellum_Crus1_R,Thal_AV_R,Amygdala_L,Frontal_Mid_2_R,Frontal_Sup_2_L,Thal_VL_L,Temporal_Inf_L,Vermis_1_2,Rolandic_Oper_R,Occipital_Sup_L,Thal_VA_L,Caudate_L,Parietal_Inf_R,Thal_IL_L,Thal_VPL_R,Frontal_Sup_Medial_L,SN_pc_L,Frontal_Med_Orb_R,Pallidum_L
SN_pr_L,1.0,0.30784140778696717,0.23490073971414738,0.19730701694140937,0.07065522125968737,0.06579160716589791,-0.11342795454898445,-0.07086264981208788,0.12074729204920359,0.23607966546939524,0.15003998953949502,0.1914470076574758,0.2288280402446117,0.23218610276899518,-0.127997325824173,0.2436584102677603,0.13119282204953062,0.22691565966187985,0.3680952596603703,0.23196545070348557,0.034429099685837815,0.39254939743065187,0.2610358863502512,0.13527782735286353,-0.0785459577781077,0.4812391880811175,0.16842029431974548,0.040783361812758406,0.09568953675159252,0.011835792018112011,0.06513663177896493,-0.12384704741531051,0.04339345937862281,0.2814945663500898,0.32434520498290015,0.08389921922769902,0.01791698056637967,0.29404253034193445,0.12102746776434702,0.18820548930506228,0.28041806571690475,0.3392359274759701,-0.07233727327852045,0.26581827264410085,0.2172295213636144,-0.1234681652390704,0.3122924523927926,0.2908998335516845,0.04908858966410073,0.30329815022583,0.24948741671343502,0.18872527097758807,0.30938398822512414,0.36694845372197527,0.35163838151326354
Thal_MDl_R,0.30784140778696717,1.0,0.2857045770346288,0.46066877762516445,0.11000527137074773,0.25551018641302553,0.24006168553139312,0.08750722582839755,0.40743453298058746,0.10568918100045113,0.1546041769508094,0.1405682905928186,0.23378705676663278,0.2792900370509015,0.033640056915316546,0.10454203950019517,0.3907414115142291,0.36870318836832866,0.47778185107024707,0.35492498657284155,0.1763703808380454,0.2779154546826187,0.35315523849316705,0.280458505078654,0.03328535914142874,0.3718453199983296,0.4527990613962356,0.3018760879991279,0.3895222762243328,0.2790974744435725,0.1363236553683646,0.040715966317571885,0.3419357836522596,0.29429243595727356,0.3168489834649575,0.07931934976080014,0.09761625948422942,0.30975939417655235,0.03772695464579191,0.2770185289887738,0.38181641705437,0.5123234548119278,-0.03851153107547734,0.32580705583624003,0.3267206641889226,0.1586098225374138,0.5479442528987231,0.5043361572970562,0.18304196788425553,0.536340660720027,0.5100177713574654,0.18643992245430285,-0.0016459845584009954,0.12224678133657765,0.35386702114261637
OFCpost_R,0.23490073971414738,0.2857045770346288,1.0,0.5176393612063087,-0.20899155568105637,0.6487993268038252,0.06584443596729453,0.26745749333942,0.6406854910704571,0.3604537150878167,0.03532842597222808,-0.12968309288166682,0.41757003477289256,0.006777958467057227,0.09875104743275963,0.2858478023919495,0.4014165598068301,0.3117117896164819,0.12752956913589839,0.33831481761737925,0.10396611623171043,0.31370364948332075,0.6022893932385311,0.23824616415283728,0.2441057690727548,0.3058237287133845,0.29096949810712947,0.15624125900584107,0.1638616983942055,0.2649206938988813,0.04864277167075783,-0.04545575624388414,0.12426212743246838,0.2200496972471217,0.24542813779812633,0.28692196023370525,0.3365551280478559,0.152983955989936,0.11091024160552035,0.17909671592866747,0.3513743911459518,0.3151491312254617,-0.18569390138942815,0.06321634667198717,0.21644218317714164,0.12349965971780505,0.2824609842205863,0.31451381492932795,-0.07540065365743422,0.3527761875478472,0.17434785913285808,0.3285373438238768,0.29023651140740425,0.104318973463696,0.346069684695305
Temporal_Sup_R,0.19730701694140937,0.46066877762516445,0.5176393612063087,1.0,0.2656846622301051,0.6341949490994782,0.34089326857442487,0.19643009194972189,0.6995489772579893,0.24294485417515577,0.09142710923469805,0.2346572513044344,0.4149343700160837,0.34554711692585227,0.06416460722916983,0.39311017717342467,0.623799561836802,0.624069830846276,0.4233701728155437,0.6529838156018509,0.2918514089782789,0.45669186521115207,0.751840503230002,0.5417835966116781,-0.01783711085384318,0.43590648640975144,0.28029811852497927,0.39617485036217465,0.5488574562454527,0.7219092770470026,0.2846429471410196,-0.055893324261794816,0.47293560283086006,0.33307953882708907,0.5810202955559064,0.16634134645072726,0.20034525822175797,0.31996301717072695,0.024219231862477486,0.5662227984007956,0.603390821084362,0.3709746356737334,-0.15355281499981543,0.09365830890706404,0.5843379800517193,0.19762518250225686,0.5809558235771002,0.37245103649827654,0.41401627560363097,0.28026846315365556,0.13160249863478402,0.6414850154003424,0.14381202182180144,-0.13971017334488178,0.5321306821819095
OFClat_L,0.07065522125968737,0.11000527137074773,-0.20899155568105637,0.2656846622301051,1.0,-0.011674718001917552,-0.1360381871408499,-0.2783334973179941,0.01871970905222435,-0.2772826364582865,0.027272692229855393,0.19936803874760234,0.12471320733282935,0.21310708293272945,-0.263335422518219,0.1565946679503315,0.016319519729654966,0.17004002076391145,0.040774138028150164,0.4396677672677031,0.2747048655988697,0.2980655572764936,0.22761853476252977,0.4805715488331153,-0.3988779340204605,0.3215521218671871,-0.01703865871687236,0.1380678190348166,0.24971177691708696,0.08898200210855892,0.04548803029569878,-0.2702837298987227,-0.03702508065419323,0.3738637104558203,0.4416720099293635,-0.09784234788464993,-0.2970838389325762,0.38863618362410557,0.22104070791999628,0.30023789390212996,0.36986301067093125,0.16856900723200086,-0.17149231246511754,0.03910151920904511,0.41525145434298655,-0.18612579994693215,0.3312032134314826,0.046575670672611674,0.17648067816815005,0.12569934896120752,-0.27693889856613846,0.18558393661926645,-0.037998836478020444,-0.06902481043949146,0.27821691767562945
Heschl_R,0.06579160716589791,0.25551018641302553,0.6487993268038252,0.6341949490994782,-0.011674718001917552,1.0,-0.019081772097631775,-0.023722172052591847,0.5727337702453424,0.21124932218463421,0.07658398986369525,-0.03129963852544351,0.39976181962108615,-0.11110236760151082,-0.17615284626959202,0.5193423396487741,0.28778100667893164,0.623437800351252,0.026689370110551388,0.5486725635239308,0.29612691300297767,0.48615079076793627,0.7878842761429007,0.4932808052160958,-0.13165796516475242,0.49172975482614695,-0.00603665484175592,0.3462187453637893,0.38857031087973143,0.35220782816366064,-0.15157926247569747,-0.21693923532887627,0.12605863563116912,0.43137828679718404,0.40364539538448796,0.35047600782667937,0.04190031350555422,0.3029100098864531,0.3124675777532139,0.29411729145545656,0.5484500849455427,0.40896423887265443,-0.3794729866469378,-0.15624833120885068,0.3135126169987492,-0.030911417390217463,0.4451664142196161,0.4030842125338929,0.017809336950361077,0.3548941222339189,-0.05936979454759411,0.5582058781185585,0.2997328975922648,-0.08869126244003787,0.482515360014048
Cuneus_L,-0.11342795454898445,0.24006168553139312,0.06584443596729453,0.34089326857442487,-0.1360381871408499,-0.019081772097631775,1.0,0.7271372337365278,0.3845142773047865,0.1624592797209329,-0.03919598141905354,0.17424841344211764,-0.01731826759990823,0.34307745510557863,0.6998824828601808,-0.2217432869096887,0.5287303645502154,0.051382328685805445,0.5631791583294132,0.01218230404388954,-0.034184067100104895,-0.3949494214350626,-0.018000779063472954,-0.01591546723976184,0.4839147088529218,-0.33395752123183176,0.468306556276057,0.3017970725467637,0.38596087941096235,0.6332959318965461,0.6554423115009628,0.6968312460452911,0.7624175702322541,-0.3298632170031985,-0.04432126917677155,-0.0610628506501896,0.5773471836326852,-0.5109511726883116,-0.5903743234922935,0.03961751700398114,0.0038473467706819616,-0.2966588706602043,0.43309462129235693,0.13479097070817156,0.027763387232939203,0.8656846259179238,0.03946833774201513,-0.07253459607284109,0.5547909617289213,-0.21511771060741858,0.46080454085259476,0.12914896555643318,-0.1427894787065296,-0.41445773765491706,-0.1347254021867667
Occipital_Inf_R,-0.07086264981208788,0.08750722582839755,0.26745749333942,0.19643009194972189,-0.2783334973179941,-0.023722172052591847,0.7271372337365278,1.0,0.41913152528288955,0.22382041840730854,-0.08781353987561087,0.02301278677236371,-0.06798954872165015,0.1844117065712305,0.9027480318410733,-0.4063457924222196,0.4350428076854006,-0.1763589636764219,0.4399252588630586,-0.2536379982152461,-0.18179802291730549,-0.5150292346101499,-0.17735540987056336,-0.3089541946282906,0.8068892924148793,-0.526513811484465,0.3894091220560384,-0.0854019233431245,-0.07775205721523275,0.3935331209216533,0.6788652598103236,0.5804822863438729,0.42631054623475395,-0.5564117234764475,-0.21631228119152385,-0.1466511861725273,0.9074492615869238,-0.5917217418801197,-0.7782132600862346,-0.1468683453211605,-0.3197724877439738,-0.42647809729895986,0.5113544592393794,0.04394966546648665,-0.07637000668955816,0.6754147194793398,-0.21473257780499416,-0.2684648658697151,0.17936421529992125,-0.2814729009538926,0.44655186897435634,-0.05896841446898866,-0.2060886945538166,-0.4366295168144428,-0.33745182461871426
Temporal_Inf_R,0.12074729204920359,0.40743453298058746,0.6406854910704571,0.6995489772579893,0.01871970905222435,0.5727337702453424,0.3845142773047865,0.41913152528288955,1.0,0.13317685835878568,0.12948431756475723,-0.02271139094877803,0.37755311366521477,0.16090598664382047,0.20653241953552787,0.21787609802528968,0.37729869783872644,0.36673606928469654,0.4787262347123686,0.5094858632482883,0.2737518139692605,0.3567728763457744,0.5003806500371746,0.44393206014893855,0.15470203815392242,0.30874463525604623,0.32276010082691625,0.4610789982866149,0.5092474412885016,0.4844553218005997,0.23579259380166134,0.013977715845126653,0.539555707939852,0.17518030718940641,0.2701632551972151,0.015157478143415575,0.47169979449681376,0.1087818488149614,-0.16668601291204804,0.09911429984434898,0.3718206277398967,0.14432436470713111,-0.2403145239149086,0.03204514860116335,0.15177470108921942,0.27418017196356903,0.2819357991972729,0.20022229538303904,0.16286450003926073,0.26666971759441294,0.20610844971739692,0.2141060149728975,0.07755095192399586,-0.17249000060278422,0.2165548275069591
Red_N_L,0.23607966546939524,0.10568918100045113,0.3604537150878167,0.24294485417515577,-0.2772826364582865,0.21124932218463421,0.1624592797209329,0.22382041840730854,0.13317685835878568,1.0,0.16793721110459484,0.027280883962176296,0.08565686034662781,0.2185109560151286,0.27027677921808263,0.3383654727023066,0.28315055657313404,0.1370932605258526,0.21769411205774514,-0.1034367206295338,-0.06546539436208622,0.08922275775401446,0.2814997751814467,-0.16265305716559475,0.27320663573143555,0.13787563162361194,0.133917778583311,-0.14350712733197948,-0.08738798303128974,0.15015243069863304,0.2524962556235483,0.12574548199937094,0.0510696627296423,-0.06875677710102401,0.04094231919896572,0.2801000419215502,0.303899575143922,-0.05904990034223457,-0.018537439127861228,0.0773876394498708,-0.006743647727143825,0.07553684499808876,0.2932898890670018,0.12847716923340038,0.28135025833823935,0.23730286464819308,0.12765368022570414,0.2081704762474402,0.04046323650422386,0.08114646019841099,0.16708890650231709,0.3609976198068063,0.4380192957052926,0.2177871175026942,0.18480877727284978
