,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,Thal_MDm_L,Red_N_R,Precentral_L,Frontal_Inf_Orb_2_R
SN_pr_L,1.0,0.34029242893075745,-0.09311110924956956,0.397523819736501,-0.47931383206604306,0.08481049219239095,0.5200127701059782,0.5405761901742008,-0.24159129481753538,-0.5399158150816711,0.29379672809072777,-0.2506632272850244,0.4307035345027835,0.3350582136918616,0.545197728949895,0.24192794686923688,-0.04723582201672262,0.8042663072697348,0.299184104900192,0.30612541897968726
Thal_MDl_R,0.34029242893075745,1.0,-0.16889052365785753,-0.018324449198425498,-0.35823894058183703,-0.11478393756201091,0.43535750525700057,0.46206307080895104,-0.2810331840753232,-0.24330221168970084,0.4677845214247873,-0.13339035348462236,0.004065685234249413,0.38162690720275355,0.1046088541401987,0.302676603406683,0.3484358223162127,0.49809166094086144,0.0853281143442594,-0.27977878152813124
OFCpost_R,-0.09311110924956956,-0.16889052365785753,1.0,0.41618974459208585,0.4795420736541071,0.48324628878140735,-0.26371448437289985,-0.2710142952284649,0.5167425624447776,0.43191173957365375,-0.10386060696569188,0.49827227425299025,0.28956600077402467,0.13160123210350025,0.33046770315741464,0.39502915600997435,0.2610407672274562,-0.22729417894381693,0.12344584585926141,0.6092367425866566
Temporal_Sup_R,0.397523819736501,-0.018324449198425498,0.41618974459208585,1.0,-0.23317370500380313,0.5260718097621317,0.16639340305480751,0.3869832379132171,0.4678014463972526,-0.04429206832096596,0.18185963384305195,0.14418219120996367,0.515752316735511,0.28161105317692087,0.5994928862805254,0.3206673811092336,0.37174344392257763,0.38088618161471016,0.35992727531742846,0.7444832583256747
OFClat_L,-0.47931383206604306,-0.35823894058183703,0.4795420736541071,-0.23317370500380313,1.0,0.06554664256304008,-0.47765015030548363,-0.720467869601248,0.07241962196792659,0.47612967951458723,-0.39792079805098046,0.4539267476981799,0.027109809557878825,-0.34027662844326534,-0.0787614543980493,0.2526074781398582,-0.16001033632626488,-0.5281712576800005,-0.19843105620047163,0.06393571156550111
Heschl_R,0.08481049219239095,-0.11478393756201091,0.48324628878140735,0.5260718097621317,0.06554664256304008,1.0,-0.2316550220409158,0.1447704978648549,0.4376032804232258,0.2617726833746659,-0.11854436072598445,0.47106146807320853,0.0759004518961984,0.4617884391343249,0.2150829203349677,0.08146141646716992,0.17959487426594758,-0.050254535055552586,-0.21429630125812385,0.6165389270672915
Cuneus_L,0.5200127701059782,0.43535750525700057,-0.26371448437289985,0.16639340305480751,-0.47765015030548363,-0.2316550220409158,1.0,0.4831531230184995,-0.15480488171268825,-0.3249582454382802,0.5350589645559825,-0.41372577362919194,0.37442481570463343,0.0777856713093875,0.19697382048851253,0.03539326979644353,0.09698062356044876,0.5346493284605458,0.4847234969024399,-0.08318996338225544
Occipital_Inf_R,0.5405761901742008,0.46206307080895104,-0.2710142952284649,0.3869832379132171,-0.720467869601248,0.1447704978648549,0.4831531230184995,1.0,-0.0018448918565804218,-0.4580260452596168,0.347815185984253,-0.21791919052092676,0.03302385238984035,0.5420902690132948,0.1259266834722252,0.12638952739414108,0.20311791998015538,0.5861512183410569,0.19632581127565596,0.13281267006308553
Temporal_Inf_R,-0.24159129481753538,-0.2810331840753232,0.5167425624447776,0.4678014463972526,0.07241962196792659,0.4376032804232258,-0.15480488171268825,-0.0018448918565804218,1.0,0.6716161348391643,-0.22874601880801215,0.471670936066258,0.15729378225935797,0.1977792719646923,0.08675172629914298,-0.059842965996927004,0.39177079666969106,-0.24864646921200823,0.20850025885909024,0.5136358301102385
Vermis_8,-0.5399158150816711,-0.24330221168970084,0.43191173957365375,-0.04429206832096596,0.47612967951458723,0.2617726833746659,-0.3249582454382802,-0.4580260452596168,0.6716161348391643,1.0,-0.3093461288750062,0.45455355021501404,-0.02404823336449493,0.03717920984963394,-0.23553503347213883,-0.12365005140087842,0.1702151745046375,-0.5319329325729801,-0.10081063187660673,0.10087734885253599
Thal_AV_L,0.29379672809072777,0.4677845214247873,-0.10386060696569188,0.18185963384305195,-0.39792079805098046,-0.11854436072598445,0.5350589645559825,0.347815185984253,-0.22874601880801215,-0.3093461288750062,1.0,-0.35068138780488234,0.13697259254328956,-0.0005962981891271006,0.18377322302905372,0.17813769235422192,0.32646959318069674,0.3291796685302929,0.27655438134736526,-0.0705387814900663
Thal_MGN_L,-0.2506632272850244,-0.13339035348462236,0.49827227425299025,0.14418219120996367,0.4539267476981799,0.47106146807320853,-0.41372577362919194,-0.21791919052092676,0.471670936066258,0.45455355021501404,-0.35068138780488234,1.0,-0.0833718924621631,0.1687713683743839,0.14006985406161135,0.002918364616022526,0.3549387808619167,-0.31960045895933614,-0.2864667263536821,0.3496077290133933
Paracentral_Lobule_R,0.4307035345027835,0.004065685234249413,0.28956600077402467,0.515752316735511,0.027109809557878825,0.0759004518961984,0.37442481570463343,0.03302385238984035,0.15729378225935797,-0.02404823336449493,0.13697259254328956,-0.0833718924621631,1.0,-0.06217526880393285,0.5489251611054526,0.34838868450721244,-0.011016296885813424,0.46926479289363454,0.7198112904622664,0.4114791066748607
Vermis_9,0.3350582136918616,0.38162690720275355,0.13160123210350025,0.28161105317692087,-0.34027662844326534,0.4617884391343249,0.0777856713093875,0.5420902690132948,0.1977792719646923,0.03717920984963394,-0.0005962981891271006,0.1687713683743839,-0.06217526880393285,1.0,0.08102430917788792,-0.007200965945221349,0.2825818184384949,0.25973783530698163,-0.18961380506799372,0.19378096135811793
Amygdala_R,0.545197728949895,0.1046088541401987,0.33046770315741464,0.5994928862805254,-0.0787614543980493,0.2150829203349677,0.19697382048851253,0.1259266834722252,0.08675172629914298,-0.23553503347213883,0.18377322302905372,0.14006985406161135,0.5489251611054526,0.08102430917788792,1.0,0.325064111321673,0.22393342302770922,0.5153727008730222,0.3266741431256767,0.44966659394663416
Temporal_Sup_L,0.24192794686923688,0.302676603406683,0.39502915600997435,0.3206673811092336,0.2526074781398582,0.08146141646716992,0.03539326979644353,0.12638952739414108,-0.059842965996927004,-0.12365005140087842,0.17813769235422192,0.002918364616022526,0.34838868450721244,-0.007200965945221349,0.325064111321673,1.0,-0.042473059085039365,0.23581973243353133,0.4029881034868395,0.29649573288171455
Thal_MDm_L,-0.04723582201672262,0.3484358223162127,0.2610407672274562,0.37174344392257763,-0.16001033632626488,0.17959487426594758,0.09698062356044876,0.20311791998015538,0.39177079666969106,0.1702151745046375,0.32646959318069674,0.3549387808619167,-0.011016296885813424,0.2825818184384949,0.22393342302770922,-0.042473059085039365,1.0,0.06746797557920929,-0.06956893146281262,0.21377091267091833
Red_N_R,0.8042663072697348,0.49809166094086144,-0.22729417894381693,0.38088618161471016,-0.5281712576800005,-0.050254535055552586,0.5346493284605458,0.5861512183410569,-0.24864646921200823,-0.5319329325729801,0.3291796685302929,-0.31960045895933614,0.46926479289363454,0.25973783530698163,0.5153727008730222,0.23581973243353133,0.06746797557920929,1.0,0.34750998921360915,0.12773995844771285
Precentral_L,0.299184104900192,0.0853281143442594,0.12344584585926141,0.35992727531742846,-0.19843105620047163,-0.21429630125812385,0.4847234969024399,0.19632581127565596,0.20850025885909024,-0.10081063187660673,0.27655438134736526,-0.2864667263536821,0.7198112904622664,-0.18961380506799372,0.3266741431256767,0.4029881034868395,-0.06956893146281262,0.34750998921360915,1.0,0.23382555591901333
Frontal_Inf_Orb_2_R,0.30612541897968726,-0.27977878152813124,0.6092367425866566,0.7444832583256747,0.06393571156550111,0.6165389270672915,-0.08318996338225544,0.13281267006308553,0.5136358301102385,0.10087734885253599,-0.0705387814900663,0.3496077290133933,0.4114791066748607,0.19378096135811793,0.44966659394663416,0.29649573288171455,0.21377091267091833,0.12773995844771285,0.23382555591901333,1.0
