,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_R,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,N_Acc_L,Thal_MDm_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,ACC_sub_L,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,Raphe_M,Temporal_Mid_R,Frontal_Mid_2_R,Frontal_Sup_2_L,Thal_VPL_R,Temporal_Inf_L,Vermis_1_2,Thal_LP_R,Rolandic_Oper_R,Occipital_Sup_L
SN_pr_L,1.0,0.6441334165260264,0.4180093164848089,0.4895464566285005,-0.3281025435896079,0.19889088447858347,0.01308314471948483,0.17767827444748693,0.6815703811758326,0.5242366790604989,0.11707348494172239,0.8457342568948968,0.012448001756387382,0.47806022496219175,0.47261929924762314,0.07392573864711315,0.45819150677529513,0.6153960395723008,0.5386905742041386,0.37934346697405186,0.10379159364970464,0.27506762489122644,0.5395741049333898,0.2637594790558495,-0.19649505478534135,0.8261870117398102,0.5517514604432139,0.29680835958940277,0.4191617234806972,0.4791995901253542,0.5419784974304023,0.1710881687863599,0.13928457893375593,0.8078408137534563,0.4622503455176104,0.5422160793882884,0.2794180090152061,0.6356955938401404,0.666914099960494,0.4032247470614588,-0.10859028319621628,0.6792613091568422,0.3449428455230191,0.34942917182470157,0.3170239429297484
Thal_MDl_R,0.6441334165260264,1.0,0.4049779256004017,0.5965579388523432,-0.21715201154839017,0.444679947810235,0.08974099192233091,0.20086930972993203,0.4364164166813866,0.4276408797780997,0.08924613145516187,0.6568988182465328,0.08632043603421338,0.38856122345954996,0.1951261519039916,-0.010462167023947302,0.43419876176785654,0.3732069847331938,0.6296272806241634,0.5224321056130595,0.293255226593103,0.3737103746549536,0.6296327708663316,0.313446661879581,-0.16157478584617507,0.5922443651647061,0.5357430248825844,0.15362709248709197,0.4060970924823196,0.49002587658350377,0.46852168718620957,0.06688161022522553,0.08842704076497551,0.5211015216526741,0.5501199785791049,0.4171511405549059,0.2882658573029551,0.6824879822898255,0.6266369659795394,0.5492607161642485,0.06181180358949513,0.5148636409616952,0.5094564840224373,0.5278865766069919,0.2383065611213061
OFCpost_R,0.4180093164848089,0.4049779256004017,1.0,0.5293400099745124,-0.20017225324033855,0.4043821963980487,-0.20358856813361215,0.0910807741529821,0.25337754731098,0.31458288142397367,-0.11137356601419787,0.5504420095665473,0.0663522195942285,0.34281700936893755,-0.052351722394942735,0.010414968757113683,0.3126630477953682,0.5382553762311005,0.3297854571214623,0.3637278390403844,-0.1460241622699545,0.497745953309773,0.5524276481543574,0.14464048106107813,-0.09910254968694499,0.44703402750955423,0.631141730773448,-0.06949014177561182,0.21851316451299785,0.16593277835720427,0.3483685754800631,0.09010174885067868,-0.18191882865076947,0.43193976924398986,0.4872276335860115,0.4464596920565524,0.25650663995921613,0.6427292292006109,0.4725432924147742,0.1349607343449692,0.18230554973672133,0.2809362660390815,0.16568664111612347,0.46876238654069696,-0.016668209515179763
Temporal_Sup_R,0.4895464566285005,0.5965579388523432,0.5293400099745124,1.0,-0.3528863745424453,0.5036501697329988,0.18704668147583,0.2646777606000088,0.524741079251932,0.3049269907113399,0.07909396469690289,0.5184127823509692,0.16315681073432634,0.6647732987453032,0.31004493936653776,-0.04671648251735814,0.6531102096835136,0.357257711924639,0.47131816760340783,0.6765458720982961,0.1759706821763118,0.43058322834799095,0.6384542762138091,0.5624374223495185,-0.10135849844751468,0.565283470600776,0.5981225690695201,0.41851724168120963,0.6373865820155957,0.7631023589996917,0.6508060331353688,0.1267144418063344,0.33740741774408034,0.41609878409417894,0.7355539048880486,0.5096537814822714,0.7706326902262739,0.8108857917441752,0.655141602823831,0.5357216608546002,0.08757753409865474,0.43291800058333785,0.4548223636649889,0.8429602635214568,0.43252032843490995
OFClat_L,-0.3281025435896079,-0.21715201154839017,-0.20017225324033855,-0.3528863745424453,1.0,0.07524410662503982,0.08183942013873909,0.0716492504664441,-0.3447736679668458,-0.07134353521483133,-0.24042866935437718,-0.43024724423898636,-0.07374549303164829,-0.5226375010394511,-0.350453058975935,0.022580494391109252,-0.44708829445528075,-0.176647742360607,-0.13989009727444884,-0.31163256033364745,-0.07309934319564312,0.24030715125824287,-0.35407365852705625,-0.1562515983969332,-0.008377432301899647,-0.1719665568620103,-0.19006335320252482,-0.019543667673118787,-0.3066192800920254,-0.3815591050460972,-0.5381406850532534,-0.08348684426613596,-0.08094466140913048,-0.15253444999216112,-0.4036260065957374,-0.5122836593583511,-0.33148330039573964,-0.227242696606841,-0.06489362833908174,-0.17445720583357097,0.17126542956875898,-0.3390771802978106,-0.18258609621040459,-0.22555954684894436,-0.2589922044694787
Heschl_R,0.19889088447858347,0.444679947810235,0.4043821963980487,0.5036501697329988,0.07524410662503982,1.0,0.04182461921102021,0.23678397786332944,0.18944549048777393,0.24432179487639774,-0.02076176840133788,0.2780163795130847,0.15943062225589316,0.1917525920932126,-0.10249014344233257,-0.0006524416706007756,0.19056336849004585,0.2779267514478763,0.3527941096179238,0.3709932547854239,0.15608265816419825,0.3044789650369157,0.3807449526582205,0.25013678886158025,0.021288830882471733,0.27611514072532195,0.4021483378936628,0.0630997705560042,0.20552259835992287,0.3066559152960696,0.21983718080065365,0.13739464050585143,0.012515481182472553,0.22765952359927605,0.3936039348765732,0.09783071647720762,0.20327815707318314,0.5739420466698831,0.5526845428970755,0.3818403217962434,0.10667848219989808,0.192772890145548,0.3039941322528916,0.4991242582950006,0.0056043037820342305
Cuneus_L,0.01308314471948483,0.08974099192233091,-0.20358856813361215,0.18704668147583,0.08183942013873909,0.04182461921102021,1.0,0.06377098272315111,0.0524780885849802,-0.030898593301898866,0.10600457402856402,-0.0984416072791878,-0.03887104774199791,0.3392683175930947,0.2331236747450013,-0.27763596939780805,0.23978434544751787,-0.3297949379402178,0.06748956651244069,0.446600596292776,0.3462594724879796,0.03577471011567882,0.1116474997154747,0.5459446059587102,0.009616789712382747,0.07025162509644801,-0.062132191727582255,0.49917389444662896,0.7222359221229632,0.35512734983729266,0.1966908286496621,0.019780382445480277,0.8879361992131737,0.020281725042165726,0.31990754328504034,-0.004906113732121363,0.38459510479025383,0.22590661002210272,0.28657712712533734,0.4158146387560983,0.10377857767769386,0.10985125867167692,0.18701227714831245,0.36429650754192344,0.791183386894232
Occipital_Inf_R,0.17767827444748693,0.20086930972993203,0.0910807741529821,0.2646777606000088,0.0716492504664441,0.23678397786332944,0.06377098272315111,1.0,0.3949028367486134,0.08465028438040856,0.21920512659553834,0.2070106760635837,0.060786909948128465,0.20061085474491636,0.13499851732669355,0.03092062403342668,0.2526244468159217,0.1048013919500762,0.17465655624260576,0.1934453931063536,0.22600381092262223,0.13382151718518526,0.20927656265102626,0.20305645735633313,-0.11562392500719204,0.13750921505933272,0.19678964977772598,0.14097112334027453,0.13350919346532814,0.18543027026127062,0.2922976970842952,0.11621607507067576,0.07973987457337439,0.19015440399273523,0.1993775740176034,0.17572929536447743,0.3625816785408347,0.2340987717454601,0.14386121892274323,0.2929731607128507,-0.042898674676661114,0.08788415039462506,0.2185428319835961,0.2606076918296458,0.13913174820554028
Temporal_Inf_R,0.6815703811758326,0.4364164166813866,0.25337754731098,0.524741079251932,-0.3447736679668458,0.18944549048777393,0.0524780885849802,0.3949028367486134,1.0,0.3334416683601061,0.4355394801471867,0.6804423829750063,0.17631357779836948,0.6250684694695609,0.6763643588109309,0.1623790386169842,0.5579614642910287,0.5221119769031617,0.3527452052487008,0.39851208978022323,0.18976762029199418,0.1580608904933645,0.4243069713934617,0.37384053830662156,-0.14443195795792313,0.5781277354218401,0.3707136274037873,0.3970956270009757,0.4068862491579835,0.48222815635362226,0.6502099545285545,0.1353192487368018,0.19528924743335607,0.5954055809304779,0.45287777407902075,0.3858272001687923,0.4946236571151521,0.5325617492966944,0.4975992991256743,0.3764846224475834,-0.14846898941157097,0.5425476200913311,0.3782207539509961,0.3923052253856055,0.4184665778518548
Red_N_R,0.5242366790604989,0.4276408797780997,0.31458288142397367,0.3049269907113399,-0.07134353521483133,0.24432179487639774,-0.030898593301898866,0.08465028438040856,0.3334416683601061,1.0,-0.2745111264356988,0.5520892833254946,-0.0029166956384099048,0.16333010040020188,0.14104120404568468,-0.11967896731103997,0.1906554551003165,0.3440023313123884,0.6716933271716066,0.18553808539653685,0.2553497957325696,0.19779729229966989,0.4014450286081151,0.14943604160948118,-0.2497774423414957,0.6192023654897084,0.28648832818056486,0.20536696843784524,0.1487158152562231,0.28160020802692054,0.12792564868995027,0.24064705871088538,-0.03390371506909646,0.738209203128432,0.16238039264039175,0.26822528478924323,0.12813186228682225,0.41272819705602815,0.5416288241875313,0.2573411294832585,0.0337257812060706,0.5059787046322947,0.515918121088947,0.2008288640900733,0.030288915189116264
