,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_R,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,N_Acc_L,Thal_MDm_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,ACC_sub_L,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,Raphe_M,Temporal_Mid_R,Frontal_Mid_2_R,Frontal_Sup_2_L,Thal_VPL_R,Temporal_Inf_L,Vermis_1_2,Thal_LP_R,Rolandic_Oper_R,Occipital_Sup_L,Thal_VL_R,Caudate_L,Parietal_Inf_R,Cerebellum_Crus1_R,Thal_VA_R,Frontal_Sup_Medial_L,SN_pc_R,Frontal_Med_Orb_R,Pallidum_L,Rectus_L,Cerebellum_6_R,ACC_sub_R,Postcentral_R,Cerebellum_10_L,Lingual_L,Red_N_L,Thal_VA_L,LC_R,Rectus_R,Frontal_Inf_Oper_R,Fusiform_L,VTA_L,Olfactory_L,Thal_PuI_L,Frontal_Sup_Medial_R,OFCmed_L,Thal_PuM_L,Temporal_Mid_L,Thal_VPL_L,Cingulate_Post_L,Temporal_Pole_Sup_R,Paracentral_Lobule_L,Cerebellum_Crus2_L,N_Acc_R,Hippocampus_L,Thal_MDl_L,Vermis_3,Cuneus_R,Thal_MDm_R,OFCmed_R
SN_pr_L,1.0,0.6441334165260264,0.4180093164848089,0.4895464566285005,-0.3281025435896079,0.19889088447858347,0.01308314471948483,0.17767827444748693,0.6815703811758326,0.5242366790604989,0.11707348494172239,0.8457342568948968,0.012448001756387382,0.47806022496219175,0.47261929924762314,0.07392573864711315,0.45819150677529513,0.6153960395723008,0.5386905742041386,0.37934346697405186,0.10379159364970464,0.27506762489122644,0.5395741049333898,0.2637594790558495,-0.19649505478534135,0.8261870117398102,0.5517514604432139,0.29680835958940277,0.4191617234806972,0.4791995901253542,0.5419784974304023,0.1710881687863599,0.13928457893375593,0.8078408137534563,0.4622503455176104,0.5422160793882884,0.2794180090152061,0.6356955938401404,0.666914099960494,0.4032247470614588,-0.10859028319621628,0.6792613091568422,0.3449428455230191,0.34942917182470157,0.3170239429297484,0.5736473129110219,0.6670908600807318,0.48981916727598757,0.20567370859759185,0.7446200650227188,0.6772197695021366,0.874795948822926,-0.048573112524646404,0.5128606763620731,0.21237988372968888,0.7201528205588777,-0.1281158158304578,0.46838773791089516,0.5213348899202217,0.43012831116609257,0.7996632601310848,0.6909355945598161,0.11586779926623492,0.3296200683257426,0.5169130392574782,0.7935523685432204,0.7538766844908485,0.5561809819117443,0.31284461322980817,0.6724792306948936,0.1439725508551361,0.397051821357447,0.2182326451467758,0.6621614173142506,0.5289902804218056,-0.290492281624263,0.44710525654090166,-0.029243399088375113,0.7171615359689394,0.8115483822815879,0.7738346115604127,0.7470073983612462,0.2586665920498019,0.616552426538144,0.20859365223509052
Thal_MDl_R,0.6441334165260264,1.0,0.4049779256004017,0.5965579388523432,-0.21715201154839017,0.444679947810235,0.08974099192233091,0.20086930972993203,0.4364164166813866,0.4276408797780997,0.08924613145516187,0.6568988182465328,0.08632043603421338,0.38856122345954996,0.1951261519039916,-0.010462167023947302,0.43419876176785654,0.3732069847331938,0.6296272806241634,0.5224321056130595,0.293255226593103,0.3737103746549536,0.6296327708663316,0.313446661879581,-0.16157478584617507,0.5922443651647061,0.5357430248825844,0.15362709248709197,0.4060970924823196,0.49002587658350377,0.46852168718620957,0.06688161022522553,0.08842704076497551,0.5211015216526741,0.5501199785791049,0.4171511405549059,0.2882658573029551,0.6824879822898255,0.6266369659795394,0.5492607161642485,0.06181180358949513,0.5148636409616952,0.5094564840224373,0.5278865766069919,0.2383065611213061,0.4620420620401006,0.5667567065832719,0.45534887269095997,0.24292816680120158,0.6100223423271574,0.6754036165715168,0.6517481868260506,-0.07865568650284943,0.4359554331941163,0.1711064184944611,0.4023101367137909,-0.14131085577982835,0.46338016626828143,0.45776705838118364,0.4519689994611898,0.6604340696541299,0.6234016605654052,0.17005734940264364,0.25311946909815064,0.62444149156027,0.42812267431121964,0.6176054480615021,0.2875706740262347,0.42363713588459606,0.6462407032204373,0.13359526273748282,0.4702115880919591,0.2513485288970021,0.6678128334101836,0.5771081474344822,-0.030629174779603842,0.4500512319789755,-0.08051029038450327,0.4322259998612193,0.5780187406780801,0.6542196696735004,0.6675547401851196,0.20125652235692254,0.7520343698313813,0.13009215290536913
OFCpost_R,0.4180093164848089,0.4049779256004017,1.0,0.5293400099745124,-0.20017225324033855,0.4043821963980487,-0.20358856813361215,0.0910807741529821,0.25337754731098,0.31458288142397367,-0.11137356601419787,0.5504420095665473,0.0663522195942285,0.34281700936893755,-0.052351722394942735,0.010414968757113683,0.3126630477953682,0.5382553762311005,0.3297854571214623,0.3637278390403844,-0.1460241622699545,0.497745953309773,0.5524276481543574,0.14464048106107813,-0.09910254968694499,0.44703402750955423,0.631141730773448,-0.06949014177561182,0.21851316451299785,0.16593277835720427,0.3483685754800631,0.09010174885067868,-0.18191882865076947,0.43193976924398986,0.4872276335860115,0.4464596920565524,0.25650663995921613,0.6427292292006109,0.4725432924147742,0.1349607343449692,0.18230554973672133,0.2809362660390815,0.16568664111612347,0.46876238654069696,-0.016668209515179763,0.30782092233321867,0.4005916444825609,0.1154371774838444,0.5651880164138765,0.5852276205040433,0.6344449530827088,0.4226480930200243,-0.0018127724826867777,0.39876098257178,-0.09740489861967434,0.27257288643835564,-0.06984759372820577,0.3545312835140313,0.5277931638667069,0.19767409766836225,0.40597893832037846,0.5278396358040749,-0.07365852092720489,0.3317954563799833,0.4767151989721485,0.25816285025852037,0.30325790785824125,0.6195846158127978,0.1286691934964978,0.626278313154693,0.24989810868606718,0.20902227027247006,-0.009349397466629035,0.4078860208317274,0.2584246696637316,0.3308416886134714,0.28607531203816555,-0.053454713892750985,0.6092633179527707,0.5006384068328078,0.41650919395974806,0.41809000085080283,0.07870610700518085,0.4415485902578518,0.41871940231575583
Temporal_Sup_R,0.4895464566285005,0.5965579388523432,0.5293400099745124,1.0,-0.3528863745424453,0.5036501697329988,0.18704668147583,0.2646777606000088,0.524741079251932,0.3049269907113399,0.07909396469690289,0.5184127823509692,0.16315681073432634,0.6647732987453032,0.31004493936653776,-0.04671648251735814,0.6531102096835136,0.357257711924639,0.47131816760340783,0.6765458720982961,0.1759706821763118,0.43058322834799095,0.6384542762138091,0.5624374223495185,-0.10135849844751468,0.565283470600776,0.5981225690695201,0.41851724168120963,0.6373865820155957,0.7631023589996917,0.6508060331353688,0.1267144418063344,0.33740741774408034,0.41609878409417894,0.7355539048880486,0.5096537814822714,0.7706326902262739,0.8108857917441752,0.655141602823831,0.5357216608546002,0.08757753409865474,0.43291800058333785,0.4548223636649889,0.8429602635214568,0.43252032843490995,0.4167321772686534,0.486748933711083,0.6377847274754642,0.44352033039585914,0.5280085085184213,0.6690886543769259,0.5474386496762694,-0.053064882193566205,0.41194598940365623,0.004714957541938964,0.5673186147382383,-0.06361634187013704,0.7519172336570001,0.44885971410517284,0.5277149807020943,0.5107266328483848,0.5502194870932227,0.03875307229056134,0.37663988195196296,0.8087778734563259,0.40885922020990667,0.48012243012764905,0.31066999280482727,0.2923547718414024,0.628275910823356,0.3547009767853813,0.4893488718556465,0.23883916754904227,0.6204354429927081,0.6026616517721105,0.23934874726962999,0.6560068078799856,-0.09923983923857674,0.44148455433450534,0.5067177524483781,0.5642542969712918,0.7373883276413228,0.26736062546174205,0.559220522704667,0.18606092158887344
OFClat_L,-0.3281025435896079,-0.21715201154839017,-0.20017225324033855,-0.3528863745424453,1.0,0.07524410662503982,0.08183942013873909,0.0716492504664441,-0.3447736679668458,-0.07134353521483133,-0.24042866935437718,-0.43024724423898636,-0.07374549303164829,-0.5226375010394511,-0.350453058975935,0.022580494391109252,-0.44708829445528075,-0.176647742360607,-0.13989009727444884,-0.31163256033364745,-0.07309934319564312,0.24030715125824287,-0.35407365852705625,-0.1562515983969332,-0.008377432301899647,-0.1719665568620103,-0.19006335320252482,-0.019543667673118787,-0.3066192800920254,-0.3815591050460972,-0.5381406850532534,-0.08348684426613596,-0.08094466140913048,-0.15253444999216112,-0.4036260065957374,-0.5122836593583511,-0.33148330039573964,-0.227242696606841,-0.06489362833908174,-0.17445720583357097,0.17126542956875898,-0.3390771802978106,-0.18258609621040459,-0.22555954684894436,-0.2589922044694787,-0.26866303606220954,-0.2572859301294829,-0.22921033119771195,-0.14332243056873784,-0.38970326719752657,-0.34756427973820253,-0.28867969107330793,-0.0469092300439614,-0.12430410243473938,-0.16316123939474275,-0.35566760245731677,-0.08325121195255974,-0.37814539451169277,-0.11188933854628044,-0.2265253827174142,-0.24829005795038747,-0.29701781673239763,0.11549971737332895,-0.19896007593845666,-0.38793262288846697,-0.26130257637537163,-0.16210759113911788,-0.2501646506959802,-0.13229591508620733,-0.27693240792728674,-0.24630630776682025,-0.26452646140483865,-0.1842326805471098,-0.3436513956674741,-0.39042777844983473,0.16311438664764472,-0.3848603286872362,0.05027200963271421,-0.30174814591231763,-0.23266041380972544,-0.38247152357734143,-0.3061624564547769,-0.11798542857009434,-0.2150358478751664,0.0047645476613560524
Heschl_R,0.19889088447858347,0.444679947810235,0.4043821963980487,0.5036501697329988,0.07524410662503982,1.0,0.04182461921102021,0.23678397786332944,0.18944549048777393,0.24432179487639774,-0.02076176840133788,0.2780163795130847,0.15943062225589316,0.1917525920932126,-0.10249014344233257,-0.0006524416706007756,0.19056336849004585,0.2779267514478763,0.3527941096179238,0.3709932547854239,0.15608265816419825,0.3044789650369157,0.3807449526582205,0.25013678886158025,0.021288830882471733,0.27611514072532195,0.4021483378936628,0.0630997705560042,0.20552259835992287,0.3066559152960696,0.21983718080065365,0.13739464050585143,0.012515481182472553,0.22765952359927605,0.3936039348765732,0.09783071647720762,0.20327815707318314,0.5739420466698831,0.5526845428970755,0.3818403217962434,0.10667848219989808,0.192772890145548,0.3039941322528916,0.4991242582950006,0.0056043037820342305,0.19495952493378418,0.3056492106775177,0.25972391446581367,0.36403692601558696,0.17599050966875926,0.5006992097614152,0.3039444773696016,-0.05634544587022327,0.33835150460807345,0.07321695940511556,0.14191105547880287,-0.2509545926616786,0.25922901633061357,0.3648587056345549,0.23952975979775576,0.29455952877959285,0.27974532124414475,0.21439280896889967,0.21358437098676647,0.46150367416784094,0.17602363055653272,0.26657911952481295,0.13115044312959648,0.2459008861014087,0.5443776278538535,0.13797670253392574,0.19599345462067186,0.10795726551221668,0.34231896535339457,0.31329779374482497,0.19084711745009555,0.24313123885487806,0.05672787736228907,0.196662156755975,0.3235173026396579,0.26378887338441553,0.36275162041027925,0.04004460025409222,0.39308228735225664,0.1664313720584572
Cuneus_L,0.01308314471948483,0.08974099192233091,-0.20358856813361215,0.18704668147583,0.08183942013873909,0.04182461921102021,1.0,0.06377098272315111,0.0524780885849802,-0.030898593301898866,0.10600457402856402,-0.0984416072791878,-0.03887104774199791,0.3392683175930947,0.2331236747450013,-0.27763596939780805,0.23978434544751787,-0.3297949379402178,0.06748956651244069,0.446600596292776,0.3462594724879796,0.03577471011567882,0.1116474997154747,0.5459446059587102,0.009616789712382747,0.07025162509644801,-0.062132191727582255,0.49917389444662896,0.7222359221229632,0.35512734983729266,0.1966908286496621,0.019780382445480277,0.8879361992131737,0.020281725042165726,0.31990754328504034,-0.004906113732121363,0.38459510479025383,0.22590661002210272,0.28657712712533734,0.4158146387560983,0.10377857767769386,0.10985125867167692,0.18701227714831245,0.36429650754192344,0.791183386894232,-0.06752495919210612,-0.046051233073909806,0.4259406605746946,-0.10805103023949858,-0.19156383072934274,0.10116207104391882,0.01231643294608235,-0.08098945833682254,0.002659601343149073,0.09333369260366682,0.1329126452820272,0.0036107556281666613,0.5107718377207642,-0.2159072774434308,0.6320810405344301,-0.06171813793999054,-0.08775570195091115,-0.05562397322979398,0.15177896054671666,0.3117526894795386,0.12325585669530241,-0.016136215203225942,-0.304299064006493,0.33971256175039244,0.10993244816448344,0.18514740054113776,0.6097724978893102,0.39501086318484385,0.234345402854538,0.40469636340103765,0.06641956599147981,0.47435699537878284,0.32990959652723967,-0.2174745817222229,-0.020935749139612048,0.06034721183914509,0.2051640627411811,0.5434427546467849,-0.0026654042760554677,-0.10518332618011342
Occipital_Inf_R,0.17767827444748693,0.20086930972993203,0.0910807741529821,0.2646777606000088,0.0716492504664441,0.23678397786332944,0.06377098272315111,1.0,0.3949028367486134,0.08465028438040856,0.21920512659553834,0.2070106760635837,0.060786909948128465,0.20061085474491636,0.13499851732669355,0.03092062403342668,0.2526244468159217,0.1048013919500762,0.17465655624260576,0.1934453931063536,0.22600381092262223,0.13382151718518526,0.20927656265102626,0.20305645735633313,-0.11562392500719204,0.13750921505933272,0.19678964977772598,0.14097112334027453,0.13350919346532814,0.18543027026127062,0.2922976970842952,0.11621607507067576,0.07973987457337439,0.19015440399273523,0.1993775740176034,0.17572929536447743,0.3625816785408347,0.2340987717454601,0.14386121892274323,0.2929731607128507,-0.042898674676661114,0.08788415039462506,0.2185428319835961,0.2606076918296458,0.13913174820554028,0.1808941196351268,0.24246661338302258,0.10996857692496674,0.27492584183019414,0.10901377032410876,0.2043471247853544,0.16109457773482216,0.0050435847733037815,0.22247162536737333,0.24111471667847068,0.2791086387680921,-0.15965056141381107,0.15939479435183385,0.08492926222655119,0.14022263202321944,0.1561147884091373,0.11874712106020976,-0.038207361370651186,0.19552829967353533,0.2946173270340289,0.20652257773925614,0.1698606306655501,0.05327012651558582,0.14176079204339415,0.18297274383949705,0.0566583504059043,0.07354961403181984,0.15092138740232114,0.21183520200444325,0.2084293166400113,0.16635573078929597,0.2042241148788706,-0.10624774604148857,0.17956880434509415,0.15260675445769528,0.25737558170733416,0.21845494602623075,-0.03266065920777914,0.2645176965952258,0.08585625350814834
Temporal_Inf_R,0.6815703811758326,0.4364164166813866,0.25337754731098,0.524741079251932,-0.3447736679668458,0.18944549048777393,0.0524780885849802,0.3949028367486134,1.0,0.3334416683601061,0.4355394801471867,0.6804423829750063,0.17631357779836948,0.6250684694695609,0.6763643588109309,0.1623790386169842,0.5579614642910287,0.5221119769031617,0.3527452052487008,0.39851208978022323,0.18976762029199418,0.1580608904933645,0.4243069713934617,0.37384053830662156,-0.14443195795792313,0.5781277354218401,0.3707136274037873,0.3970956270009757,0.4068862491579835,0.48222815635362226,0.6502099545285545,0.1353192487368018,0.19528924743335607,0.5954055809304779,0.45287777407902075,0.3858272001687923,0.4946236571151521,0.5325617492966944,0.4975992991256743,0.3764846224475834,-0.14846898941157097,0.5425476200913311,0.3782207539509961,0.3923052253856055,0.4184665778518548,0.43607096535281725,0.5058963913711446,0.49251201225773705,0.28240362984416195,0.5616725068842965,0.5055516031467064,0.6255498875753027,0.12542738432978287,0.42083765842932325,0.2988989000850877,0.8380190400290687,-0.11175528857192317,0.49286846261004474,0.25527608184527556,0.4137145378380815,0.5929343232097081,0.49926908814817533,0.16145961361211497,0.3196859757029891,0.5267012816086848,0.7807303541355353,0.5438167252451495,0.38599159814554146,0.22390870880061692,0.4630831722632956,0.19172449116792423,0.26514851291409347,0.3591503339984372,0.526983549915453,0.36613749057664324,-0.1881296008593193,0.5161852805353818,0.029435979816161088,0.6721610149733006,0.6588650932996211,0.6489138034681194,0.6384936867988965,0.1215575902615099,0.4923515732968147,0.03484101179596289
Red_N_R,0.5242366790604989,0.4276408797780997,0.31458288142397367,0.3049269907113399,-0.07134353521483133,0.24432179487639774,-0.030898593301898866,0.08465028438040856,0.3334416683601061,1.0,-0.2745111264356988,0.5520892833254946,-0.0029166956384099048,0.16333010040020188,0.14104120404568468,-0.11967896731103997,0.1906554551003165,0.3440023313123884,0.6716933271716066,0.18553808539653685,0.2553497957325696,0.19779729229966989,0.4014450286081151,0.14943604160948118,-0.2497774423414957,0.6192023654897084,0.28648832818056486,0.20536696843784524,0.1487158152562231,0.28160020802692054,0.12792564868995027,0.24064705871088538,-0.03390371506909646,0.738209203128432,0.16238039264039175,0.26822528478924323,0.12813186228682225,0.41272819705602815,0.5416288241875313,0.2573411294832585,0.0337257812060706,0.5059787046322947,0.515918121088947,0.2008288640900733,0.030288915189116264,0.7294267302943462,0.6394959652925093,0.2939054395012103,0.07406817066632071,0.4892579276519374,0.500980629874471,0.43639088089444644,-0.06536049658889488,0.45906280499150864,-0.14620869125608799,0.4484765114833365,-0.32171169995899107,0.201455697001788,0.2761370164527973,0.1505502590188572,0.45011628826787914,0.6058004061823676,-0.1010571921308687,0.0017359406447711061,0.3136521056480767,0.4736004310625483,0.3927465425568683,0.32577710407220134,0.027153428040478277,0.4843392730387582,-0.1988059170376538,0.2599316460798525,0.016551511895259163,0.4067777760477764,0.26119610802866927,-0.2876861338024359,0.2614800784566987,0.06004429838056206,0.5438014124101448,0.42633578186367277,0.5056741463855482,0.5423102642675933,0.13791320994233272,0.47919435706393215,0.21628230433609383
