,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_R,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,N_Acc_L,Thal_MDm_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,ACC_sub_L,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,Raphe_M,Temporal_Mid_R,Frontal_Mid_2_R,Frontal_Sup_2_L,Thal_VPL_R,Temporal_Inf_L,Vermis_1_2,Thal_LP_R,Rolandic_Oper_R,Occipital_Sup_L
SN_pr_L,1.0,-0.05349683784807368,-0.0034798170505444645,0.03554950996715663,-0.024646843820300895,0.0026736832619415115,0.2946796068071491,0.13926504173087118,0.09551202075295555,-0.3141013481610994,0.14989833461398994,0.07086908132927879,0.08963638016671271,0.22969947286432,-0.021376889992863097,-0.07962740456275001,-0.2274320842516533,-0.6062799618887624,-0.18981402940713346,-0.14770198986312966,0.045473376183512666,-0.16555270983785672,-0.13765713962174184,0.18500840366430038,0.09081881732970279,-0.2491648001522413,-0.47837361238575427,0.3304815982151388,0.408461517073295,0.3621396292464627,0.27147306086943807,0.2793313802932416,0.3584902141267164,-0.11718237303176579,0.34575072021219105,0.1220389594516103,0.42071708624335385,-0.15444910702214995,-0.1067377685434308,0.5341224784934444,0.05507462460158491,0.15702026552956425,-0.14964801229681182,-0.10909331602356238,0.4132305275816824
Thal_MDl_R,-0.05349683784807368,1.0,0.39032060289753795,0.09626320112362981,0.23526246293545558,0.45321855220605317,-0.21898485023013883,0.028835599503170474,0.18270395039521933,0.406122475534447,-0.22695525550254397,-0.18837703509549777,0.09688853766188431,-0.01099129150102601,-0.0814025903378807,0.3749387536664094,0.06701647795298306,0.12676293886245676,0.29150633738676074,0.06820709138052969,-0.256335299246158,0.08186839727743556,0.20252180418818364,-0.0629888099313138,-0.09093654443848558,0.20458059913568383,0.00878836633710664,-0.1953575770357594,-0.17786667445281754,-0.16085422247559367,-0.1519246327368759,0.05929290253682626,-0.25972585813910803,0.30065151126305967,-0.03405778558476902,0.19193992684204064,0.03707152672031767,-0.08100758934000706,0.05350498624482656,0.060789684497687894,-0.04072778200150745,-0.03232080390889593,-0.12073075044271141,0.05377408732787507,-0.03426546930334551
OFCpost_R,-0.0034798170505444645,0.39032060289753795,1.0,0.30880945008277877,0.16408112818798842,0.6945276298769031,-0.5461019547916139,0.30731557625393163,0.38991451733274046,0.270887174363893,-0.022346083097241988,-0.39027474777055904,-0.1594552676233851,0.09530106371498855,-0.26462463594889435,0.7078103513343441,-0.42570015303380365,0.34042085033626995,-0.13321618641383723,-0.28476800684004633,-0.5895454466364206,0.5137300656769039,-0.14317526833911376,-0.02770028214629427,0.3532957726229716,0.33237209085759895,-0.06543828468038389,0.05413578562225108,-0.03661993111643751,-0.13149854364421817,-0.0940525044826521,0.2718777992575621,-0.0965180294651554,-0.10660499632271767,-0.048181571869646174,-0.17196867169798358,0.16657645045310193,0.19286997387611893,0.21892181289896612,-0.2271639676229082,-0.2304529827604787,-0.43758354704946,-0.34266733341210137,0.3713270358303181,0.0618030696602832
Temporal_Sup_R,0.03554950996715663,0.09626320112362981,0.30880945008277877,1.0,-0.5284782284982568,0.5420776403724793,-0.3215613280978938,0.6625781830714768,0.6864197286932762,0.10324369920069741,0.15922216615791016,-0.05937716772389964,0.20655009107467645,0.2084728029203682,0.08748217823625602,0.532319709617081,-0.4491404457467082,0.38372925932880747,-0.2787811103394277,-0.1682722263432235,-0.5970883940733878,0.6377678432318865,-0.4423732964390999,-0.0053835681807956545,0.37885036662978444,0.6664243401445561,0.3138061627111961,0.08891463910278999,0.18242246266108209,0.42035144206464475,0.5229888015390348,0.07365413664999046,0.4750330645076891,-0.45880360352425903,-0.08784492451261539,-0.4673936820685594,0.7177876863114284,0.21824826675518058,0.08196391183926517,0.12427874957069832,0.02036546216264704,-0.36274733217564903,0.060132089229811544,0.8651976143158622,-0.03199785215163708
OFClat_L,-0.024646843820300895,0.23526246293545558,0.16408112818798842,-0.5284782284982568,1.0,0.005441860702438226,0.2007630331687875,-0.6843975312473138,-0.5893052646252782,0.1831264399436008,-0.3490444178717238,-0.12202046980624524,0.22017337615614915,-0.06404974375999067,0.12583848772353906,-0.2916427899549102,0.48524567270080216,-0.11252065716109351,0.5066374160013128,0.23388801624264127,0.3576308336753515,-0.3638793953765616,0.7491388299944292,-0.28026537635749366,-0.4428794663905323,-0.4486767929944912,-0.3536243330579547,-0.4131563349091875,-0.264007432529903,-0.2817118346004503,-0.387972441621536,-0.13717138335364654,-0.6694216048608037,0.7164952756577788,-0.010314441047454544,0.6463946115761596,-0.419166230099579,-0.04496994901160085,0.01842680326268405,0.09205956912129981,-0.3504546605514686,0.44544449085036586,-0.18166712080737193,-0.5037372543046558,-0.20197748813041203
Heschl_R,0.0026736832619415115,0.45321855220605317,0.6945276298769031,0.5420776403724793,0.005441860702438226,1.0,-0.40475372947442234,0.3621659459215192,0.4693908914039972,0.35306802893958944,-0.06345943323411293,-0.22329863809040434,0.009462741736691782,0.2291621356760696,-0.16611298369647973,0.7057879030503011,-0.34183368588743507,0.29610114170688384,0.05162359166703481,-0.15219351393297678,-0.6088338211842187,0.4342963365132066,-0.1288422831454725,0.014060954524637799,0.23423172664955424,0.5475915106227516,0.011064406271772341,0.04181208096662052,0.0792785462398217,0.11136273496820813,0.027683503587418678,-0.04256704358857547,-0.020198061096825173,-0.06392488683068541,0.10595793981470922,-0.15324108671285677,0.37473598005532016,0.26759285661391957,0.1526547427009814,0.08007616749095443,-0.19425046302250448,-0.38037733288237635,-0.1832484110202442,0.49436480567218083,0.03908874304089277
Cuneus_L,0.2946796068071491,-0.21898485023013883,-0.5461019547916139,-0.3215613280978938,0.2007630331687875,-0.40475372947442234,1.0,-0.46880483283148533,-0.4096452458088571,-0.31194807131004976,-0.18468115437454913,0.22955366396741,0.1847218144992448,0.14424544366652098,0.32754657794604874,-0.6453667335783172,0.48173830221855934,-0.6797141842226252,0.24235240514698714,0.18195738070516398,0.510267216245492,-0.7277151985721715,0.3291167234767157,0.091437509008684,-0.46421972956513385,-0.5736149134198808,-0.44256368865190854,0.18035510077587955,0.44886651906015995,0.35535428215030596,0.1939009732033989,-0.2325181527329069,0.1427536402416133,0.36786095866378726,0.35324032405324246,0.40282252090429965,0.06863806127443063,-0.22119202030625884,-0.40421676745807883,0.534414455418882,0.16208912429874178,0.6663154632640302,0.005796547426855576,-0.5749943832045341,0.20067349704999815
Occipital_Inf_R,0.13926504173087118,0.028835599503170474,0.30731557625393163,0.6625781830714768,-0.6843975312473138,0.3621659459215192,-0.46880483283148533,1.0,0.764140459061141,0.028762791147125013,0.44767713881966376,-0.030966284959573747,-0.21230274661127538,3.8611313472057455e-05,-0.17895865531856997,0.5771626656861356,-0.6713269716492354,0.2583749148085736,-0.46659249838143463,-0.26923973304150556,-0.5860849795149919,0.6997499305894355,-0.6935956399070561,0.3042575855553453,0.5546982167734151,0.578496787816279,0.3551574128597305,0.3725213021605152,0.19813327745923695,0.08981788969249453,0.377016877663987,0.3244673983900227,0.6363437939232428,-0.7556092233897914,-0.09718209286052583,-0.616441428398942,0.5423888374218748,0.12216311615650538,0.16768691537318045,-0.09069460476264592,0.15385357012674142,-0.5958284653617006,0.038695191302525106,0.6981117352357967,0.3121624047466751
Temporal_Inf_R,0.09551202075295555,0.18270395039521933,0.38991451733274046,0.6864197286932762,-0.5893052646252782,0.4693908914039972,-0.4096452458088571,0.764140459061141,1.0,0.14275169311900016,0.3948587096301992,-0.05080660469572777,-0.178879634963488,0.22836965477809865,-0.3200885940751571,0.761077952046648,-0.5916214918484443,0.3044471546454902,-0.37986625346157715,-0.17707636022506418,-0.7428391758035304,0.6137943292167094,-0.5693666620794033,0.34601168219951944,0.6543936866771138,0.7202938383016161,0.2599441853366785,0.44550673061666257,0.35350494840980523,0.24866732129276303,0.3943337292064516,0.21517764080239027,0.5277022224364774,-0.6403791068108319,0.05364313038768998,-0.6419637198676579,0.6502960265406256,0.2710796413497456,0.28960723667082966,0.006269396516188481,-0.001592221619184239,-0.6261653774237095,-0.0390714892953148,0.619104999319881,0.11306483100093721
Red_N_R,-0.3141013481610994,0.406122475534447,0.270887174363893,0.10324369920069741,0.1831264399436008,0.35306802893958944,-0.31194807131004976,0.028762791147125013,0.14275169311900016,1.0,-0.1416539672690041,-0.13940160434978655,0.027927972649988433,0.1701966118932075,-0.08535984627299592,0.26854700998976033,0.0829801002690574,0.37883697080842504,0.20840285530572938,0.2618721710258492,-0.22428099127188833,0.189587489401772,0.15479422277678556,0.0802085238695287,-0.01637997062998247,0.3645554698495058,0.30365717027038824,-0.13507023642744184,-0.1026860572057421,-0.09787774690161903,-0.2983822506270303,-0.1678083534683363,-0.35883381314895013,0.15087833810054183,0.13079264228913115,0.045080446736834714,-0.11138333168979345,0.32262476637259535,0.3525232694339395,-0.1500954181578931,-0.20577530693049081,-0.18738214513783844,-0.15851763736299368,0.14786260443685903,-0.25122338959645923
