,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_R,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,N_Acc_L,Thal_MDm_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7,Hippocampus_R,Cerebellum_10_R,Parietal_Sup_L,Precuneus_L,SupraMarginal_R,Vermis_6,ACC_sub_L,Occipital_Sup_R,ParaHippocampal_L,Supp_Motor_Area_L,Raphe_M,Temporal_Mid_R,Frontal_Mid_2_R,Frontal_Sup_2_L,Thal_VPL_R,Temporal_Inf_L,Vermis_1_2,Thal_LP_R,Rolandic_Oper_R,Occipital_Sup_L,Thal_VL_R,Caudate_L,Parietal_Inf_R,Cerebellum_Crus1_R,Thal_VA_R,Frontal_Sup_Medial_L,SN_pc_R,Frontal_Med_Orb_R,Pallidum_L,Rectus_L,Cerebellum_6_R,ACC_sub_R,Postcentral_R,Cerebellum_10_L,Lingual_L,Red_N_L,Thal_VA_L,LC_R,Rectus_R,Frontal_Inf_Oper_R,Fusiform_L,VTA_L,Olfactory_L,Thal_PuI_L,Frontal_Sup_Medial_R,OFCmed_L,Thal_PuM_L,Temporal_Mid_L,Thal_VPL_L,Cingulate_Post_L,Temporal_Pole_Sup_R,Paracentral_Lobule_L,Cerebellum_Crus2_L,N_Acc_R,Hippocampus_L,Thal_MDl_L,Vermis_3,Cuneus_R,Thal_MDm_R,OFCmed_R,Thal_AV_R,Temporal_Pole_Sup_L,Thal_MGN_R,Calcarine_L,Occipital_Mid_L,Cerebellum_7b_R,ParaHippocampal_R,Thal_PuL_L,Supp_Motor_Area_R,Parietal_Sup_R
SN_pr_L,1.0,-0.05349683784807368,-0.0034798170505444645,0.03554950996715663,-0.024646843820300895,0.0026736832619415115,0.2946796068071491,0.13926504173087118,0.09551202075295555,-0.3141013481610994,0.14989833461398994,0.07086908132927879,0.08963638016671271,0.22969947286432,-0.021376889992863097,-0.07962740456275001,-0.2274320842516533,-0.6062799618887624,-0.18981402940713346,-0.14770198986312966,0.045473376183512666,-0.16555270983785672,-0.13765713962174184,0.18500840366430038,0.09081881732970279,-0.2491648001522413,-0.47837361238575427,0.3304815982151388,0.408461517073295,0.3621396292464627,0.27147306086943807,0.2793313802932416,0.3584902141267164,-0.11718237303176579,0.34575072021219105,0.1220389594516103,0.42071708624335385,-0.15444910702214995,-0.1067377685434308,0.5341224784934444,0.05507462460158491,0.15702026552956425,-0.14964801229681182,-0.10909331602356238,0.4132305275816824,-0.3477540333364129,-0.33530190657613307,0.4250703390611331,0.4214411094261216,-0.26389905562419974,-0.08867952270758801,-0.29243279894687957,0.15101895839751228,-0.1126573673990831,-0.3089661416035774,0.3014637980254156,0.06856983836296003,0.1491541838819344,-0.006341582968998728,-0.08121452148906297,0.10289408447317415,-0.05944268650603847,-0.02774186068667681,-0.22544425180251754,0.2650961296971131,-0.21850383299158554,-0.20570853710423276,-0.19006323144528306,0.3192641860590216,-0.13892784806246664,-0.11419407965651726,-0.14815113774020416,-0.027757375027500062,0.3990477896914415,0.12870684577322342,0.34109120026895545,-0.15097533482216716,-0.04466474451679602,-0.4595375991440105,-0.5705468602045226,0.42943079960940445,0.010025875042707135,0.5333167548456884,-0.1942837363913161,-0.09727896323266333,-0.3456079909980414,0.15988085088483175,0.26180282824502676,0.2620040467494046,0.3668921211028162,0.21645517572900005,-0.17920476592926823,0.4865182010569367,0.16975649021486292,0.3471815162465921
Thal_MDl_R,-0.05349683784807368,1.0,0.39032060289753795,0.09626320112362981,0.23526246293545558,0.45321855220605317,-0.21898485023013883,0.028835599503170474,0.18270395039521933,0.406122475534447,-0.22695525550254397,-0.18837703509549777,0.09688853766188431,-0.01099129150102601,-0.0814025903378807,0.3749387536664094,0.06701647795298306,0.12676293886245676,0.29150633738676074,0.06820709138052969,-0.256335299246158,0.08186839727743556,0.20252180418818364,-0.0629888099313138,-0.09093654443848558,0.20458059913568383,0.00878836633710664,-0.1953575770357594,-0.17786667445281754,-0.16085422247559367,-0.1519246327368759,0.05929290253682626,-0.25972585813910803,0.30065151126305967,-0.03405778558476902,0.19193992684204064,0.03707152672031767,-0.08100758934000706,0.05350498624482656,0.060789684497687894,-0.04072778200150745,-0.03232080390889593,-0.12073075044271141,0.05377408732787507,-0.03426546930334551,0.5088170213808776,0.23337762895519862,-0.09855224771612227,-0.09131092934282874,0.3915811291711362,-0.03152350246510109,0.20572939313680172,-0.030939125642389514,0.2056254585674435,-0.0015221015773368546,0.1397579982363334,0.1088134883055156,0.06523093535720463,-0.17887422847674728,0.08787288143307967,0.17657854315164173,0.37295785545302024,-0.36099345282668405,-0.15836115384179664,-0.247435781575021,-0.0889230385366996,0.3296373385121794,-0.36432807324332195,0.33161896904623717,-0.2431046155780802,0.07693468789315669,0.2849429945922059,-0.13237882752370975,0.24203176731066697,-0.12595136908141275,0.03583733107098517,0.017943376884378016,-0.08752510106244354,0.1621476082433666,0.273567032378078,0.27775245957069117,0.20640788864659693,-0.185517304402333,0.5332178524889267,0.32565043559146933,0.536437724888576,-0.14887544981200457,0.40498843686336156,-0.1197002700016934,-0.1041468755209024,-0.09329102279460962,0.3720676124160481,0.14541854349420955,-0.04465994373311342,-0.15060185342486293
OFCpost_R,-0.0034798170505444645,0.39032060289753795,1.0,0.30880945008277877,0.16408112818798842,0.6945276298769031,-0.5461019547916139,0.30731557625393163,0.38991451733274046,0.270887174363893,-0.022346083097241988,-0.39027474777055904,-0.1594552676233851,0.09530106371498855,-0.26462463594889435,0.7078103513343441,-0.42570015303380365,0.34042085033626995,-0.13321618641383723,-0.28476800684004633,-0.5895454466364206,0.5137300656769039,-0.14317526833911376,-0.02770028214629427,0.3532957726229716,0.33237209085759895,-0.06543828468038389,0.05413578562225108,-0.03661993111643751,-0.13149854364421817,-0.0940525044826521,0.2718777992575621,-0.0965180294651554,-0.10660499632271767,-0.048181571869646174,-0.17196867169798358,0.16657645045310193,0.19286997387611893,0.21892181289896612,-0.2271639676229082,-0.2304529827604787,-0.43758354704946,-0.34266733341210137,0.3713270358303181,0.0618030696602832,0.26357333124962856,0.2742108820854893,-0.13235699282882696,0.1292548676118246,0.5623060887525672,0.22772790176436164,0.3153907467500006,0.2993684340147813,-0.21725263222692132,0.12596392625190989,-0.03320867931124716,0.2055790014117044,0.09928774523689227,-0.039863184790046864,-0.34976432296860843,-0.11168615191566915,0.06609296359275789,-0.5659151054786178,-0.17936691956164452,-0.18982666506887852,-0.19882738591056426,0.25509147973112345,-0.26080683482931327,0.36505415166746585,0.06918461449862855,0.5002083889875923,-0.10005289129127104,-0.4561264063505463,-0.146636393396929,-0.2395519877478722,0.3964574708577956,-0.25567968923800083,-0.4333287690600715,0.4725554759697635,0.004641345535760877,-0.02296772493448069,-0.26688932409584887,-0.36593799884430145,0.07452187964789579,0.40088637421601164,0.5774957362468007,-0.09965267772148037,0.3646529755202639,-0.46508912517510115,0.1422870359124308,-0.3490380145406692,0.5124310681905448,0.036678055012300204,-0.010774867242850199,-0.03534902442741872
Temporal_Sup_R,0.03554950996715663,0.09626320112362981,0.30880945008277877,1.0,-0.5284782284982568,0.5420776403724793,-0.3215613280978938,0.6625781830714768,0.6864197286932762,0.10324369920069741,0.15922216615791016,-0.05937716772389964,0.20655009107467645,0.2084728029203682,0.08748217823625602,0.532319709617081,-0.4491404457467082,0.38372925932880747,-0.2787811103394277,-0.1682722263432235,-0.5970883940733878,0.6377678432318865,-0.4423732964390999,-0.0053835681807956545,0.37885036662978444,0.6664243401445561,0.3138061627111961,0.08891463910278999,0.18242246266108209,0.42035144206464475,0.5229888015390348,0.07365413664999046,0.4750330645076891,-0.45880360352425903,-0.08784492451261539,-0.4673936820685594,0.7177876863114284,0.21824826675518058,0.08196391183926517,0.12427874957069832,0.02036546216264704,-0.36274733217564903,0.060132089229811544,0.8651976143158622,-0.03199785215163708,0.41331539194449257,0.4200318414307965,0.029237067092307684,0.5125379383465098,0.39416978814160364,0.038491899918731046,0.47251014956841814,0.6679917395043584,-0.3768830604367404,0.4874026343872464,0.39358086934171144,0.01441980696631323,0.3889246268132585,0.00968076669754382,0.035044552639315815,-0.3670351999535281,0.015438521629610772,-0.2248231781548865,0.37592430456383435,0.30913284856258416,-0.4370822538515995,0.14341223982128118,0.4432829389662497,-0.09411240615837954,0.1390693250411008,0.5951772227203985,0.12116160732536714,-0.5060442065228462,-0.310048757401162,0.10672451712107105,0.5139237239368659,-0.04360624266612921,-0.6139757025506393,0.37475792951833764,-0.24238080402631776,-0.33155341336658445,-0.3001711195734148,-0.1594019967251431,0.08690194149413547,0.1441234764339201,0.040558318918371465,0.5026804425861755,0.01564966761018055,-0.3070500914928825,0.11324489707785067,0.18049344395466316,0.698071724028793,-0.3027333665930993,-0.027310687849123483,0.05962841037264822
OFClat_L,-0.024646843820300895,0.23526246293545558,0.16408112818798842,-0.5284782284982568,1.0,0.005441860702438226,0.2007630331687875,-0.6843975312473138,-0.5893052646252782,0.1831264399436008,-0.3490444178717238,-0.12202046980624524,0.22017337615614915,-0.06404974375999067,0.12583848772353906,-0.2916427899549102,0.48524567270080216,-0.11252065716109351,0.5066374160013128,0.23388801624264127,0.3576308336753515,-0.3638793953765616,0.7491388299944292,-0.28026537635749366,-0.4428794663905323,-0.4486767929944912,-0.3536243330579547,-0.4131563349091875,-0.264007432529903,-0.2817118346004503,-0.387972441621536,-0.13717138335364654,-0.6694216048608037,0.7164952756577788,-0.010314441047454544,0.6463946115761596,-0.419166230099579,-0.04496994901160085,0.01842680326268405,0.09205956912129981,-0.3504546605514686,0.44544449085036586,-0.18166712080737193,-0.5037372543046558,-0.20197748813041203,-0.07466697474474554,-0.17768971051996582,-0.10470519978775866,-0.4036037199332741,0.04034290944608194,0.09751836314485376,-0.2578545074024735,-0.6547552071335199,0.621680341535496,-0.5381405335261523,0.018935903712895417,-0.11234057760676024,-0.193432704098506,-0.22312416176837302,0.18038091853670044,0.505210523376914,0.37349056339594566,0.2552587544164187,-0.540478948350232,-0.16265510060907262,0.3988274766090579,0.11719801713107637,-0.5839414663152092,0.2782968549781253,-0.060477359441101546,-0.5312174269351783,0.2363242615146505,0.31170110387994615,0.47143832801597896,0.06918730273378092,-0.2572192066687522,0.34194104938779274,0.6363028303392169,0.043300621528865234,0.32845485162525934,0.4101152663209915,0.6019265020727501,-0.0314847906462565,0.2271540971543499,-0.013047159877946855,0.24443142073900362,-0.4278277292162978,0.5143869928383284,0.2948423086215838,-0.1432779713672186,-0.17670841571499846,-0.40860756676695725,0.4387139738210151,0.15674566264135908,-0.27092856935632736
Heschl_R,0.0026736832619415115,0.45321855220605317,0.6945276298769031,0.5420776403724793,0.005441860702438226,1.0,-0.40475372947442234,0.3621659459215192,0.4693908914039972,0.35306802893958944,-0.06345943323411293,-0.22329863809040434,0.009462741736691782,0.2291621356760696,-0.16611298369647973,0.7057879030503011,-0.34183368588743507,0.29610114170688384,0.05162359166703481,-0.15219351393297678,-0.6088338211842187,0.4342963365132066,-0.1288422831454725,0.014060954524637799,0.23423172664955424,0.5475915106227516,0.011064406271772341,0.04181208096662052,0.0792785462398217,0.11136273496820813,0.027683503587418678,-0.04256704358857547,-0.020198061096825173,-0.06392488683068541,0.10595793981470922,-0.15324108671285677,0.37473598005532016,0.26759285661391957,0.1526547427009814,0.08007616749095443,-0.19425046302250448,-0.38037733288237635,-0.1832484110202442,0.49436480567218083,0.03908874304089277,0.49158433794111633,0.44441418881213823,0.03975385898199587,0.09279935034806973,0.6264831848359897,0.13814532941716412,0.44021708382643515,0.3953758520830122,-0.2388915856736946,0.21637991626342676,0.09920030092827775,-0.028664123573097385,0.37158070090044715,-0.14487733954355023,-0.13137052097477322,-0.035356638363155224,0.3007386336980785,-0.5123431431767294,-0.05087646488243667,-0.026253838685691845,-0.2668180209150961,0.4815682298942684,-0.24020434514058678,0.37394075441226704,0.04819835971293699,0.4739358717142157,0.18136306397940505,-0.49088984642011674,0.03769885319829069,-0.07134917428619518,0.2862743771824229,-0.11735261635109216,-0.4483395845073364,0.4615150772273377,0.11627241453479455,0.009268434236099406,-0.1717354246773699,-0.2847359626357012,0.2867147215086421,0.38625207348463375,0.5328073000143055,0.06170546308104154,0.5287115053724732,-0.3375125530968613,0.19802203308231228,-0.21921516818987483,0.6250314485341906,0.06638161722524596,0.05445977921982464,0.07754004316346945
Cuneus_L,0.2946796068071491,-0.21898485023013883,-0.5461019547916139,-0.3215613280978938,0.2007630331687875,-0.40475372947442234,1.0,-0.46880483283148533,-0.4096452458088571,-0.31194807131004976,-0.18468115437454913,0.22955366396741,0.1847218144992448,0.14424544366652098,0.32754657794604874,-0.6453667335783172,0.48173830221855934,-0.6797141842226252,0.24235240514698714,0.18195738070516398,0.510267216245492,-0.7277151985721715,0.3291167234767157,0.091437509008684,-0.46421972956513385,-0.5736149134198808,-0.44256368865190854,0.18035510077587955,0.44886651906015995,0.35535428215030596,0.1939009732033989,-0.2325181527329069,0.1427536402416133,0.36786095866378726,0.35324032405324246,0.40282252090429965,0.06863806127443063,-0.22119202030625884,-0.40421676745807883,0.534414455418882,0.16208912429874178,0.6663154632640302,0.005796547426855576,-0.5749943832045341,0.20067349704999815,-0.4379489624352191,-0.4727777707919742,0.543064477248844,0.09104377837576817,-0.5968131021639896,-0.3893022643798241,-0.5281599998910614,-0.3656887991778997,0.30187717599008834,-0.4541869561069997,0.29931442521962986,-0.18000053365749627,0.049814477188522825,-0.13808899901877864,0.5989016248122463,0.3504836440570766,0.10508121318340684,0.5232365915126326,-0.15492890736617143,0.19878422343272534,0.24184551060040985,-0.2851943437871457,-0.13584882441365623,-0.07083658156800654,-0.3668032240301219,-0.5993842699008181,0.2219583723104869,0.5505057127493131,0.6455155652882751,0.29428710679002257,-0.28274762337022974,0.20882282013740916,0.5551169768797434,-0.6231952833407861,-0.16854607566909577,0.5277209453036368,0.5169728548227782,0.7866145328713597,-0.07086409079595662,-0.17763958491595605,-0.4794121324112556,0.07260315630741915,0.01883328938978024,0.9222075914072667,0.3568557279382704,0.5358692117408053,-0.6184743352102343,0.5745489520197712,0.07325273920164942,0.3865153951120635
Occipital_Inf_R,0.13926504173087118,0.028835599503170474,0.30731557625393163,0.6625781830714768,-0.6843975312473138,0.3621659459215192,-0.46880483283148533,1.0,0.764140459061141,0.028762791147125013,0.44767713881966376,-0.030966284959573747,-0.21230274661127538,3.8611313472057455e-05,-0.17895865531856997,0.5771626656861356,-0.6713269716492354,0.2583749148085736,-0.46659249838143463,-0.26923973304150556,-0.5860849795149919,0.6997499305894355,-0.6935956399070561,0.3042575855553453,0.5546982167734151,0.578496787816279,0.3551574128597305,0.3725213021605152,0.19813327745923695,0.08981788969249453,0.377016877663987,0.3244673983900227,0.6363437939232428,-0.7556092233897914,-0.09718209286052583,-0.616441428398942,0.5423888374218748,0.12216311615650538,0.16768691537318045,-0.09069460476264592,0.15385357012674142,-0.5958284653617006,0.038695191302525106,0.6981117352357967,0.3121624047466751,0.2503783498876801,0.2944740555336011,-0.1189994434180992,0.48784444324636067,0.21316562115809423,0.1464357884935218,0.362493976458844,0.8175890480101338,-0.6093204656619176,0.4466850388815383,0.043542917349083166,0.1414698151507263,0.12001130191409436,0.15037613477018805,-0.40339021905993855,-0.6217662350613472,-0.2406157122267486,-0.4776216134216834,0.43191071447163243,0.10660873940469649,-0.6023930590251377,0.09128671768045174,0.4761750411822149,-0.042396986065809016,0.11361802205013403,0.7384673669619928,-0.21249699090082422,-0.5366984388019603,-0.4269738709619662,-0.0634194755996489,0.6067181748181188,-0.4729586780971649,-0.7836781118589832,0.22787975852076223,-0.4440117827007236,-0.37974836360353226,-0.6506809082146194,-0.10472183955351021,-0.14204920686029912,0.2551928454683086,-0.0034545427721202745,0.41039914553475804,-0.2577565732445358,-0.5290487535661141,0.2621155719157776,-0.030072501602455354,0.6304094115715598,-0.32150737048098066,-0.2314089628001738,0.10409624557453133
Temporal_Inf_R,0.09551202075295555,0.18270395039521933,0.38991451733274046,0.6864197286932762,-0.5893052646252782,0.4693908914039972,-0.4096452458088571,0.764140459061141,1.0,0.14275169311900016,0.3948587096301992,-0.05080660469572777,-0.178879634963488,0.22836965477809865,-0.3200885940751571,0.761077952046648,-0.5916214918484443,0.3044471546454902,-0.37986625346157715,-0.17707636022506418,-0.7428391758035304,0.6137943292167094,-0.5693666620794033,0.34601168219951944,0.6543936866771138,0.7202938383016161,0.2599441853366785,0.44550673061666257,0.35350494840980523,0.24866732129276303,0.3943337292064516,0.21517764080239027,0.5277022224364774,-0.6403791068108319,0.05364313038768998,-0.6419637198676579,0.6502960265406256,0.2710796413497456,0.28960723667082966,0.006269396516188481,-0.001592221619184239,-0.6261653774237095,-0.0390714892953148,0.619104999319881,0.11306483100093721,0.3971733137548502,0.44205733738158626,0.07293291323549192,0.4435305164938182,0.409187247113885,0.17086670366041523,0.5199137184778928,0.7981013230932594,-0.586429628809682,0.5626624506883946,-0.08079985857993473,0.12134217428454304,0.3618951756620993,0.0626618138596234,-0.2517261385676802,-0.4457185634449154,-0.05707183441162422,-0.6485293369684167,0.3995031133715534,0.007761788140238615,-0.6140031768137566,0.2921469349381541,0.3200257094159241,0.0029272474374383082,0.09269697766472028,0.7802899865710626,0.013134062807405119,-0.620003024060454,-0.2796893207150121,-0.019758896466364258,0.4059236279363077,-0.3537286310774571,-0.8220006833409351,0.2936746200685033,-0.27800326595524943,-0.3167627899577785,-0.6224559990666303,-0.13037567027049277,-0.05044580646933981,0.32109725977992476,0.09345680064170789,0.2841141139985044,-0.06767313715836654,-0.5083944950953773,0.335136069016302,-0.016687510903095774,0.7905974631069814,-0.24591494242906314,-0.05611072701910575,0.3123120195838818
Red_N_R,-0.3141013481610994,0.406122475534447,0.270887174363893,0.10324369920069741,0.1831264399436008,0.35306802893958944,-0.31194807131004976,0.028762791147125013,0.14275169311900016,1.0,-0.1416539672690041,-0.13940160434978655,0.027927972649988433,0.1701966118932075,-0.08535984627299592,0.26854700998976033,0.0829801002690574,0.37883697080842504,0.20840285530572938,0.2618721710258492,-0.22428099127188833,0.189587489401772,0.15479422277678556,0.0802085238695287,-0.01637997062998247,0.3645554698495058,0.30365717027038824,-0.13507023642744184,-0.1026860572057421,-0.09787774690161903,-0.2983822506270303,-0.1678083534683363,-0.35883381314895013,0.15087833810054183,0.13079264228913115,0.045080446736834714,-0.11138333168979345,0.32262476637259535,0.3525232694339395,-0.1500954181578931,-0.20577530693049081,-0.18738214513783844,-0.15851763736299368,0.14786260443685903,-0.25122338959645923,0.4038411156847169,0.3355000795047538,-0.1191978841113181,-0.3480770805965964,0.4182335802978038,0.3297858791697735,0.5419040914276241,-0.0424807844476057,0.07645540804110315,0.11027173764206633,-0.14484018467054766,-0.12197540916441962,0.26541610555335904,-0.04835154159778377,-0.01725651739592892,0.14423249587068412,0.2371520484946401,-0.26531859087599774,0.0264346841545723,-0.11487053607451239,0.017271051997128438,0.4582851124700041,-0.1224460173694119,0.08651015722696549,0.19079895801755317,0.19659335864746877,0.27606023206811225,-0.14563225788278286,-0.07486572679356374,0.08157845455378451,-0.15101055388036452,0.2134268557009789,-0.10243526919532318,0.42303619608381265,0.47982599048378954,-0.21478733813633,0.0671571042389103,-0.35777954539214685,0.21959620112746164,0.2799882627091193,0.4576243297609137,-0.16387822656412826,0.20740595571364023,-0.29504347019487204,-0.17895997053085225,-0.2872950387804065,0.40228220139483384,-0.1775370042487584,0.2089874140008225,-0.10004968134550771
