,SN_pr_L,Thal_MDl_R,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Red_N_L,Vermis_8,Thal_AV_L,Thal_MGN_L,Paracentral_Lobule_R,Vermis_9,Amygdala_R,Temporal_Sup_L,ACC_sup_R,Thal_MDm_L,Precentral_L,Raphe_D,Frontal_Inf_Orb_2_R,Insula_L,Postcentral_L,Vermis_7
SN_pr_L,1.0,-0.06290854816004236,0.09022929751298572,-0.07264234777179482,-0.0399833632845376,0.13470839996282363,0.03194345816243275,-0.10185038788765079,-0.16834054747886282,0.40611590903109623,-0.08230241546405855,0.218315914296512,-0.14922776819922953,0.2555509663939095,0.022981716395194387,0.1238043806059875,0.35895565575619104,0.18648764713390933,-0.1246255855152714,0.3107860558647886,0.25186185716729376,0.10742781635869204,0.28409325028174987,0.30574754450316866,-0.018413117131739952
Thal_MDl_R,-0.06290854816004236,1.0,-0.08896589804835797,0.2780852343700548,-0.3194276208822246,-0.296348915993671,0.47117347267665405,0.2735624630418973,0.4619862017911525,-0.011365210035718352,0.6220224156980889,-0.2555276224321997,-0.06309483883972565,-0.36475646030747094,0.6449592268996758,0.11135815212041338,-0.0352297917421423,-0.2746931612172807,0.4175835519505577,-0.184937586172999,0.4878366191063103,-0.052617344553252766,-0.22015978646112522,-0.08074540215285646,0.5458275242343708
OFCpost_R,0.09022929751298572,-0.08896589804835797,1.0,0.13786594106518255,0.40844318973228866,0.18106854375625794,-0.09705752909348586,0.1088705881351152,0.22531666179324625,-0.11818373637664048,-0.0030171553649119805,0.14746401245654933,0.38350913678773485,-0.04681568303638283,0.011164448267471738,0.5276471742385156,0.06389221516934113,0.36843133139979195,0.47348608822804883,0.03763144846230279,0.19218525464385586,0.6550357038994327,0.14732985451338318,-0.011831629333673729,0.0583945324898171
Temporal_Sup_R,-0.07264234777179482,0.2780852343700548,0.13786594106518255,1.0,-0.11012477858488828,0.29967655797299037,0.5634033979841221,0.7030545692986271,0.7746727128821388,-0.22506283639833644,0.4541455760746357,0.18978609131654256,-0.010715780252599734,0.17677717082438799,0.7166178326068255,0.553190611943239,-0.41742300733238163,0.09393871850716183,0.29020138153425457,0.13501140451415136,0.2576864435583301,0.36608702603040916,0.05594930500582142,0.03709195199870135,0.638101225056484
OFClat_L,-0.0399833632845376,-0.3194276208822246,0.40844318973228866,-0.11012477858488828,1.0,0.3820912282177055,-0.35327146114215213,-0.31386752317394584,-0.36469097373319315,0.14197863433454785,-0.5029287162040832,0.3279675803427984,0.42665101612392975,0.31025286042322686,-0.29994877421900584,0.09988713496845794,0.2898732398702748,0.5037106290319524,0.20000481286157684,0.009890327977292997,0.011156187977459734,0.3124966986279797,0.5668766639702231,0.025464407423191143,-0.4556701778922404
Heschl_R,0.13470839996282363,-0.296348915993671,0.18106854375625794,0.29967655797299037,0.3820912282177055,1.0,0.16592674989841358,0.01589277809494958,-0.14404738296098468,0.34816549960248566,-0.07669551363842882,0.3656941464669855,0.09274861281154442,0.6602715582917315,0.061147192608691864,0.13012566029468106,0.3330306242759158,0.6066972989581407,0.031433923165106466,0.4388277388179957,0.17891148326944878,0.1586212354805144,0.6332793143964538,0.36287878846680743,-0.15276292195248117
Cuneus_L,0.03194345816243275,0.47117347267665405,-0.09705752909348586,0.5634033979841221,-0.35327146114215213,0.16592674989841358,1.0,0.5902948390963991,0.5415982603258237,0.06921662309947856,0.6383898620274117,-0.03698213421119952,-0.4347265663011832,0.18422938234474281,0.7622642932851658,0.24890142284601205,0.01105054354116116,-0.08872639538384779,0.08644456982190676,0.40164281176852434,0.3209852463892451,-0.1504527554120716,-0.062039301745851844,0.3989622950372974,0.584661696611044
Occipital_Inf_R,-0.10185038788765079,0.2735624630418973,0.1088705881351152,0.7030545692986271,-0.31386752317394584,0.01589277809494958,0.5902948390963991,1.0,0.7720335100782861,-0.2934964815219687,0.5717562884264822,0.18469109901004582,-0.1218045899950807,-0.10253175233905466,0.6026879585002142,0.2868834179959434,-0.549815878979849,-0.07234351637274004,0.0603080052134065,0.11463600022196364,0.021860540463553447,0.11682682331470046,-0.35849272723711556,-0.002377770041569286,0.7055267395185701
Temporal_Inf_R,-0.16834054747886282,0.4619862017911525,0.22531666179324625,0.7746727128821388,-0.36469097373319315,-0.14404738296098468,0.5415982603258237,0.7720335100782861,1.0,-0.37293505203200095,0.673919347796317,-0.08719762023530774,0.04785004670679948,-0.3342360157912312,0.7446107264807986,0.5111589568078516,-0.5311898770939091,-0.17097371582873744,0.38810176285539116,-0.0008005160691821643,0.24366598483815374,0.3864856483994365,-0.30064022749907116,-0.09147932522608339,0.83388773442497
Red_N_L,0.40611590903109623,-0.011365210035718352,-0.11818373637664048,-0.22506283639833644,0.14197863433454785,0.34816549960248566,0.06921662309947856,-0.2934964815219687,-0.37293505203200095,1.0,-0.08563299832970346,0.10003043480520184,-0.07766682647554848,0.35891757584362544,0.012027023249868112,-0.25233545614979375,0.5891978214984996,0.29488345903200014,-0.15357862620128082,0.37095938966305364,0.20718520595666076,-0.14276877327143642,0.4944395043613514,0.42360968556230016,-0.25966264130096006
