,SN_pc_R,Thal_MDl_L,OFCpost_R,Temporal_Sup_R,OFClat_L,Heschl_R,Cuneus_L,Occipital_Inf_R,Temporal_Inf_R,Vermis_8,Thal_AV_L,Thal_LGN_R,Paracentral_Lobule_R,Vermis_9,Amygdala_R
SN_pc_R,1.0,0.05997095506184033,-0.45775284362479746,0.030105560507310457,-0.5669196180696876,-0.22421001462956963,0.6344973440793442,0.5183761686628232,0.4308708581008431,0.41819380549491814,-0.14686712185917708,-0.29361585149854724,-0.009705640367163822,0.07327441723334514,-0.6586963845443095
Thal_MDl_L,0.05997095506184033,1.0,-0.0017803331868210058,-0.04303040344099919,0.15947943116885768,0.1792327000275977,-0.06347193935235912,-0.23491154801459166,-0.1409498085180767,-0.13985826312344363,0.40808966849790423,0.35131110053271375,0.08550274499558327,0.12015545392187996,0.04096421293118876
OFCpost_R,-0.45775284362479746,-0.0017803331868210058,1.0,0.3745843899499428,0.5860084714150395,0.5159728177280478,-0.49174886912776794,-0.39222039118259855,-0.11362022774920627,-0.4152822804514682,-0.05030913682696407,0.5577174379640003,-0.0601712635286869,0.05947931464362956,0.5841393448557948
Temporal_Sup_R,0.030105560507310457,-0.04303040344099919,0.3745843899499428,1.0,-0.17864772698867276,0.6347947457760131,0.016209295310153016,0.27527914582920304,0.5715128236786309,0.3004943384786385,-0.2626495617282126,0.41011422478849185,-0.5427442448364623,0.46770142777683826,0.16548114343582093
OFClat_L,-0.5669196180696876,0.15947943116885768,0.5860084714150395,-0.17864772698867276,1.0,0.3649331636508416,-0.5602856255210283,-0.8366974726771168,-0.7467063503800595,-0.6870417211797613,0.18976003952401432,0.5243892925336242,0.28155660700059226,-0.25449070260538104,0.542203767596452
Heschl_R,-0.22421001462956963,0.1792327000275977,0.5159728177280478,0.6347947457760131,0.3649331636508416,1.0,-0.32499174332049185,-0.2698323104005195,-0.03380963927409742,-0.03965812834834956,-0.047322042722914535,0.6900886135950888,-0.2240984297705943,0.2624098431041279,0.4017124119441973
Cuneus_L,0.6344973440793442,-0.06347193935235912,-0.49174886912776794,0.016209295310153016,-0.5602856255210283,-0.32499174332049185,1.0,0.5640613077853749,0.4933031674547405,0.3850845830529382,-0.11295216093081381,-0.4988842855182213,0.2161041144703546,0.05904288914260828,-0.5946070121785388
Occipital_Inf_R,0.5183761686628232,-0.23491154801459166,-0.39222039118259855,0.27527914582920304,-0.8366974726771168,-0.2698323104005195,0.5640613077853749,1.0,0.8589464434609632,0.6975504471021021,-0.29350370257344677,-0.4778133582824591,-0.27903945155580534,0.2815136755008965,-0.41425248703107515
Temporal_Inf_R,0.4308708581008431,-0.1409498085180767,-0.11362022774920627,0.5715128236786309,-0.7467063503800595,-0.03380963927409742,0.4933031674547405,0.8589464434609632,1.0,0.6168553446077775,-0.2956213282452322,-0.21012097448843173,-0.39802012780503454,0.4792019288552603,-0.20089089736598173
Vermis_8,0.41819380549491814,-0.13985826312344363,-0.4152822804514682,0.3004943384786385,-0.6870417211797613,-0.03965812834834956,0.3850845830529382,0.6975504471021021,0.6168553446077775,1.0,-0.3339853522346132,-0.2560973207963527,-0.560528127895971,0.5429555907966718,-0.5142945474818231
Thal_AV_L,-0.14686712185917708,0.40808966849790423,-0.05030913682696407,-0.2626495617282126,0.18976003952401432,-0.047322042722914535,-0.11295216093081381,-0.29350370257344677,-0.2956213282452322,-0.3339853522346132,1.0,0.2170062513314381,0.2736153682456022,-0.1328133583567271,0.1485301711008911
Thal_LGN_R,-0.29361585149854724,0.35131110053271375,0.5577174379640003,0.41011422478849185,0.5243892925336242,0.6900886135950888,-0.4988842855182213,-0.4778133582824591,-0.21012097448843173,-0.2560973207963527,0.2170062513314381,1.0,-0.23836793576154805,0.2965417691335452,0.43611574581543117
Paracentral_Lobule_R,-0.009705640367163822,0.08550274499558327,-0.0601712635286869,-0.5427442448364623,0.28155660700059226,-0.2240984297705943,0.2161041144703546,-0.27903945155580534,-0.39802012780503454,-0.560528127895971,0.2736153682456022,-0.23836793576154805,1.0,-0.6701298427549311,0.10291262818435981
Vermis_9,0.07327441723334514,0.12015545392187996,0.05947931464362956,0.46770142777683826,-0.25449070260538104,0.2624098431041279,0.05904288914260828,0.2815136755008965,0.4792019288552603,0.5429555907966718,-0.1328133583567271,0.2965417691335452,-0.6701298427549311,1.0,-0.006832839486625765
Amygdala_R,-0.6586963845443095,0.04096421293118876,0.5841393448557948,0.16548114343582093,0.542203767596452,0.4017124119441973,-0.5946070121785388,-0.41425248703107515,-0.20089089736598173,-0.5142945474818231,0.1485301711008911,0.43611574581543117,0.10291262818435981,-0.006832839486625765,1.0
